region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
East,East_batteries_1,1,1,1,0.0,0.0,22446.0,2770.7999999999997,0.0003942694084817861,0.0,0.002037947157674169,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
East,East_conventional_hydroelectric_1,1,1,2,0.0,0.0,310516.8,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,310516.8,NaN
East,East_landfill_gas_1,1,1,3,0.0,0.0,50399.99997899999,0.0,12.767999980925282,0.0,0.0,7.54716852468879e-8,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,50412.76797905639,NaN
East,East_natural_gas_internal_combustion_engine_1,1,1,4,0.0,0.0,66990.095781,0.0,5.943945703929516e-8,1.155270649974271e-6,0.0,9.215112738233258e-8,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,66990.09578230687,NaN
East,East_petroleum_liquids_with_gt_1,1,1,5,0.0,0.0,1.1349247617845999e6,0.0,8.601692499671028e-9,4.885044532104837e-7,0.0,8.607834998612378e-8,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,1.134924761785183e6,NaN
East,East_petroleum_liquids_with_ic_1,1,1,6,0.0,0.0,83740.76134200001,0.0,8.70938324103162e-9,4.911124438692831e-7,0.0,8.634534490902577e-8,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,83740.7613425862,NaN
East,East_solar_photovoltaic_1,1,1,7,0.0,0.0,1.11305159954754e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,1.11305159954754e6,NaN
North,North_conventional_hydroelectric_1,2,1,8,0.0,0.0,1.740776e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,1.740776e6,NaN
North,North_landfill_gas_1,2,1,9,0.0,0.0,50400.0,0.0,6.383999992389782,0.0,0.0,1.0211431640316684e-7,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,50406.3840000945,NaN
North,North_natural_gas_internal_combustion_engine_1,2,1,10,0.0,0.0,324516.15168,0.0,6.235774637228902e-8,1.2119907847546399e-6,0.0,9.209769969014361e-8,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,324516.15168136643,NaN
