Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4,0
AnnualSum,0.013586314384494454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058876724654881654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19021730738432538,0.0,0.0,0.0,1.5645179539940616e-6,0.0,0.0,0.0,0.0,0.0,0.0,18.3361453680652,0.0,0.0,0.0,0.0,0.0,0.0,1.5629110179287146e-6,0.0,0.0,0.0,0.0,0.0,0.0,1.562865295168728e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.59883040478317
t1,4.224050943707825e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.216610843965152e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.215529009647361e-9,0.0,0.0,0.0,4.1803746913397635e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.099367074694846e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.180354271443773e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.180199840739499e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.929648667553822e-8
t2,4.236166256170629e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.218222103312622e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.215843159677607e-9,0.0,0.0,0.0,4.180365254402313e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.099376253832372e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.1803852824145815e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.180269552096315e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9310627861906436e-8
t3,4.243522495617817e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219105040315677e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.215935092659809e-9,0.0,0.0,0.0,4.1803760076523165e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.0993987388464725e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.180398134551337e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.180306554712689e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.931904206435612e-8
t4,4.2487187424618925e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219690758005939e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.215950412105124e-9,0.0,0.0,0.0,4.1803790461341045e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.099403633374883e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.180395311183931e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.18032654748786e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9324864450753734e-8
t5,4.253818868353747e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2201741773787535e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.215948446167899e-9,0.0,0.0,0.0,4.1803796420745405e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.0994048132780885e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.1803920002196025e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.1803394099372415e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9330457357409872e-8
t6,4.26005527663801e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2207009685429e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2159249976702685e-9,0.0,0.0,0.0,4.180382697863297e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.099410705017386e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.180391964711222e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.180350242474159e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.933721685291724e-8
t7,4.2716101877024696e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.222344012013263e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.215952491856706e-9,0.0,0.0,0.0,4.180385700687303e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.09941709474683e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.180392258868756e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.180359099962333e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9350460845837657e-8
t8,4.220862837145167e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.206658756213387e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.204384816069053e-9,0.0,0.0,0.0,4.180375897285987e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.099420128168629e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.1803801090855265e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.180362250589506e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9272444794557253e-8
