Zone,1,2,3,4,Total
AnnualSum,73.00501350155295,74.82733128776098,72.48087529825439,73.19013778607922,293.50335787364753
t1,74.05902329728212,74.82733130568934,73.97161289100977,74.60606224034916,297.4640297343304
t2,74.0590232938403,74.82733130162696,73.97161288569785,74.60606223824037,297.46402971940546
t3,74.05902329180881,74.82733129928113,73.97161288273794,74.6060622369914,297.4640297108193
t4,74.05902329032959,74.82733129760761,73.9716128806668,74.60606223607601,297.46402970468
t5,74.05902328913872,74.82733129628262,73.9716128790557,74.60606223533064,297.46402969980767
t6,74.05902328811452,74.82733129516366,73.97161287771415,74.60606223467838,297.46402969567066
t7,74.05902328719039,74.8273312941716,73.97161287654153,74.60606223407835,297.46402969198186
t8,74.05902328632067,74.82733129324909,73.9716128754633,74.60606223349853,297.4640296885316
t9,62.346053996236265,74.8273312798657,57.20447910888709,58.69189947381468,253.06976385880373
t10,53.50481032023114,74.82733127922508,42.8704862946286,44.85300994194298,216.05563783602778
t11,46.29541821888264,74.82733127875119,35.75429423785919,37.40465933319128,194.28170306868432
t12,47.50984926485169,74.82733127840932,36.366224187975405,38.231957508719546,196.93536223995596
t13,55.3509204226382,74.82733127817905,43.25339499025128,45.86126964690853,219.29291633797706
t14,61.00540182614046,74.82733127804863,51.26626024377892,53.938314101116184,241.0373074490842
t15,66.73420091524277,74.8273312780148,61.54903827002613,63.45486826296455,266.56543872624826
t16,71.09816876110546,74.82733127807637,69.70104080386841,70.68281474859286,286.3093555916431
t17,74.05902328395942,74.82733129073964,73.97161287239243,74.60606223208443,297.4640296791759
t18,74.05902328405845,74.82733129082877,73.97161287247862,74.60606223219278,297.4640296795586
t19,74.059023284128,74.82733129088611,73.97161287252717,74.60606223227173,297.464029679813
t20,74.05902328417316,74.82733129091842,73.97161287254839,74.60606223232628,297.46402967996625
t21,74.05902328419405,74.82733129092922,73.97161287254627,74.60606223235958,297.4640296800291
t22,74.05902328419516,74.82733129091955,73.9716128725217,74.60606223237485,297.4640296800112
t23,74.0590232841788,74.82733129089186,73.9716128724785,74.60606223237235,297.4640296799215
t24,74.05902328414322,74.82733129084754,73.97161287241562,74.60606223235418,297.4640296797606
t25,74.05902328409137,74.82733129078666,73.97161287233632,74.60606223232114,297.4640296795355
t26,74.05902328402205,74.82733129071036,73.97161287223844,74.6060622322733,297.46402967924416
t27,74.05902328393462,74.82733129061641,73.97161287212204,74.60606223220923,297.4640296788823
t28,74.05902328383017,74.8273312905047,73.97161287198568,74.60606223212979,297.46402967845034
t29,74.05902328370532,74.8273312903727,73.97161287182854,74.60606223203426,297.4640296779408
t30,74.05902328355764,74.82733129021929,73.97161287164778,74.60606223191817,297.46402967734286
t31,74.05902328338624,74.82733129004252,73.9716128714402,74.60606223178328,297.4640296766522
t32,74.05902328318912,74.82733128983762,73.97161287119788,74.6060622316239,297.46402967584845
t33,70.73834328565758,74.82733127710691,70.22023988129368,70.96662401475102,286.75253845880917
t34,69.4404818360538,74.82733127697918,68.21051605457268,69.16887363268567,281.6472028002913
t35,68.8556363758401,74.82733127693407,67.6006751771349,68.64897051138827,279.9326133412973
t36,69.409472692076,74.82733127696702,68.07793414460632,69.09711389456528,281.4118520082146
t37,70.97463682480551,74.82733127708482,70.34499266610865,71.1465791634229,287.2935399314219
t38,74.0590232831808,74.82733128978805,73.97161287108162,74.60606223161201,297.46402967566246
t39,74.0590232833306,74.82733128992966,73.9716128712329,74.60606223173264,297.4640296762258
t40,74.05902328345226,74.82733129004485,73.97161287135101,74.60606223183169,297.4640296766798
t41,74.05902328355242,74.82733129013687,73.9716128714452,74.60606223191105,297.4640296770455
t42,74.05902328363278,74.82733129020983,73.97161287151678,74.60606223197462,297.464029677334
t43,74.0590232836943,74.82733129026467,73.97161287157044,74.60606223202204,297.4640296775514
t44,74.0590232837391,74.82733129030267,73.97161287160466,74.60606223205693,297.46402967770337
t45,74.05902328377013,74.82733129032745,73.9716128716233,74.60606223207964,297.4640296778005
t46,74.0590232837849,74.82733129033784,73.9716128716264,74.60606223209152,297.46402967784064
t47,74.05902328378701,74.82733129033566,73.97161287161502,74.60606223209082,297.46402967782853
t48,74.05902328377529,74.8273312903211,73.97161287159047,74.60606223208215,297.464029677769
t49,74.05902328375197,74.8273312902934,73.97161287155083,74.60606223206003,297.4640296776562
t50,74.05902328371101,74.82733129025188,73.97161287149875,74.60606223202866,297.46402967749026
t51,74.05902328365823,74.82733129019621,73.97161287142954,74.6060622319846,297.46402967726857
t52,74.0590232835889,74.8273312901256,73.97161287134358,74.60606223192806,297.4640296769861
t53,74.0590232835035,74.8273312900386,73.97161287124169,74.60606223185835,297.46402967664216
t54,74.05902328339813,74.82733128993277,73.97161287111619,74.60606223177385,297.4640296762209
t55,74.05902328327379,74.82733128980577,73.97161287097055,74.6060622316732,297.4640296757233
t56,74.0590232831275,74.8273312896568,73.97161287079513,74.60606223155344,297.46402967513285
t57,72.09040255099535,74.82733127698654,71.80246674126968,72.47567397212399,291.1958745413756
t58,71.93091905158661,74.82733127692043,71.58122632657576,72.27704836139606,290.6165250164789
t59,71.65906392043293,74.82733127693697,71.19425934197042,71.92998238885284,289.6106369281932
t60,71.9310337586306,74.82733127703794,71.55923409736964,72.2696541485468,290.587253281585
t61,74.05902328320605,74.82733128972323,73.97161287084302,74.60606223160254,297.46402967537483
t62,74.05902328334015,74.8273312898552,73.97161287098945,74.60606223170943,297.4640296758942
t63,74.05902328345297,74.8273312899642,73.97161287110569,74.60606223179889,297.46402967632173
t64,74.05902328354648,74.82733129005639,73.9716128712018,74.60606223187361,297.46402967667825
t65,74.0590232836252,74.82733129012942,73.97161287127865,74.6060622319344,297.46402967696764
t66,74.05902328368708,74.82733129018874,73.97161287134102,74.60606223198428,297.4640296772011
t67,74.05902328373534,74.82733129023316,73.97161287138684,74.60606223202124,297.4640296773766
t68,74.0590232837722,74.827331290266,73.97161287142002,74.60606223204907,297.46402967750726
t69,74.05902328379527,74.82733129028789,73.97161287143909,74.6060622320662,297.4640296775884
t70,74.0590232838072,74.8273312902968,73.97161287144719,74.60606223207488,297.46402967762606
t71,74.0590232838083,74.82733129029734,73.97161287144237,74.6060622320765,297.4640296776245
t72,74.0590232837984,74.82733129028634,73.97161287142644,74.60606223206639,297.46402967757757
t73,74.05902328377738,74.82733129026455,73.97161287139943,74.60606223205056,297.4640296774919
t74,74.05902328374366,74.82733129023248,73.97161287135916,74.60606223202417,297.46402967735946
t75,74.05902328369805,74.82733129018796,73.97161287130615,74.60606223198845,297.46402967718063
t76,74.05902328364036,74.82733129013006,73.97161287123933,74.60606223194142,297.46402967695116
t77,74.0590232835651,74.82733129005786,73.97161287115561,74.60606223188309,297.46402967666165
t78,74.05902328347877,74.8273312899704,73.9716128710556,74.60606223181217,297.46402967631695
t79,74.0590232833721,74.82733128986565,73.97161287093537,74.60606223172842,297.46402967590154
t80,74.05902328324525,74.82733128974043,73.97161287079376,74.6060622316263,297.46402967540575
t81,74.05902328309799,74.82733128959241,73.9716128706224,74.60606223150769,297.46402967482044
t82,72.38126226726229,74.82733127692339,72.13420240767903,72.81776695867585,292.16056291054053
t83,71.57572417510546,74.82733127685896,70.88196668533675,71.7262038295098,289.01122596681097
t84,71.68805021718015,74.82733127687857,71.04620903900403,71.87998950760058,289.4415800406633
t85,72.38082455733357,74.82733127698185,72.11594821335801,72.80807384359791,292.13217789127134
t86,74.0590232831807,74.82733128967068,73.97161287069886,74.60606223156364,297.46402967511386
t87,74.05902328331648,74.82733128980463,73.97161287084924,74.60606223167233,297.4640296756427
t88,74.05902328343144,74.82733128991637,73.97161287097138,74.60606223176451,297.4640296760837
t89,74.05902328352882,74.82733129001178,73.97161287107302,74.6060622318404,297.464029676454
t90,74.05902328360901,74.82733129008957,73.97161287115729,74.60606223190382,297.4640296767597
t91,74.05902328367576,74.8273312901519,73.97161287122334,74.60606223195772,297.4640296770087
t92,74.05902328372834,74.82733129020171,73.97161287127523,74.60606223199777,297.46402967720303
t93,74.05902328376823,74.82733129023786,73.97161287131398,74.60606223202704,297.4640296773471
t94,74.05902328379582,74.82733129026408,73.9716128713392,74.60606223205079,297.4640296774499
t95,74.05902328381364,74.82733129027999,73.97161287135306,74.60606223206246,297.46402967750913
t96,74.05902328382145,74.82733129028601,73.97161287135657,74.60606223206797,297.464029677532
t97,74.05902328381659,74.82733129028047,73.97161287134726,74.60606223206466,297.46402967750896
t98,74.05902328380336,74.82733129026572,73.97161287132728,74.60606223205171,297.4640296774481
t99,74.05902328377812,74.82733129023975,73.97161287129431,74.6060622320311,297.46402967734326
t100,74.05902328374141,74.82733129020355,73.97161287124975,74.606062232002,297.4640296771967
t101,74.0590232836928,74.82733129015479,73.97161287119212,74.60606223196197,297.4640296770017
t102,74.05902328363214,74.82733129009148,73.97161287111824,74.60606223191293,297.46402967675476
t103,74.05902328355467,74.82733129001488,73.97161287103047,74.60606223185052,297.46402967645054
t104,74.05902328346313,74.82733128992164,73.97161287092355,74.60606223177759,297.4640296760859
t105,74.05902328335465,74.82733128981302,73.97161287079224,74.60606223169053,297.46402967565047
t106,73.6658206997567,74.82733127727658,73.56272036743216,74.20035038460226,296.2562227290677
t107,72.34775340837888,74.82733127716664,72.05233124595955,72.7343179447023,291.9617338762074
t108,72.49196201165168,74.82733127723336,72.23374676919774,72.9109936062209,292.46403366430366
t109,74.05902328344074,74.82733128988939,73.97161287086524,74.60606223174652,297.4640296759419
t110,74.05902328355297,74.82733128999877,73.97161287098655,74.60606223183329,297.4640296763716
t111,74.0590232836453,74.82733129009107,73.97161287108317,74.60606223190638,297.4640296767259
