Line,1,2,3,4,5,Total
AnnualSum,97.67553363073209,-6.582583302268241e-13,-275.73259317302245,-315.9913307814478,1.282294227428558e-12,-494.0483903237375
t1,131.99490680918706,-1.8176500057378349e-12,-309.62691843743374,-262.306566142204,1.8119439293708081e-12,-439.9385777704507
t2,88.2105980767222,4.493424062554846e-12,-257.7132682736077,-300.0085135048805,1.6794280007235874e-12,-469.5111837017598
t3,75.93856198942089,-9.060951969961011e-12,-238.29355160038378,-305.3255140929873,7.889921365397248e-13,-467.6805037039585
t4,71.96346361331015,-3.4005958744264697e-12,-231.08683584003418,-297.1595420704405,7.760662023238043e-13,-456.28291429716717
t5,71.03406162225342,-5.2443375999401805e-12,-233.90934458492956,-289.2512372544837,1.4492422444010136e-12,-452.12652021716366
t6,78.17131258557612,8.302482790126373e-12,-237.8753811377514,-277.9305711416167,1.5471121665122174e-12,-437.63463969378216
t7,82.24202361189266,-6.00250321585223e-12,-238.18019979966832,-268.61997680678803,1.3534017575454758e-12,-424.55815299456833
t8,80.69500295432958,-3.7606423783644174e-11,-240.3515112231997,-269.8037773940469,3.8004276123190976e-14,-429.46028566295456
t9,72.04501092492656,3.73872791896375e-12,-239.85216053703274,-270.9868397421118,1.32593030786228e-12,-438.7939893542129
t10,72.46848373650053,1.7969560726342233e-12,-251.34998989952433,-275.01205181932744,1.264286141630677e-12,-453.89355798234817
t11,79.11460488254068,-1.7081928554606078e-12,-261.64671872187006,-278.0575222074811,1.539216447937542e-12,-460.58963604681065
t12,80.44714138260795,-6.3741354006751295e-12,-271.50476368575954,-286.09473326567183,9.861641123442352e-13,-477.15235556882885
t13,81.12410537810396,-8.674656831647278e-12,-272.21520284764586,-297.5054529983409,1.3261873121234306e-12,-488.59655046789015
t14,73.33487098614773,2.944311873287924e-12,-270.5700203340576,-306.3031982357608,1.3251126718551943e-12,-503.5383475836664
t15,68.54912876743202,4.149077092616433e-12,-274.9161468757502,-313.25730814202893,8.051032430704487e-13,-519.6243262503422
t16,64.86307118636206,1.2648436864117301e-11,-268.48971435406634,-309.6760429768595,1.976158720288089e-12,-513.3026861445492
t17,68.79285743226852,8.529625735861515e-12,-258.9241354709654,-306.41641802463073,1.0529381582992094e-12,-496.54769606331797
t18,76.69996985443856,7.666038152876454e-12,-239.52836540568887,-294.21342609970975,1.7149926402654924e-12,-457.0418216509507
t19,81.3609631491382,-6.035844897179852e-12,-235.05869821656066,-289.55820629147433,1.6106784335332258e-12,-443.2559413589012
t20,84.0115719135211,7.799666676702448e-12,-236.88186639289427,-290.516881564355,1.5204502370718676e-12,-443.38717604371885
t21,85.21496274903298,2.5783681259943844e-12,-239.51760128878175,-289.64933370430606,6.34362062101995e-13,-443.95197224405166
t22,89.34782335135057,-8.869846710619325e-12,-250.77768354625823,-303.4191060437944,1.3794863651639456e-12,-464.8489662387095
t23,92.2805575573603,7.020572937103175e-12,-259.98519491784594,-318.5732290223219,1.2142066425062706e-12,-486.27786638279935
t24,93.71865947923186,8.6880085557461e-12,-263.07972975976486,-322.0131702973399,1.5502020724761247e-12,-491.3742405778627
t25,94.49924849555327,6.95264265330288e-12,-263.5840807589717,-319.0463625985065,1.3935609964369647e-12,-488.1311948619166
t26,94.63954670858122,-1.8307505191506767e-12,-262.9367811886364,-315.68419017722755,7.701528687074134e-13,-483.9814246572838
t27,94.58049068688427,-1.332248109006707e-13,-261.6974667912552,-310.9842873700428,1.9192011359730896e-12,-478.1012634744119
t28,93.9557052902354,6.268621364498222e-12,-257.00971451282135,-302.9082815716997,2.0753680690807266e-12,-465.9622907942773
t29,92.11085316579961,6.469634122930506e-12,-249.27891830965228,-291.43884141809895,1.850517179957673e-12,-448.6069065619433
t30,89.90900261813194,1.0256704943188613e-11,-240.5549871541503,-279.6081781052513,6.518770689052373e-13,-430.25416264125874
t31,88.51801018369304,-1.127268357442228e-11,-235.3402683994079,-269.94564192660647,1.8014430317836955e-12,-416.7679001423308
t32,81.90425198857263,6.668614402428738e-12,-236.6055820450017,-271.95558518124506,1.8842321660322502e-12,-426.6569152376656
t33,85.1201837356722,-7.752114028215966e-12,-262.85921262738935,-296.9606886013275,1.8497961069262715e-12,-474.6997174930505
t34,106.39962735433073,-2.6614641584114787e-12,-306.2508244054903,-337.9981024709276,1.7521462372413233e-12,-537.8492995220881
t35,121.57327993873383,2.5645742415804422e-12,-334.781280838998,-363.2287556863197,1.33248250999913e-12,-576.4367565865799
t36,108.82774300169906,-6.633895167561169e-12,-332.4912791035535,-366.43887874554224,1.6284848281892044e-12,-590.1024148474017
t37,81.88647210784185,3.983900328568627e-12,-313.97032695005794,-356.1608330404661,1.200480087462759e-12,-588.244687882677
t38,69.2296498426781,3.8507849559264564e-13,-303.83199721121906,-349.3860577692044,1.2042133488068234e-12,-583.9884051377437
t39,84.88188654393744,-9.594807554644944e-12,-311.7416092050532,-349.98491552102564,1.7108289807736152e-12,-576.8446381821492
t40,98.75180813866358,2.8131340453435875e-12,-312.10104725785214,-346.1104396303998,8.644491811333589e-13,-559.4596787495847
t41,106.37130134924142,-1.0195399739477947e-11,-303.3973149766276,-343.5259559356562,1.630543764417276e-12,-540.551969563051
t42,109.15968168327285,-2.5122930663645096e-12,-293.11947556998575,-337.11005226091896,1.3674788418646907e-12,-521.069846147633
t43,109.68469693937169,-1.0163895598832394e-11,-291.1167812423572,-339.13618827014596,1.496758586729698e-12,-520.5682725731402
t44,110.21909492606413,-7.453370640452967e-12,-290.7074913794694,-342.0834215208022,1.0681418126900463e-12,-522.5718179742138
t45,109.74583692808703,1.223230996897975e-12,-288.282157534361,-341.27937090693445,1.1186199777216653e-12,-519.815691513206
t46,111.68564120438128,7.81239971351215e-12,-290.9739658343729,-345.01474986021867,1.1870808415246308e-12,-524.3030744902013
t47,113.90924312703324,3.229843785408426e-12,-296.40960600121576,-356.2756170065471,1.9754018889419597e-12,-538.7759798807245
t48,113.95010672070376,-1.6002573508600932e-11,-296.1679123521357,-358.3935350077415,7.924130587838516e-13,-540.6113406391886
t49,112.9597652193116,6.743167094381911e-13,-293.63621889887054,-352.9800412620396,2.199591533608747e-12,-533.6564949415957
