Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4
t1,0.25902003311728633,5.691796265952507,0.0,0.0,0.0,0.0,0.0,32.84835002428302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1050404740283497,41.22989500018069,0.0,0.0,0.0,0.0,0.0,0.0,3.6052637605608986,0.0,0.0,0.0,18015.564303179894,0.0,0.0,0.0,0.0,0.0,0.0,17981.6853040578,0.0,0.0,0.0,0.0,0.0,0.0,18086.92454645623,0.0,0.0,0.0,0.0,0.0,0.0,17997.537633070857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.23478808190425,5.232635495955724,0.0,0.0,0.0,0.0,0.0,29.960692475840737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.990175110027971,37.58231984354225,0.0,0.0,0.0,0.0,0.0,0.0,3.2166923875917535,0.0,0.0,0.0,17920.572849707285,0.0,0.0,0.0,0.0,0.0,0.0,17809.087210017522,0.0,0.0,0.0,0.0,0.0,0.0,17991.06850268159,0.0,0.0,0.0,0.0,0.0,0.0,17905.643546452524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.21403695963998412,4.8838508717189555,0.0,0.0,0.0,0.0,0.0,27.673110023931635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8925839312864211,34.653779041793484,0.0,0.0,0.0,0.0,0.0,0.0,2.8583182999649366,0.0,0.0,0.0,17849.4783287757,0.0,0.0,0.0,0.0,0.0,0.0,17635.235333640234,0.0,0.0,0.0,0.0,0.0,0.0,17924.495597200254,0.0,0.0,0.0,0.0,0.0,0.0,17814.484729293865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.19389240596394156,4.571407852560193,0.0,0.0,0.0,0.0,0.0,25.569171464692012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7993666911732955,31.94772843270262,0.0,0.0,0.0,0.0,0.0,0.0,2.496716778027393,0.0,0.0,0.0,17793.20984013612,0.0,0.0,0.0,0.0,0.0,0.0,17477.776335315943,0.0,0.0,0.0,0.0,0.0,0.0,17871.96157073703,0.0,0.0,0.0,0.0,0.0,0.0,17738.896565376883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.17251241733871256,4.255308978361587,0.0,0.0,0.0,0.0,0.0,23.36935360369486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7001797407044601,29.11696081777487,0.0,0.0,0.0,0.0,0.0,0.0,2.1125427014081306,0.0,0.0,0.0,17746.3255780888,0.0,0.0,0.0,0.0,0.0,0.0,17349.07737310036,0.0,0.0,0.0,0.0,0.0,0.0,17828.41719134329,0.0,0.0,0.0,0.0,0.0,0.0,17679.888134736815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.14737412132281835,3.9021367278432373,0.0,0.0,0.0,0.0,0.0,20.86512317904099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5801090063485719,25.916216483655873,0.0,0.0,0.0,0.0,0.0,0.0,1.6783959474158385,0.0,0.0,0.0,17712.51621554739,0.0,0.0,0.0,0.0,0.0,0.0,17276.88798452726,0.0,0.0,0.0,0.0,0.0,0.0,17795.39943464622,0.0,0.0,0.0,0.0,0.0,0.0,17640.622147179598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.11140749789391197,3.4695721424053865,0.0,0.0,0.0,0.0,0.0,17.887899031683116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4064281754026179,22.206731302599845,0.0,0.0,0.0,0.0,0.0,0.0,1.1043115788936966,0.0,0.0,0.0,17690.118740243397,0.0,0.0,0.0,0.0,0.0,0.0,17241.48933478071,0.0,0.0,0.0,0.0,0.0,0.0,17773.021020651093,0.0,0.0,0.0,0.0,0.0,0.0,17615.85272797186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,9.192341755624866e-6,3.2367692661955383,0.0,0.0,0.0,0.0,0.0,18.6663773047993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1286860645557383e-6,23.370489411079543,0.0,0.0,0.0,0.0,0.0,0.0,1.415428888396747e-6,0.0,0.0,0.0,17687.01814136169,0.0,0.0,0.0,0.0,0.0,0.0,17238.301672017787,0.0,0.0,0.0,0.0,0.0,0.0,17769.884626976636,0.0,0.0,0.0,0.0,0.0,0.0,17612.39740565702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.1125244320138016,3.5667692620259928,0.0,0.0,0.0,0.0,0.0,20.51637730071233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4310657810194699,25.680489406909967,0.0,0.0,0.0,0.0,0.0,0.0,1.2697813063964432,0.0,0.0,0.0,17687.01814982524,0.0,0.0,0.0,0.0,0.0,0.0,17275.400038097683,0.0,0.0,0.0,0.0,0.0,0.0,17769.884635444898,0.0,0.0,0.0,0.0,0.0,0.0,17612.397414125946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
