Line,1,2,3,4,5,Total
AnnualSum,1953.5106732842255,1.3526636108364515e-6,5514.651864130033,6319.826616298538,1.3526559002678287e-6,13787.989156418116
t1,2639.8981368322743,1.3105126258400186e-6,6192.5383693974345,5246.131323492795,1.3105062674882793e-6,14078.567832343522
t2,1764.211962183545,1.3105100524528035e-6,5154.265366120877,6000.170270746382,1.3105035340266639e-6,12918.647601671817
t3,1518.7712404369427,1.3105094101007872e-6,4765.8710326564515,6106.510282508386,1.3105029073718636e-6,12391.152558222793
t4,1439.2692729150563,1.3105092517591209e-6,4621.736717449306,5943.190842057545,1.3105027587385435e-6,12004.19683504292
t5,1420.6812330937253,1.3105096048789685e-6,4678.186892347343,5785.024745738318,1.310502706992907e-6,11883.892873800398
t6,1563.4262523601437,1.310509987483936e-6,4757.5076234037,5558.6114234809675,1.3105028109814948e-6,11879.545301865825
t7,1644.8404728862326,1.3105102659844855e-6,4763.603996642088,5372.399536784683,1.3105030224156405e-6,11780.844008934017
t8,1613.9000597363008,1.3105123675631971e-6,4807.0302251128,5396.075548529832,1.310505213620606e-6,11817.00583599995
t9,1440.9002192684427,1.5547374867475556e-6,4797.043211510324,5419.736795611902,1.5547288591551865e-6,11657.680229500134
t10,1449.3696754998716,1.5547389088704528e-6,5026.99979876009,5500.241037156166,1.5547296621415548e-6,11976.610514525597
t11,1582.2920984204682,1.55474062616686e-6,5232.934375207009,5561.150444919343,1.5547302558885736e-6,12376.37692165629
t12,1608.9428284220405,1.5547408478535652e-6,5430.095274484848,5721.89466608305,1.5547301784692026e-6,12760.93277209941
t13,1622.482108331531,1.5547394233838445e-6,5444.30405772257,5950.1090607362785,1.554729600408383e-6,13016.895229899848
t14,1466.6974204923383,1.554738704690498e-6,5411.400407450807,6126.063965484772,1.554729159490072e-6,13004.161796537383
t15,1370.9825761182906,1.5547379850673607e-6,5498.3229382846475,6265.146163610461,1.5547284815992265e-6,13134.451681122866
t16,1297.261424497404,1.5547349100484735e-6,5369.794287850968,6193.520860307028,1.5547253344192882e-6,12860.57657576486
t17,1375.8571492938222,1.310510721343505e-6,5178.4827100679995,6128.328361141203,1.310502172948566e-6,12682.668223124037
t18,1533.9993977375193,1.3105101883916834e-6,4790.567308762348,5884.2685226427375,1.3105017191425544e-6,12208.835231763616
t19,1627.2192636314198,1.3105100188834042e-6,4701.173964979927,5791.164126478358,1.3105015990626753e-6,12119.557357710717
