Resource,Zone,AnnualSum,Capacity,CapacityFactor
East_batteries_1,1,0.01314231361605954,3.6,0.0
East_conventional_hydroelectric_1,1,1.023392856464401,6.6,0.15505952370672782
East_landfill_gas_1,1,2.3999999964145258,2.399999999,0.9999999989227216
East_natural_gas_internal_combustion_engine_1,1,1.1172830270544205e-8,3.190004561,0.0
East_petroleum_liquids_with_gt_1,1,1.6291084279679977e-9,81.38578428,0.0
East_petroleum_liquids_with_ic_1,1,1.6684642224198507e-9,3.9876553020000003,0.0
East_solar_photovoltaic_1,1,9.780549995930299,49.19999998,0.19879166666475925
North_conventional_hydroelectric_1,2,5.737202380287411,37.0,0.15505952379155205
North_landfill_gas_1,2,1.1999999985695073,2.4,0.4999999994039626
North_natural_gas_internal_combustion_engine_1,2,1.172138089704681e-8,15.45315008,0.0
North_onshore_wind_turbine_1,2,0.3542606927796147,0.599999964,0.0
North_petroleum_liquids_with_cc_1,2,1.904304697847633e-9,411.0342831,0.0
North_petroleum_liquids_with_gt_1,2,1.3205710090311637e-9,95.03220981,0.0
North_petroleum_liquids_with_st_1,2,1.6592644090560466e-9,203.0095722,0.0
North_solar_photovoltaic_1,2,3.038180950268262,14.89999999,0.20390476189981993
South_batteries_1,3,0.056952307345101316,5.1,0.0
South_conventional_hydroelectric_1,3,7.163749999321542,46.2,0.15505952379483895
South_natural_gas_fired_combined_cycle_1,3,8.325256643404146e-9,441.8841542,0.0
South_natural_gas_steam_turbine_1,3,9.071882401215374e-9,596.4329185,0.0
South_onshore_wind_turbine_1,3,42.366517840116245,74.99999997,0.5648869047608394
South_petroleum_liquids_with_gt_1,3,1.4453479074652626e-9,78.10429172,0.0
South_petroleum_liquids_with_st_1,3,1.6039833673079413e-9,402.7897111,0.0
South_solar_photovoltaic_1,3,9.103360705939554,43.79999996,0.20783928571354218
West_batteries_1,4,0.1839999289482541,21.8,0.0
West_petroleum_liquids_with_gt_1,4,1.6411163536903183e-9,218.5785422,0.0
West_petroleum_liquids_with_ic_1,4,1.6288234200753918e-9,3.58836252,0.0
West_solar_photovoltaic_1,4,9.290892850945037,44.99999997,0.20646428571419972
East_battery_moderate_0,1,99.49423940031443,1833.804519,0.0
East_naturalgas_ctavgcf_moderate_0,1,1.4081547267171324e-8,114.4410462,0.0
East_naturalgas_ccavgcf_moderate_0,1,216.34142163564363,219.4591126,0.9857937502461411
East_microgrid_solar_moderate_0,1,0.0,0.0,0.0
East_microgrid_diesel_moderate_0,1,1.7864107171712001e-10,2.023730769,0.0
East_utilitypv_class1_moderate_1,1,12.377019067876263,60.7000001,0.203904761902567
East_landbasedwind_class3_moderate_1,1,99.78343458240532,169.0000001,0.5904345238068764
North_battery_moderate_0,2,114.69280678710501,1828.467727,0.0
North_naturalgas_ctavgcf_moderate_0,2,1.4971988763453427e-8,115.1037863,0.0
North_naturalgas_ccavgcf_moderate_0,2,221.7358397785313,221.7358398,0.9999999999031813
North_microgrid_solar_moderate_0,2,0.0,0.0,0.0
North_microgrid_diesel_moderate_0,2,1.7960301278549478e-10,2.026669742,0.0
North_utilitypv_class1_moderate_1,2,25.605800020711712,123.2000001,0.20783928571370006
North_landbasedwind_class3_moderate_1,2,71.96659172289037,127.4000001,0.5648869047598262
South_battery_moderate_0,3,99.92449366335087,1826.109731,0.0
South_naturalgas_ctavgcf_moderate_0,3,1.4081539423430778e-8,114.3976308,0.0
South_naturalgas_ccavgcf_moderate_0,3,214.78039102349086,219.2000893,0.979837151113293
South_microgrid_solar_moderate_0,3,0.0,0.0,0.0
South_microgrid_diesel_moderate_0,3,1.7864107643331302e-10,2.029538365,0.0
South_utilitypv_class1_moderate_1,3,37.01500835317748,186.2000001,0.19879166666647904
South_landbasedwind_class3_moderate_1,3,104.0349375594352,173.5000001,0.5996249999969623
West_battery_moderate_0,4,98.8656236061441,1823.51793,0.0
West_naturalgas_ctavgcf_moderate_0,4,1.4081541326662079e-8,114.9632226,0.0
West_naturalgas_ccavgcf_moderate_0,4,216.88088316654617,221.0801532,0.981005667072908
West_microgrid_solar_moderate_0,4,0.0,0.0,0.0
West_microgrid_diesel_moderate_0,4,1.7864107311485965e-10,2.028682679,0.0
West_utilitypv_class1_moderate_1,4,38.44365002064643,186.2000001,0.2064642857142862
West_landbasedwind_class3_moderate_1,4,89.79200005190053,170.8000001,0.525714285710359
North_to_south_underground_line,2,0.0,520.6430643,0.0
North_to_east_underground_line,1,0.0,412.7961094,0.0
South_to_west_underground_line,4,0.0,1.928353272,0.0
