Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,9.770769446028234,0.0,0.0,0.0,0.35390643233729185,0.0,0.0,0.0,3.0351427693916366,0.0,0.0,0.0,0.0,42.32415132235616,0.0,0.0,9.094257345266207,0.0,0.0,0.0,9.281601958097982,0.0,0.0,0.0,0.0,0.0,12.364642048941645,99.68365114827054,0.0,0.0,0.0,0.0,0.0,25.58019422076321,71.89462513143246,0.0,0.0,0.0,0.0,0.0,36.97799334485932,103.93090262240307,0.0,0.0,0.0,0.0,0.0,38.405206370625784,89.70220805251952,0.0,0.0,0.0,552.399252213293
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.421378174717308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.64929997974094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.68819307023034,0.0,0.0,0.0,0.0,0.0,0.0,86.03627766753306,0.0,0.0,0.0,0.0,0.0,0.0,124.27510057162829,0.0,0.0,0.0,0.0,0.0,0.0,128.48378767522536,0.0,0.0,0.0,508.55403713907526
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375619737469206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.297649979080944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.24663007292764,0.0,0.0,0.0,0.0,0.0,0.0,88.8362748697302,0.0,0.0,0.0,0.0,0.0,0.0,127.74163057362695,0.0,0.0,0.0,0.0,0.0,0.0,131.89637167722336,0.0,0.0,0.0,524.456119146336
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4471523731714966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.79614997848154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.94792607452605,0.0,0.0,0.0,0.0,0.0,0.0,91.38172687172819,0.0,0.0,0.0,0.0,0.0,0.0,129.30156907452607,0.0,0.0,0.0,0.0,0.0,0.0,134.96769727902156,0.0,0.0,0.0,535.8422216514549
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445953573242784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.219724977912115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.61026407432625,0.0,0.0,0.0,0.0,0.0,0.0,93.79990627362693,0.0,0.0,0.0,0.0,0.0,0.0,127.74163057362695,0.0,0.0,0.0,0.0,0.0,0.0,138.03902288081977,0.0,0.0,0.0,540.8565023535548
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45194757288378457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.16777497713289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.29857407532525,0.0,0.0,0.0,0.0,0.0,0.0,97.1089938762237,0.0,0.0,0.0,0.0,0.0,0.0,128.78158957422633,0.0,0.0,0.0,0.0,0.0,0.0,141.28097768271786,0.0,0.0,0.0,552.0898577585098
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45973977241561204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.69224997692311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.49337707662397,0.0,0.0,0.0,0.0,0.0,0.0,97.99990207692365,0.0,0.0,0.0,0.0,0.0,0.0,131.55481357582477,0.0,0.0,0.0,0.0,0.0,0.0,141.96349448311744,0.0,0.0,0.0,559.1635769618285
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465134372091936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.84209997686317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.01285607752305,0.0,0.0,0.0,0.0,0.0,0.0,98.25444727712345,0.0,0.0,0.0,0.0,0.0,0.0,132.94142557662394,0.0,0.0,0.0,0.0,0.0,0.0,140.76909008241816,0.0,0.0,0.0,561.2850533626437
t8,0.0,0.0,0.0,0.0,0.0,0.0,4.1778179983017,0.0,0.0,0.0,0.46753197194808005,0.0,0.0,0.0,1.3396589991015406,0.0,0.0,0.0,0.0,56.1937499775225,0.0,0.0,4.63815719576424,0.0,0.0,0.0,4.225769997183474,0.0,0.0,0.0,0.0,0.0,5.457537008991654,131.688180077922,0.0,0.0,0.0,0.0,0.0,13.0461408105894,95.454450074925,0.0,0.0,0.0,0.0,0.0,15.811173008491503,134.67469057762295,0.0,0.0,0.0,0.0,0.0,17.485297209390602,137.3565060804195,0.0,0.0,0.0,622.0166609881741
