Line,1,2,3,4,5,Total
AnnualSum,97.68113399104378,-8.633231192862414e-13,-275.73041947925736,-315.9879041114773,1.2658835031703961e-12,-494.03718959969046
t1,132.504789891496,-2.913262727353147e-12,-309.4314506110463,-260.7702160036828,1.0814357926886815e-12,-437.6968767232349
t2,88.57606983112527,5.704173712541025e-12,-258.19184551175306,-298.74095986111644,7.431971110320003e-13,-468.3567355417378
t3,75.96003580685989,-3.962288477366684e-12,-238.53630293932676,-305.16958641970376,1.887955684133208e-12,-467.7458535521727
t4,72.01115592250416,-6.778136663849111e-12,-231.32200191017114,-297.40951454705794,8.72624788158651e-13,-456.72036053473084
t5,71.0084024584104,9.276910746381076e-12,-233.99497701217777,-289.5648305287777,9.002711638384971e-13,-452.55140508253487
t6,78.15323235733798,7.041030050323351e-12,-237.9048335687754,-278.04753690033715,1.7992030448264013e-12,-437.7991381117657
t7,82.27414601390913,-1.7376425058230145e-11,-238.22888983027343,-268.6186498273996,2.088917791849359e-12,-424.5733936437792
t8,80.71671898598673,1.0124549159206441e-11,-240.33754091836798,-269.81194980160393,-5.306517010503816e-13,-429.4327717339756
t9,72.17646008267599,8.927876729976486e-12,-239.85900173470822,-271.02890950113965,1.862882136483886e-12,-438.7114511531611
t10,72.6280148433741,-1.4273559975734527e-11,-251.20793129384285,-274.858193013899,8.962364078507374e-13,-453.4381094643811
t11,79.2717349580081,-1.0014532079111885e-11,-261.3247644035349,-277.7148902040758,6.017960699780266e-13,-459.767919649612
t12,80.68785622657836,-1.1965852112019842e-11,-271.1377552339815,-285.700899939246,1.0237489292855017e-12,-476.15079894666013
t13,81.17985477734176,-1.6638668176154713e-12,-271.8495257060857,-297.0979280947728,8.013663036862399e-13,-487.7675990235176
t14,73.40729374782958,-1.1714524306513513e-11,-270.6921810483731,-306.36168721037046,1.2131710555178726e-12,-503.6465745109245
t15,68.45274536216506,6.460705628257135e-12,-275.08301531562205,-313.32035139906463,1.637706465582261e-12,-519.9506213525135
t16,64.83153095018507,9.323773887948897e-12,-268.46035577639884,-309.62286467581737,1.5439071616657282e-12,-513.2516895020202
t17,68.79261511116938,-1.6671200054878099e-12,-258.9626243594133,-306.4608512087405,1.8865957941432002e-12,-496.63086045698424
t18,76.70145347522495,6.86300564211451e-13,-239.56069729846186,-294.40371881868464,1.7796151442082696e-12,-457.2629626419191
t19,81.3606074857771,1.0591281067722957e-11,-235.06365845110417,-289.718356633165,1.5857273880330075e-12,-443.4214075984799
t20,84.01341447838783,2.630748553538866e-12,-236.8657530485366,-290.62095000023436,1.3241170078505984e-12,-443.47328857037917
t21,85.21751257474567,-7.840014296491477e-13,-239.49133150383136,-289.7207818139427,1.3062888906333653e-12,-443.9946007430279
t22,89.34363663328459,-6.833960076925666e-12,-250.7442607655409,-303.53712305130824,1.541488939301588e-12,-464.93774718356985
t23,92.2713519197845,8.608593688587823e-12,-259.9488668501962,-318.74369919182345,1.004391182356934e-12,-486.42121412222554
t24,93.70648236912427,1.8687612380464216e-12,-263.0418903591893,-322.1769743193238,1.1432343457686273e-12,-491.5123823093858
t25,94.4857125498637,4.753011363776702e-12,-263.54602627718066,-319.19025150426114,1.9602690837238817e-12,-488.2505652315714
t26,94.62550706384147,-4.395154085710813e-12,-262.89981317177086,-315.8064539470849,1.3557274057210736e-12,-484.0807600550173
t27,94.56657698557814,-5.569523805632657e-12,-261.6623790554815,-311.0835132364336,6.616151936385228e-13,-478.17931530634183
t28,93.94293858618813,-5.276227714436032e-13,-256.97715238985677,-302.97839775507487,7.518845772618322e-13,-466.0126115587433
t29,92.09985221886684,2.8302095270951353e-14,-249.25246047289178,-291.48126503812597,6.696912073975067e-13,-448.6338732921502
t30,89.90050066631751,-7.89402178833314e-15,-240.53867899269244,-279.6305153951302,1.1204275901029547e-12,-430.268693721504
t31,88.51166683110523,-3.081103636899588e-13,-235.33313449390963,-269.9574811248674,7.136322866178986e-13,-416.77894878767137
t32,81.90461213810403,-1.3201006458984938e-12,-236.60535159033975,-271.9614764599313,1.066777304243334e-12,-426.66221591216726
t33,85.13287376926193,-2.1569450099749544e-11,-262.9156098848741,-297.00797440974117,9.976887731542425e-13,-474.79071052537387
t34,106.38396274542221,-1.3257326063217452e-11,-306.27824662077904,-338.0348617228823,2.044763922880419e-12,-537.9291455982503
t35,121.58308125279379,1.3615377723498584e-11,-334.7192844360209,-363.2231053147321,1.4226492768944362e-12,-576.3593084979442
t36,108.81717870952123,8.44276530343163e-14,-332.51243680343583,-366.48068787168614,1.9056603064198493e-12,-590.1759459655988
t37,81.87412885714603,-7.966098237188038e-12,-313.99101449356135,-356.1751362290394,1.8560188047823456e-12,-588.2920218654609
t38,69.24314339989033,1.411196752677014e-11,-303.81790385851957,-349.3976918264171,1.7119996666300892e-12,-583.9724522850305
t39,84.86536202652793,-4.975784007659512e-12,-311.7451002792823,-349.98919990209794,1.923815923788732e-12,-576.8689381548553
t40,98.73108263177274,-1.1825328737127003e-11,-312.09599661999357,-346.1248232580375,2.179041886118294e-12,-559.489737246268
t41,106.35303226591341,2.9621723392203743e-12,-303.3801144266443,-343.5521551573136,1.9638057953329124e-12,-540.5792373180396
t42,109.14288503370246,-2.464512751956131e-12,-293.09096998752364,-337.1432503761423,1.860381622324888e-12,-521.0913353299641
t43,109.66767225284055,1.5871877701080347e-11,-291.084805680514,-339.1672440068516,1.264506491965433e-12,-520.5843774345079
t44,110.20235042109536,1.6683632396010551e-12,-290.67480494902014,-342.10983682428196,1.0072650689013236e-12,-522.582291352204
t45,109.72953924509397,-7.1996273756107975e-12,-288.24960228446787,-341.3012816789693,1.9360550140569406e-12,-519.8213447183485
t46,111.66889677905515,1.0253338273948781e-12,-290.93845748972393,-345.03545695023314,1.537205853621424e-12,-524.3050176608992
t47,113.8903462883825,3.6360841962222908e-12,-296.36862264607163,-356.29712768008545,1.1826099757210926e-12,-538.7754040377698
t48,113.93068605149546,5.6520185908999324e-12,-296.12454167701884,-358.41375652280885,8.706903702506646e-13,-540.6076121483256
t49,112.94082149209581,8.460131106235968e-12,-293.59331458631294,-352.99735561000546,1.8979680365342286e-12,-533.6498487042122
t50,112.0821733664857,1.3432111078584922e-12,-290.98513653478665,-349.16646793281814,2.467275491375926e-12,-528.0694311011152
t51,110.52090799249177,1.7102012359906555e-11,-287.21862845503694,-340.53406651006367,1.2582165041994454e-12,-517.2317869725905
t52,107.35318038338426,1.783749619969233e-11,-278.07367274671805,-323.4292116612905,7.704358972827262e-13,-494.1497040246056
t53,103.48868134321654,1.5758857350230913e-11,-269.2226865576252,-308.9597479293775,1.8395722633315642e-12,-474.69375314376856
t54,98.37291791503485,5.808154613218497e-12,-256.7860277072554,-295.2704276514768,1.5480511022139906e-12,-453.68353744369
t55,92.49015864557104,-7.370558695174176e-12,-246.7286927417254,-287.3752588711203,1.743863533639213e-12,-441.6137929672803
t56,83.06271951973665,-9.097852634279882e-12,-245.118634967938,-289.26586045244056,1.0475348530821596e-12,-451.32177590065
t57,73.82901207603342,6.56372704609643e-14,-266.2498282551758,-300.81549039826314,1.3680089831217374e-12,-493.2363065774041
t58,73.16666560154597,-2.22194093368381e-11,-296.537458847457,-332.74387044362436,1.0615441139541802e-12,-556.1146636895566
t59,77.56401982617345,-3.266573904591096e-12,-313.4241448898238,-349.1746758957183,1.4027433376414952e-12,-585.0348009593706
t60,72.32499699924516,-7.387123932453163e-12,-315.4892638072462,-349.0459146323304,5.88901175969098e-13,-592.2101814403383
t61,67.1001882201775,6.289039341158149e-12,-318.2736203374081,-354.0923828444775,9.246914497204679e-13,-605.2658149617009
