Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4
t1,0.2590049049993449,5.695988487211118,0.0,0.0,0.0,0.0,0.0,32.895375973376645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1053419715389687,41.29381618285452,0.0,0.0,0.0,0.0,0.0,0.0,3.6072450386157415,0.0,0.0,0.0,18014.999998596824,0.0,0.0,0.0,0.0,0.0,0.0,17980.31928070695,0.0,0.0,0.0,0.0,0.0,0.0,18087.06935509143,0.0,0.0,0.0,0.0,0.0,0.0,17999.22229705361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.23479759555595964,5.230422598684594,0.0,0.0,0.0,0.0,0.0,29.9954297270989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9905114197417081,37.63027738377333,0.0,0.0,0.0,0.0,0.0,0.0,3.218072098245404,0.0,0.0,0.0,17919.614258142,0.0,0.0,0.0,0.0,0.0,0.0,17807.27881611588,0.0,0.0,0.0,0.0,0.0,0.0,17990.7052337133,0.0,0.0,0.0,0.0,0.0,0.0,17908.720365459452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.2140805783585693,4.878951592625932,0.0,0.0,0.0,0.0,0.0,27.69375274223533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928816444693406,34.68367933471841,0.0,0.0,0.0,0.0,0.0,0.0,2.8585633396249808,0.0,0.0,0.0,17848.499048568567,0.0,0.0,0.0,0.0,0.0,0.0,17633.558797392256,0.0,0.0,0.0,0.0,0.0,0.0,17923.88549551877,0.0,0.0,0.0,0.0,0.0,0.0,17817.7338644392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.19398574357679313,4.56534579503242,0.0,0.0,0.0,0.0,0.0,25.57665831595682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7995730211243941,31.960622550971785,0.0,0.0,0.0,0.0,0.0,0.0,2.495801866713887,0.0,0.0,0.0,17792.17941623848,0.0,0.0,0.0,0.0,0.0,0.0,17476.687471257672,0.0,0.0,0.0,0.0,0.0,0.0,17871.111873964735,0.0,0.0,0.0,0.0,0.0,0.0,17741.872434167326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.1726581691853181,4.248505939925829,0.0,0.0,0.0,0.0,0.0,23.361987707343918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7001704483708069,29.109531764795268,0.0,0.0,0.0,0.0,0.0,0.0,2.110431201538119,0.0,0.0,0.0,17745.324076490488,0.0,0.0,0.0,0.0,0.0,0.0,17348.406643411727,0.0,0.0,0.0,0.0,0.0,0.0,17827.49579108436,0.0,0.0,0.0,0.0,0.0,0.0,17682.520929238617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.14754377947094477,3.894522353238856,0.0,0.0,0.0,0.0,0.0,20.83851533199521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5796454057212598,25.881451643549727,0.0,0.0,0.0,0.0,0.0,0.0,1.6745617706377633,0.0,0.0,0.0,17711.535420876164,0.0,0.0,0.0,0.0,0.0,0.0,17276.376272808782,0.0,0.0,0.0,0.0,0.0,0.0,17794.47586786065,0.0,0.0,0.0,0.0,0.0,0.0,17643.128256297103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.11155276705369412,3.460887268825698,0.0,0.0,0.0,0.0,0.0,17.84187273099878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40521594251730897,22.145640187889992,0.0,0.0,0.0,0.0,0.0,0.0,1.0960381138287063,0.0,0.0,0.0,17689.103868736165,0.0,0.0,0.0,0.0,0.0,0.0,17241.084263336616,0.0,0.0,0.0,0.0,0.0,0.0,17772.073364827935,0.0,0.0,0.0,0.0,0.0,0.0,17618.36473317027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,9.067620993888395e-6,3.2368542010958126,0.0,0.0,0.0,0.0,0.0,18.657723382976023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1433282648233179e-6,23.351616682797683,0.0,0.0,0.0,0.0,0.0,0.0,1.417137731274477e-6,0.0,0.0,0.0,17685.970042421763,0.0,0.0,0.0,0.0,0.0,0.0,17237.87310771932,0.0,0.0,0.0,0.0,0.0,0.0,17768.905206320636,0.0,0.0,0.0,0.0,0.0,0.0,17614.8921655065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.11277081405070015,3.5668541969155005,0.0,0.0,0.0,0.0,0.0,20.507723378878488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4310872731035635,25.661616678617335,0.0,0.0,0.0,0.0,0.0,0.0,1.2674811959131942,0.0,0.0,0.0,17685.970050907014,0.0,0.0,0.0,0.0,0.0,0.0,17275.1357457915,0.0,0.0,0.0,0.0,0.0,0.0,17768.905214810806,0.0,0.0,0.0,0.0,0.0,0.0,17614.892173997097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
