region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
East,East_batteries_1,1,1,1,0.0,0.0,22446.0,2770.7999999999997,0.003575659492305025,0.0,0.021130196451488992,0.0,NaN,NaN,0.0,-2.3215589139084553e-8,0.0,0.0,0.0,NaN,NaN,NaN
East,East_conventional_hydroelectric_1,1,1,2,0.0,0.0,310516.8,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,5.411743192362516e-7,2558.482754911765,0.0,0.0,NaN,310516.8,NaN
East,East_landfill_gas_1,1,1,3,0.0,0.0,50399.99997473996,0.0,12.768000430735,0.0,0.0,0.3933216954351804,0.0,NaN,0.0,2.8581624472181197e-6,6000.001169127967,0.0,0.0,NaN,50413.16129686613,NaN
East,East_natural_gas_internal_combustion_engine_1,1,1,4,0.0,0.0,66990.09577820059,0.0,8.636627560204854e-8,1.678622725047335e-6,0.0,1.5408373312817773e-6,0.0,NaN,0.0,3.798979686205563e-6,0.0,0.0,0.0,NaN,66990.09578150642,NaN
East,East_petroleum_liquids_with_gt_1,1,1,5,0.0,0.0,1.1349247618519145e6,0.0,1.2183065819350315e-7,6.918966129906033e-6,0.0,5.108970036204785e-6,0.0,NaN,0.0,9.69224135403631e-5,0.0,0.0,0.0,NaN,1.1349247618640643e6,NaN
East,East_petroleum_liquids_with_ic_1,1,1,6,0.0,0.0,83740.76134408702,0.0,8.565374198529937e-8,4.8299193397266036e-6,0.0,2.798316475357546e-6,0.0,NaN,0.0,4.748902767759558e-6,0.0,0.0,0.0,NaN,83740.76135180092,NaN
East,East_solar_photovoltaic_1,1,1,7,0.0,0.0,1.1130515995410425e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,7.5763285718685164e-6,24451.379059023027,0.0,0.0,NaN,1.1130515995410425e6,NaN
North,North_conventional_hydroelectric_1,2,1,8,0.0,0.0,1.740776e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,3.2803917946681447e-6,14343.00846834224,0.0,0.0,NaN,1.740776e6,NaN
North,North_landfill_gas_1,2,1,9,0.0,0.0,50399.99999618068,0.0,12.768000438151555,0.0,0.0,0.4380545652784869,0.0,NaN,0.0,2.858162448434014e-6,6000.001172613191,0.0,0.0,NaN,50413.20605118412,NaN
North,North_natural_gas_internal_combustion_engine_1,2,1,10,0.0,0.0,324516.1516301365,0.0,1.0205153139575953e-7,1.98348277186495e-6,0.0,2.0927284733851316e-6,0.0,NaN,0.0,1.8403172193846465e-5,0.0,0.0,0.0,NaN,324516.15163431474,NaN
North,North_onshore_wind_turbine_1,2,1,11,0.0,0.0,25799.998436793925,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,1.9682004653621857e-7,885.6521961134309,0.0,0.0,NaN,25799.998436793925,NaN
North,North_petroleum_liquids_with_cc_1,2,1,12,0.0,0.0,6.778777396282765e6,0.0,6.465289588940482e-8,4.091888885554265e-6,0.0,3.099782604439916e-6,0.0,NaN,0.0,0.000489501147066682,0.0,0.0,0.0,NaN,6.778777396290021e6,NaN
North,North_petroleum_liquids_with_gt_1,2,1,13,0.0,0.0,1.1477039978908193e6,0.0,1.200826654947972e-7,8.11899824905069e-6,0.0,4.780378305810294e-6,0.0,NaN,0.0,0.00011317395562286835,0.0,0.0,0.0,NaN,1.147703997903839e6,NaN
North,North_petroleum_liquids_with_st_1,2,1,14,0.0,0.0,6.915724088011953e6,0.0,2.0623394155670156e-8,6.25725452302366e-6,0.0,1.5555947507459237e-6,0.0,NaN,0.0,0.00024176430670835316,0.0,0.0,0.0,NaN,6.915724088019786e6,NaN
North,North_solar_photovoltaic_1,2,1,15,0.0,0.0,337082.6997664105,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,2.267827385498511e-6,7595.453733339712,0.0,0.0,NaN,337082.6997664105,NaN
South,South_batteries_1,3,1,16,0.0,0.0,31798.5,12006.800000000001,0.006941599024276478,0.0,0.04012090419571913,0.0,NaN,NaN,0.0,-1.0608871626972403e-7,0.0,0.0,0.0,NaN,NaN,NaN
South,South_conventional_hydroelectric_1,3,1,17,0.0,0.0,2.1736176e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,4.168204657410179e-6,17909.37809152112,0.0,0.0,NaN,2.1736176e6,NaN
South,South_natural_gas_fired_combined_cycle_1,3,1,18,0.0,0.0,4.3247202170876e6,0.0,7.017360840935719e-8,2.3073704482522715e-6,0.0,1.3322608676486034e-6,0.0,NaN,0.0,0.0005262402900701558,0.0,0.0,0.0,NaN,4.324720217091311e6,NaN
South,South_natural_gas_steam_turbine_1,3,1,19,0.0,0.0,1.8608707056819364e7,0.0,2.1602517138687927e-8,2.3783148585706428e-6,0.0,5.348107278040468e-6,0.0,NaN,0.0,0.0007102925711503824,0.0,0.0,0.0,NaN,1.8608707056827113e7,NaN
