Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4,0
AnnualSum,0.14086797634325995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26747269463812756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3874986725437374,0.0,0.0,0.0,8.521651049673016,0.0,0.0,0.0,0.0,0.0,0.0,8.555239432865264,0.0,0.0,0.0,0.0,0.0,0.0,8.488839320991778,0.0,0.0,0.0,0.0,0.0,0.0,8.42863723430653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.79020638136171
t1,0.1453334797114326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2135469824459579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27990077597902263,0.0,0.0,0.0,3.631288679495875,0.0,0.0,0.0,0.0,0.0,0.0,5.286829595782916,0.0,0.0,0.0,0.0,0.0,0.0,2.361429303347518,0.0,0.0,0.0,0.0,0.0,0.0,3.1528233921744317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.071152208937153
t2,0.14306667069091267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22845395508885774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27973311079216095,0.0,0.0,0.0,3.4076694088899107,0.0,0.0,0.0,0.0,0.0,0.0,3.5327048200602884,0.0,0.0,0.0,0.0,0.0,0.0,2.4798402576550935,0.0,0.0,0.0,0.0,0.0,0.0,2.7453788348923527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.816847058069577
t3,0.14188773626837856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2376225772226455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27712814745673325,0.0,0.0,0.0,3.369168465633758,0.0,0.0,0.0,0.0,0.0,0.0,3.37458738509718,0.0,0.0,0.0,0.0,0.0,0.0,2.7366480486444362,0.0,0.0,0.0,0.0,0.0,0.0,2.849066214738212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.986108575061344
t4,0.14170233011196814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24143531598800777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27680037556771725,0.0,0.0,0.0,3.3433717691894933,0.0,0.0,0.0,0.0,0.0,0.0,3.261300355337614,0.0,0.0,0.0,0.0,0.0,0.0,2.8962253500401873,0.0,0.0,0.0,0.0,0.0,0.0,2.9435622282132443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.104397724448232
t5,0.14186639552882552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23990653937267745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2773766527459432,0.0,0.0,0.0,3.263490548861266,0.0,0.0,0.0,0.0,0.0,0.0,3.126239832162062,0.0,0.0,0.0,0.0,0.0,0.0,2.9535714987827246,0.0,0.0,0.0,0.0,0.0,0.0,2.9770405747447004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9794920421982
t6,0.14272705954440107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23414072548175105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2794013393733636,0.0,0.0,0.0,3.1528502568133248,0.0,0.0,0.0,0.0,0.0,0.0,3.003073337768293,0.0,0.0,0.0,0.0,0.0,0.0,2.930373859571987,0.0,0.0,0.0,0.0,0.0,0.0,2.954950182570175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.697516761123296
t7,0.1472078356458936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22827789427064693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28366926149481364,0.0,0.0,0.0,2.9766459948417032,0.0,0.0,0.0,0.0,0.0,0.0,2.823949091284796,0.0,0.0,0.0,0.0,0.0,0.0,2.819993723524941,0.0,0.0,0.0,0.0,0.0,0.0,2.854573033813542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.134316834876337
t8,0.13317130067981653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18494026036052108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23765425816318694,0.0,0.0,0.0,2.386131553071733,0.0,0.0,0.0,0.0,0.0,0.0,2.2702127395984966,0.0,0.0,0.0,0.0,0.0,0.0,2.3015534225895795,0.0,0.0,0.0,0.0,0.0,0.0,2.3423228104248786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.855986344888212
t9,0.13973917963555074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3894231204177804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8606426893611389,0.0,0.0,0.0,43.28607154752157,0.0,0.0,0.0,0.0,0.0,0.0,43.026616742916644,0.0,0.0,0.0,0.0,0.0,0.0,42.6367650943788,0.0,0.0,0.0,0.0,0.0,0.0,43.35804357320031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.6973019474318
t10,0.13986581734167475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31662053802393364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6996278909789856,0.0,0.0,0.0,83.26478543725254,0.0,0.0,0.0,0.0,0.0,0.0,83.57957371856021,0.0,0.0,0.0,0.0,0.0,0.0,80.72966574573934,0.0,0.0,0.0,0.0,0.0,0.0,83.06098988404248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.7911290319392
t11,0.13999005007360954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2919731597528803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6365231429559233,0.0,0.0,0.0,118.1540453008393,0.0,0.0,0.0,0.0,0.0,0.0,120.19551446334067,0.0,0.0,0.0,0.0,0.0,0.0,113.34216377638414,0.0,0.0,0.0,0.0,0.0,0.0,116.55388538602087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.3140952793674
t12,0.139867387458539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818006189539135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6030538727787957,0.0,0.0,0.0,118.52328545941371,0.0,0.0,0.0,0.0,0.0,0.0,120.47904932057207,0.0,0.0,0.0,0.0,0.0,0.0,114.88791324111858,0.0,0.0,0.0,0.0,0.0,0.0,117.8434089388649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.7583788391605
