Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,9.770769445919292,0.0,0.0,0.0,0.353906431999909,0.0,0.0,0.0,3.0351427692717454,0.0,0.0,0.0,0.0,42.32415132304606,0.0,0.0,9.094257345438931,0.0,0.0,0.0,9.281601958835877,0.0,0.0,0.0,0.0,0.0,12.36464204921396,99.68365115193,0.0,0.0,0.0,0.0,0.0,25.580194220894864,71.89462513916716,0.0,0.0,0.0,0.0,0.0,36.97799334500765,103.93090263380309,0.0,0.0,0.0,0.0,0.0,38.40520636902847,89.70220803619435,0.0,0.0,0.0,552.3992522197514
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4213781743317588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.649299980580814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.68819307459592,0.0,0.0,0.0,0.0,0.0,0.0,86.03627767680915,0.0,0.0,0.0,0.0,0.0,0.0,124.27510058526141,0.0,0.0,0.0,0.0,0.0,0.0,128.48378765188764,0.0,0.0,0.0,508.55403714346664
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437561973349534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.29764997995192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.24663007746372,0.0,0.0,0.0,0.0,0.0,0.0,88.83627487931086,0.0,0.0,0.0,0.0,0.0,0.0,127.74163058764393,0.0,0.0,0.0,0.0,0.0,0.0,131.8963716532668,0.0,0.0,0.0,524.4561191509868
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44715237276766895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.796149979380345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.94792607916332,0.0,0.0,0.0,0.0,0.0,0.0,91.38172688158517,0.0,0.0,0.0,0.0,0.0,0.0,129.30156908871717,0.0,0.0,0.0,0.0,0.0,0.0,134.96769725450844,0.0,0.0,0.0,535.8422216561221
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44595357284070763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.219724978837505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.6102640789508,0.0,0.0,0.0,0.0,0.0,0.0,93.79990628374564,0.0,0.0,0.0,0.0,0.0,0.0,127.74163058764697,0.0,0.0,0.0,0.0,0.0,0.0,138.03902285574995,0.0,0.0,0.0,540.8565023577717
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45194757247729356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.16777497809456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.2985740800131,0.0,0.0,0.0,0.0,0.0,0.0,97.10899388670208,0.0,0.0,0.0,0.0,0.0,0.0,128.7815895883638,0.0,0.0,0.0,0.0,0.0,0.0,141.2809776570602,0.0,0.0,0.0,552.0898577627111
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45973977200488264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.69224997789513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.4933770813941,0.0,0.0,0.0,0.0,0.0,0.0,97.99990208749739,0.0,0.0,0.0,0.0,0.0,0.0,131.5548135902725,0.0,0.0,0.0,0.0,0.0,0.0,141.9634944573351,0.0,0.0,0.0,559.1635769663991
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46513437167811056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.842099977838814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.01285608234977,0.0,0.0,0.0,0.0,0.0,0.0,98.25444728772398,0.0,0.0,0.0,0.0,0.0,0.0,132.94142559122855,0.0,0.0,0.0,0.0,0.0,0.0,140.76909005685107,0.0,0.0,0.0,561.2850533676703
t8,0.0,0.0,0.0,0.0,0.0,0.0,4.177817998182342,0.0,0.0,0.0,0.46753197153292547,0.0,0.0,0.0,1.3396589989752046,0.0,0.0,0.0,0.0,56.193749978468986,0.0,0.0,4.638157195782269,0.0,0.0,0.0,4.2257699974467045,0.0,0.0,0.0,0.0,0.0,5.45753700904064,131.68818008277682,0.0,0.0,0.0,0.0,0.0,13.04614081058963,95.45445008522081,0.0,0.0,0.0,0.0,0.0,15.811173008484309,134.67469059242458,0.0,0.0,0.0,0.0,0.0,17.48529720859516,137.35650605546803,0.0,0.0,0.0,622.0166609929884
