Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4
t1,-0.00011412583249194938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001437109488105578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014183540644591746,0.0,0.0,0.0,-0.00014022401430085357,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001402284462786719,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014022455007068612,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014022558406365403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,-0.0001174865488516692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014871040520053532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014338900619803246,0.0,0.0,0.0,-0.00014025302033256578,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014025579615378685,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001402510343868199,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001402546993111141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,-0.00011753604253277512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015041885490456192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014389028959990697,0.0,0.0,0.0,-0.00014026466506465956,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014026740248399933,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014026316959252411,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014026651040938224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,-0.00011752509482989664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015094816968828686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014398966202432394,0.0,0.0,0.0,-0.0001402735099907127,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014027623898345824,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014027240171740182,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001402753751730999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,-0.00011755515862144601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015072573782354135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014381762746275742,0.0,0.0,0.0,-0.0001402811934674757,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014028389978740075,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001402803997696517,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014028302964714804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,-0.0001176335853272241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014969250307263516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001433634676020931,0.0,0.0,0.0,-0.00014028825683624666,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014029093101106913,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014028774274739224,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014029003852746957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,-0.00011749907215102771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014733259511703355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014250171063198515,0.0,0.0,0.0,-0.00014029502086236768,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001402976541237058,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014029476879751928,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014029672910582017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,-0.00011350622925882507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014186001535482603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014072179153535398,0.0,0.0,0.0,-0.00014030163577272335,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014030421166735338,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014030163581092202,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001403032471243143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,-9.403936818707234e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013435842749206202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013830381841887406,0.0,0.0,0.0,-0.00014030824146460283,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014031076936495124,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014030849824045412,0.0,0.0,0.0,0.0,0.0,0.0,-0.000140309763284168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
