Line,1,2,3,4,5,Total
AnnualSum,20265.300000622377,25523.10000065373,10474.200001070949,15359.400000811474,6230.700001242995,77852.70000440151
t1,20265.3000015119,25523.100001523664,10474.200001874198,15359.400001466794,6230.700001996358,77852.70000837292
t2,20265.30000153054,25523.10000150708,10474.200001851179,15359.400001603277,6230.700001973101,77852.70000846518
t3,20265.300001523592,25523.100001505125,10474.200001845828,15359.400001608092,6230.700001973023,77852.70000845565
t4,20265.300001519478,25523.100001500232,10474.200001846824,15359.400001606093,6230.7000019766065,77852.70000844923
t5,20265.300001517964,25523.100001496427,10474.200001849727,15359.40000160531,6230.700001980897,77852.70000845032
t6,20265.30000151787,25523.100001490773,10474.200001853167,15359.400001605447,6230.700001985997,77852.70000845326
t7,20265.30000151862,25523.10000148697,10474.200001856638,15359.4000016069,6230.700001990736,77852.70000845987
t8,20265.300001350217,25523.10000130685,10474.200001736961,15359.400001447459,6230.700001891729,77852.70000773322
t9,20265.300000949366,25523.100000885497,10474.200001428315,15359.400001057393,6230.7000016226275,77852.70000594319
t10,20265.300000942723,25523.10000087924,10474.200001422234,15359.40000105004,6230.700001618127,77852.70000591237
t11,20265.3000009407,25523.100000881463,10474.200001425286,15359.400001052376,6230.700001620468,77852.7000059203
t12,20265.300000934974,25523.1000008845,10474.200001427975,15359.400001053653,6230.700001622784,77852.70000592389
t13,20265.30000093683,25523.100000890292,10474.20000142948,15359.400001057465,6230.700001622929,77852.70000593699
t14,20265.300000934323,25523.10000089312,10474.200001426336,15359.400001055026,6230.7000016171,77852.70000592589
t15,20265.300000919502,25523.100000886334,10474.2000014099,15359.40000103997,6230.700001597648,77852.70000585336
t16,20265.30000085027,25523.100000819115,10474.20000133851,15359.40000097102,6230.700001527803,77852.70000550672
t17,20265.300000884166,25523.10000085526,10474.200001294274,15359.40000098576,6230.7000014645755,77852.70000548403
t18,20265.30000077112,25523.10000073322,10474.200001145673,15359.400000857979,6230.700001320037,77852.70000482802
t19,20265.300000790667,25523.10000075081,10474.200001144432,15359.400000871336,6230.700001318637,77852.70000487588
t20,20265.300000786945,25523.100000745886,10474.200001135687,15359.400000867108,6230.7000013119,77852.70000484753
t21,20265.300000779403,25523.10000073933,10474.200001127296,15359.40000086134,6230.700001305098,77852.70000481248
t22,20265.300000769388,25523.100000732982,10474.200001116607,15359.400000851529,6230.700001293724,77852.70000476424
t23,20265.30000076126,25523.100000727813,10474.20000110859,15359.400000844877,6230.7000012847475,77852.70000472729
t24,20265.30000075545,25523.100000724226,10474.200001104111,15359.400000841555,6230.700001280381,77852.70000470572
t25,20265.300000750565,25523.100000720682,10474.200001101264,15359.400000838978,6230.700001278102,77852.7000046896
t26,20265.300000745807,25523.100000717855,10474.200001099165,15359.400000836698,6230.700001276728,77852.70000467626
t27,20265.30000074163,25523.100000715145,10474.200001097615,15359.400000834756,6230.700001276106,77852.70000466525
