region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
East,East_batteries_1,1,1,1,0.0,0.0,22446.0,2770.7999999999997,4.928577595876884e-5,0.0,4.9973398585781704e-12,0.0,NaN,NaN,0.0,74.63084156964746,0.0,0.0,0.0,NaN,NaN,NaN
East,East_conventional_hydroelectric_1,1,1,2,0.0,0.0,310516.8,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,159517.38676447887,5.5444674073437124e7,0.0,0.0,NaN,310516.8,NaN
East,East_landfill_gas_1,1,1,3,0.0,0.0,50399.99999999967,0.0,12.768000131469423,0.0,0.0,5.054975885592724e-7,0.0,NaN,0.0,375189.7741415451,1.3002554688961506e8,0.0,0.0,NaN,50412.76800063664,NaN
East,East_natural_gas_internal_combustion_engine_1,1,1,4,0.0,0.0,67199.9999997353,0.0,17.023976796895266,330.8795490223627,0.0,3.9159335353743685e-5,0.0,NaN,0.0,500253.03218675964,0.0,0.0,0.0,NaN,67547.90356471388,NaN
East,East_petroleum_liquids_with_gt_1,1,1,5,0.0,0.0,1.7570699999998973e6,0.0,4.501023399198324e-6,0.0002556206205461381,0.0,3.682411045858228e-5,0.0,NaN,0.0,1.96974631424301e7,0.0,0.0,0.0,NaN,1.757070000296843e6,NaN
East,East_petroleum_liquids_with_ic_1,1,1,6,0.0,0.0,83999.99999973382,0.0,4.573780286057509e-6,0.00025791038835268733,0.0,3.681331193975119e-5,0.0,NaN,0.0,625316.290233931,0.0,0.0,0.0,NaN,84000.00029903131,NaN
East,East_solar_photovoltaic_1,1,1,7,0.0,0.0,1.113051599999988e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,1.1373501507295733e6,5.2988389638474745e8,0.0,0.0,NaN,1.113051599999988e6,NaN
North,North_conventional_hydroelectric_1,2,1,8,0.0,0.0,1.740776e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,894264.1222545565,3.1082619697163177e8,0.0,0.0,NaN,1.740776e6,NaN
North,North_landfill_gas_1,2,1,9,0.0,0.0,50399.99999999972,0.0,12.768000131266998,0.0,0.0,5.050964345027229e-7,0.0,NaN,0.0,375189.7741415456,1.3002554688755362e8,0.0,0.0,NaN,50412.76800063609,NaN
North,North_natural_gas_internal_combustion_engine_1,2,1,10,0.0,0.0,470399.99999973073,0.0,119.16797883197728,2316.1595885763995,0.0,3.902753896040691e-5,0.0,NaN,0.0,3.501771225319106e6,0.0,0.0,0.0,NaN,472835.32760616665,NaN
