Constraint,CapRes_1
t1,2.9196646936863937e-7
t2,2.8378464165186514e-7
t3,2.7115065102574834e-7
t4,2.576987269283551e-7
t5,2.453837406354451e-7
t6,2.2869796991069475e-7
t7,2.1826087187031027e-7
t8,2.1154510954448504e-7
t9,1.8617575477851115e-7
t10,1.6705195463597298e-7
t11,1.493403575724335e-7
t12,1.502173500044393e-7
t13,1.6548065241529216e-7
t14,1.840800541885975e-7
t15,2.051884991580548e-7
t16,2.2177850732106803e-7
t17,2.3399775745404594e-7
t18,2.351803748264946e-7
t19,2.3300839510484632e-7
t20,2.3145288423961226e-7
t21,2.301970009748114e-7
t22,2.466010077382611e-7
t23,2.7650115421108445e-7
t24,2.858184123063697e-7
t25,2.8320341787989423e-7
t26,2.7580916541208324e-7
t27,2.6485099576348395e-7
t28,2.5055003568691614e-7
t29,2.3701491674717948e-7
t30,2.2434741189652513e-7
t31,2.16164730091941e-7
t32,2.1222320528293038e-7
t33,1.9627705760997603e-7
t34,1.8157231318712062e-7
t35,1.697710593365643e-7
t36,1.8574692622626502e-7
t37,2.270412639081154e-7
t38,2.650165469845397e-7
t39,2.8259880116602417e-7
t40,2.9850391290670884e-7
t41,3.0488629551168935e-7
t42,3.0820126620028105e-7
t43,3.171152351852156e-7
t44,3.137043742959977e-7
t45,3.0615467476704634e-7
t46,3.162054160474587e-7
t47,3.578534960461373e-7
t48,3.6512817757281126e-7
t49,3.526023859100844e-7
t50,3.416150094224788e-7
t51,3.158989653244763e-7
t52,2.7553156674752796e-7
t53,2.5337676658771744e-7
t54,2.381236528679703e-7
t55,2.281379081300057e-7
t56,2.2364232478988352e-7
t57,2.1637585457328352e-7
t58,2.3083441507082282e-7
t59,2.255472160727735e-7
t60,2.373397364137369e-7
t61,2.74306615716432e-7
t62,2.9674775490752604e-7
t63,2.9983313070302504e-7
t64,3.0889263530095884e-7
t65,3.2895847937186794e-7
t66,3.321272575892181e-7
t67,3.3287704934583205e-7
t68,3.3125990969976346e-7
t69,3.202657510584724e-7
t70,3.2838642969863935e-7
t71,3.782676612521752e-7
t72,3.958642160752472e-7
t73,3.7532070874987893e-7
t74,3.5903245171052634e-7
t75,3.424281033122133e-7
t76,3.2069332069717976e-7
t77,2.9639616559115477e-7
t78,2.714163170993111e-7
t79,2.4413283366857116e-7
t80,2.3642610743064417e-7
t81,2.3313799762739812e-7
t82,2.2754421772101026e-7
t83,1.9758861691473086e-7
t84,2.072303370193991e-7
t85,2.4536162169444507e-7
t86,2.7281214830531374e-7
t87,2.8725930004160927e-7
t88,2.9968163835212277e-7
t89,3.018529118361309e-7
t90,3.262306032240324e-7
t91,3.106963696174192e-7
t92,2.992753975554063e-7
t93,2.878997825265851e-7
t94,3.0472418186813504e-7
t95,3.290896054102339e-7
t96,3.3309922131230996e-7
t97,3.3497389168765927e-7
t98,3.3365985167933977e-7
t99,3.2409907429582485e-7
t100,3.0317025923569186e-7
t101,2.6043417249629657e-7
t102,2.4241705485610915e-7
t103,2.3243060858036565e-7
t104,2.2608272562328918e-7
t105,2.234914339393989e-7
t106,2.2602176949483487e-7
t107,2.0908683473441336e-7
t108,2.2522147301658464e-7
t109,2.610192711861229e-7
t110,2.7402918071166037e-7
t111,2.859393798498501e-7
t112,2.9759844303154513e-7
t113,2.969542201614841e-7
t114,3.11506698307965e-7
t115,3.1903130782421043e-7
t116,3.1736674885999954e-7
t117,3.131511905487305e-7
t118,3.2980849544761965e-7
t119,3.521872235003625e-7
t120,3.4318206774464976e-7
t121,3.246233069182398e-7
t122,3.1098510677928343e-7
t123,2.9368240633812117e-7
t124,2.723200614940763e-7
t125,2.5534634546220264e-7
t126,2.417472254559341e-7
t127,2.2813720062968062e-7
t128,2.1938496706503878e-7
t129,2.1843671566115994e-7
t130,2.2401639914630358e-7
t131,2.2379689742916425e-7
t132,2.408618758791445e-7
t133,2.6914875399143727e-7
t134,2.9330454208422496e-7
t135,3.10126200019388e-7
t136,3.3107289159976446e-7
t137,3.379007227928571e-7
t138,3.3246687420541486e-7
t139,3.2533874165318296e-7
t140,3.204731122277582e-7
t141,3.134868642744356e-7
t142,3.2668805330516787e-7
t143,3.4966725500612095e-7
t144,3.4279893982805617e-7
t145,3.2517548586968683e-7
t146,3.1089564796167827e-7
t147,2.985501627062687e-7
t148,2.818034230834293e-7
t149,2.6325764973610926e-7
t150,2.4446938401029506e-7
t151,2.2761495073963922e-7
t152,2.1642261407607357e-7
t153,2.1255751145975476e-7
t154,1.9971849616450697e-7
t155,1.759461917960059e-7
t156,1.8248692188712631e-7
t157,2.1145935557425653e-7
t158,2.3987285589424124e-7
t159,2.500176341462978e-7
t160,2.557185466520741e-7
t161,2.6629319430361994e-7
t162,2.714605807109597e-7
t163,2.6511661362170744e-7
t164,2.628909139578937e-7
t165,2.6031659277094474e-7
t166,2.7151236169111866e-7
t167,2.950309828298308e-7
t168,3.0232175471142205e-7
t169,Inf
t170,Inf
t171,Inf
t172,Inf
t173,Inf
t174,Inf
t175,Inf
t176,Inf
t177,Inf
t178,Inf
t179,Inf
t180,Inf
t181,Inf
t182,Inf
t183,Inf
t184,Inf
t185,Inf
t186,Inf
t187,Inf
t188,Inf
t189,Inf
t190,Inf
t191,Inf
t192,Inf
t193,Inf
t194,Inf
t195,Inf
t196,Inf
t197,Inf
t198,Inf
t199,Inf
t200,Inf
t201,Inf
t202,Inf
t203,Inf
t204,Inf
t205,Inf
t206,Inf
t207,Inf
t208,Inf
t209,Inf
t210,Inf
t211,Inf
t212,Inf
t213,Inf
t214,Inf
t215,Inf
t216,Inf
t217,Inf
t218,Inf
t219,Inf
t220,Inf
t221,Inf
t222,Inf
t223,Inf
t224,Inf
t225,Inf
t226,Inf
t227,Inf
t228,Inf
t229,Inf
t230,Inf
t231,Inf
t232,Inf
t233,Inf
t234,Inf
t235,Inf
t236,Inf
t237,Inf
t238,Inf
t239,Inf
t240,Inf
t241,Inf
t242,Inf
t243,Inf
t244,Inf
t245,Inf
t246,Inf
t247,Inf
t248,Inf
t249,Inf
t250,Inf
t251,Inf
t252,Inf
t253,Inf
t254,Inf
t255,Inf
t256,Inf
t257,Inf
t258,Inf
t259,Inf
t260,Inf
t261,Inf
t262,Inf
t263,Inf
t264,Inf
t265,Inf
t266,Inf
t267,Inf
t268,Inf
t269,Inf
t270,Inf
t271,Inf
t272,Inf
t273,Inf
t274,Inf
t275,Inf
t276,Inf
t277,Inf
t278,Inf
t279,Inf
t280,Inf
t281,Inf
t282,Inf
t283,Inf
t284,Inf
t285,Inf
t286,Inf
t287,Inf
t288,Inf
t289,Inf
t290,Inf
t291,Inf
t292,Inf
t293,Inf
t294,Inf
t295,Inf
t296,Inf
t297,Inf
t298,Inf
t299,Inf
t300,Inf
t301,Inf
t302,Inf
t303,Inf
t304,Inf
t305,Inf
t306,Inf
t307,Inf
t308,Inf
t309,Inf
t310,Inf
t311,Inf
t312,Inf
t313,Inf
