Resource,Zone,AnnualSum,Capacity,CapacityFactor
East_batteries_1,1,0.0016428591986256279,3.6,0.0
East_conventional_hydroelectric_1,1,1.023392881857144,6.6,0.15505952755411312
East_landfill_gas_1,1,2.4000000247122966,2.3999999999999844,1.0000000102967992
East_natural_gas_internal_combustion_engine_1,1,3.199995638514146,3.199999999987395,0.999998637039612
East_petroleum_liquids_with_gt_1,1,8.524665528784704e-7,125.99999999999264,0.0
East_petroleum_liquids_with_ic_1,1,8.762031199343891e-7,3.9999999999873244,0.0
East_solar_photovoltaic_1,1,9.780550013742047,49.19999999999946,0.19879166694597922
North_conventional_hydroelectric_1,2,5.737202405666069,37.0,0.1550595244774617
North_landfill_gas_1,2,2.400000024674248,2.3999999999999866,1.0000000102809448
North_natural_gas_internal_combustion_engine_1,2,22.399996021048352,22.399999999987177,0.9999998223688049
North_onshore_wind_turbine_1,2,0.35426074620186454,0.5999999999990773,0.0
North_petroleum_liquids_with_cc_1,2,9.98621463778365e-7,429.39999999998037,0.0
North_petroleum_liquids_with_gt_1,2,6.567917319215531e-7,488.09999999996035,0.0
North_petroleum_liquids_with_st_1,2,7.033453522630005e-7,4.957162236252088e-6,0.0
North_solar_photovoltaic_1,2,3.038180966186924,14.899999999999592,0.20390476283134326
South_batteries_1,3,0.007119049674817191,5.1,0.0
South_conventional_hydroelectric_1,3,7.16375002471351,46.2,0.15505952434444864
South_natural_gas_fired_combined_cycle_1,3,110.8938288922729,579.999999999994,0.1911962567108178
South_natural_gas_steam_turbine_1,3,739.0168383980358,765.5999996843632,0.9652780024852597
South_onshore_wind_turbine_1,3,42.36651788873887,74.9999999999994,0.5648869051831907
South_petroleum_liquids_with_gt_1,3,7.24842531775654e-7,83.99999999999265,0.0
South_petroleum_liquids_with_st_1,3,7.988546537938973e-7,589.9669425199047,0.0
South_solar_photovoltaic_1,3,9.103360728139327,43.79999999999918,0.20783928603058263
West_batteries_1,4,0.02300000205590167,21.8,0.0
West_petroleum_liquids_with_gt_1,4,8.600658283605122e-7,219.9999999999932,0.0
West_petroleum_liquids_with_ic_1,4,8.493306678611294e-7,3.5999999999869616,0.0
West_solar_photovoltaic_1,4,9.290892870979492,44.9999999999994,0.20646428602176975
East_battery_moderate_0,1,13.161483593744082,240.34013515823423,0.0
East_naturalgas_ctavgcf_moderate_0,1,1.3501042551043648e-7,2.2449782562221842e-7,0.0
East_naturalgas_ccavgcf_moderate_0,1,9.567955950814603e-8,1.434293940374365e-7,0.0
East_microgrid_solar_moderate_0,1,0.0,0.0,0.0
East_microgrid_diesel_moderate_0,1,8.966951778624084e-8,236.46707263878267,0.0
East_utilitypv_class1_moderate_1,1,12.37701906142369,60.700000024635564,0.20390476204943017
East_landbasedwind_class3_moderate_1,1,99.78343455571313,169.00000002462158,0.5904345239122837
North_battery_moderate_0,2,365.8747670637593,6681.19139831022,0.0
North_naturalgas_ctavgcf_moderate_0,2,1.3517237450999758e-7,2.2450393720095319e-7,0.0
North_naturalgas_ccavgcf_moderate_0,2,9.576605514969661e-8,1.4343475611266272e-7,0.0
North_microgrid_solar_moderate_0,2,0.0,0.0,0.0
North_microgrid_diesel_moderate_0,2,9.025302196840818e-8,240.43384992082647,0.0
North_utilitypv_class1_moderate_1,2,25.60580001385128,123.20000002462714,0.20783928578516928
North_landbasedwind_class3_moderate_1,2,71.96659169825854,127.40000002462723,0.5648869049006837
South_battery_moderate_0,3,0.0024088502351062285,0.04398765929840117,0.0
South_naturalgas_ctavgcf_moderate_0,3,1.347549416536e-7,2.2448921458306045e-7,0.0
South_naturalgas_ccavgcf_moderate_0,3,9.554299915522681e-8,1.434219831176621e-7,0.0
South_microgrid_solar_moderate_0,3,0.0,0.0,0.0
South_microgrid_diesel_moderate_0,3,8.874982542407659e-8,235.95511676881387,0.0
South_utilitypv_class1_moderate_1,3,37.01500834707159,186.2000000246196,0.1987916667141649
South_landbasedwind_class3_moderate_1,3,104.03493753201631,173.50000002462127,0.5996250000994411
West_battery_moderate_0,4,12.797728270251548,233.69764664489213,0.0
West_naturalgas_ctavgcf_moderate_0,4,1.350069446590099e-7,2.2449727189422743e-7,0.0
West_naturalgas_ccavgcf_moderate_0,4,9.567738839301214e-8,1.4342873961085048e-7,0.0
West_microgrid_solar_moderate_0,4,0.0,1.2196594343761102e-11,0.0
West_microgrid_diesel_moderate_0,4,8.965927558295987e-8,237.29461782891477,0.0
West_utilitypv_class1_moderate_1,4,38.443650013832546,186.20000002461956,0.20646428576127593
West_landbasedwind_class3_moderate_1,4,89.7920000311072,170.8000000246212,0.5257142858206306
North_to_south_underground_line,2,1.0339058658583068e-11,1.0339058658583095e-11,0.0
North_to_east_underground_line,1,2.119050540760831e-12,2.1190505407608335e-12,0.0
South_to_west_underground_line,4,1.9802045457083586e-12,1.9802045457083654e-12,0.0
