Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4,0
AnnualSum,3.33155990571878e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3317845327844445e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3476444289397615e-11,0.0,0.0,0.0,4.076976002928456e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.06862635287882e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.077067365082821e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.0730010515422874e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6306659639875366e-10
t1,3.3749086017237425e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.374067583993376e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3854089010099365e-11,0.0,0.0,0.0,3.529965880477909e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.551441789182554e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.514026092256343e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.516413990324213e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4246232838968076e-10
t2,3.3513544794238855e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3537596578092907e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3687919357846485e-11,0.0,0.0,0.0,3.6169923955535977e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.628251784626996e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.608077108075159e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.6049829334495554e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.453221029472313e-10
t3,3.3432910576681553e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.346798347293529e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3619607848440294e-11,0.0,0.0,0.0,3.6489430816504285e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.656772866899872e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.642955650731645e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.638168912201047e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4638890701288704e-10
t4,3.3392638776487015e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.343317447029337e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.358641921489408e-11,0.0,0.0,0.0,3.669032383095258e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.6754579801711957e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.664203476140561e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.6602035064774304e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4710120592051895e-10
t5,3.3367049927312544e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.340908036283853e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.356456911610542e-11,0.0,0.0,0.0,3.6863778017110605e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.69117011270431e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.683670755869217e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.6798937523332143e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4775182363243456e-10
t6,3.334973164982603e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3390410306530844e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3547430885257525e-11,0.0,0.0,0.0,3.71187686935031e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.716407056822803e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.709272371714384e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.70748325168661e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4873796833735546e-10
t7,3.334401304877286e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.337848709896159e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.354312423087499e-11,0.0,0.0,0.0,3.7299110704277884e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.7331508058359925e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.7269697688532105e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.728103571899383e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.494469765487732e-10
t8,3.3348449751279123e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.340039253682197e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.356079546829319e-11,0.0,0.0,0.0,3.824369433820796e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.824912282581302e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.8216929197022695e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.821250461823078e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.532318887356687e-10
