Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,9.770769449986153,0.0,0.0,0.0,0.35390645353896766,0.0,0.0,0.0,3.035142771414683,0.0,0.0,0.0,0.0,42.32415133925379,0.0,0.0,9.094257353557404,0.0,0.0,0.0,9.281601964271752,0.0,0.0,0.0,0.0,0.0,12.36464203358093,99.6836511037912,0.0,0.0,0.0,0.0,0.0,25.58019420510464,71.89462508888,0.0,0.0,0.0,0.0,0.0,36.977993329880434,103.93090257723154,0.0,0.0,0.0,2.518161139331533e-12,0.0,38.40520635506922,89.70220801291259,0.0,0.0,0.0,552.3992520384759
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4213781999660482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.64929999996663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.68819301727568,0.0,0.0,0.0,0.0,0.0,0.0,86.03627761661505,0.0,0.0,0.0,0.0,0.0,0.0,124.27510051761999,0.0,0.0,0.0,0.0,0.0,0.0,128.4837876185059,0.0,0.0,0.0,508.55403696994927
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375619999656906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.297649999966346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.24663001794013,0.0,0.0,0.0,0.0,0.0,0.0,88.83627481715658,0.0,0.0,0.0,0.0,0.0,0.0,127.74163051811216,0.0,0.0,0.0,0.0,0.0,0.0,131.89637161899802,0.0,0.0,0.0,524.4561189721389
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44715239996547873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.79614999996608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.94792601833389,0.0,0.0,0.0,0.0,0.0,0.0,91.38172681764887,0.0,0.0,0.0,0.0,0.0,0.0,129.30156901833365,0.0,0.0,0.0,0.0,0.0,0.0,134.967697219441,0.0,0.0,0.0,535.8422214736889
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44595359996550527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.21972499996584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.61026401828467,0.0,0.0,0.0,0.0,0.0,0.0,93.79990621811656,0.0,0.0,0.0,0.0,0.0,0.0,127.74163051811216,0.0,0.0,0.0,0.0,0.0,0.0,138.03902281988397,0.0,0.0,0.0,540.8565021743287
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45194759996537276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.16777499996551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.29857401853076,0.0,0.0,0.0,0.0,0.0,0.0,97.10899381875655,0.0,0.0,0.0,0.0,0.0,0.0,128.78158951825984,0.0,0.0,0.0,0.0,0.0,0.0,141.2809776203515,0.0,0.0,0.0,552.0898575758296
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45973979996520065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.692249999965426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.49337701885068,0.0,0.0,0.0,0.0,0.0,0.0,97.99990201892886,0.0,0.0,0.0,0.0,0.0,0.0,131.5548135186536,0.0,0.0,0.0,0.0,0.0,0.0,141.96349442044996,0.0,0.0,0.0,559.1635767768137
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4651343999650815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.8420999999654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0128560190722,0.0,0.0,0.0,0.0,0.0,0.0,98.25444721897809,0.0,0.0,0.0,0.0,0.0,0.0,132.94142551885045,0.0,0.0,0.0,0.0,0.0,0.0,140.76909002027767,0.0,0.0,0.0,561.2850531771088
t8,0.0,0.0,0.0,0.0,0.0,0.0,4.177817999974266,0.0,0.0,0.0,0.4675319999650285,0.0,0.0,0.0,1.339658999974213,0.0,0.0,0.0,0.0,56.193749999965675,0.0,0.0,4.638157199973967,0.0,0.0,0.0,4.225769999974145,0.0,0.0,0.0,0.0,0.0,5.457537002191451,131.6881800191706,0.0,0.0,0.0,0.0,0.0,13.046140802584532,95.45445001843656,0.0,0.0,0.0,0.0,0.0,15.811173002066981,134.67469051909652,0.0,0.0,0.0,1.1464798683135436e-12,0.0,17.48529720228844,137.3565060197855,0.0,0.0,0.0,622.0166607854491
