Line,1,2,3,4,5,Total
AnnualSum,33.06742993551756,-236.57803076849083,-523.1525326016472,-61.076197812673705,45.917913576838345,-741.8214176704558
t1,14.876185665617019,-241.0413411856324,-523.7099796779947,-12.77390965994824,21.504021131432314,-741.1450237265261
t2,21.467291048733923,-238.65823011937616,-523.7099796795821,-19.416405283199126,22.81013239891359,-737.5071916345099
t3,26.902101784827813,-234.55866691816215,-523.7099796804954,-35.46062258501986,33.04275380547923,-733.7844135933703
t4,34.643761361093524,-232.73328306216567,-523.7099796795089,-48.979524238626745,40.699023858907424,-730.0800017603003
t5,42.798296747667344,-233.29025062308915,-523.7099796784154,-66.32014360489786,51.071585503857364,-729.4504916548777
t6,59.69825730114744,-231.11749348515963,-523.7099796757087,-88.21670202359235,66.65979928385046,-716.6861185994628
t7,74.66843608946398,-231.66652618775703,-523.7099796732693,-101.20013359970643,76.06269999068823,-705.8455033805806
t8,105.07197375317772,-246.10805297778865,-523.7099796688184,-130.90601438046053,85.84668372218822,-709.8053895517016
t9,66.29101211469805,-177.39011159238422,-523.7099790184599,-152.28859524151258,53.188151492114386,-733.9095222455443
t10,20.875680214554613,-104.24608632248685,-523.7099789852964,-161.86766464983677,18.264980007722734,-750.6830697353427
t11,1.16110150269999e-7,-54.59988772014622,-482.3545060079653,-168.75367113751503,5.799755250207898e-8,-705.7080646915188
t12,1.2043994165391262e-7,-56.87948382974059,-484.18063870806037,-174.31723544255718,5.945833712609699e-8,-715.3773578004599
t13,13.229208755422778,-93.15706032539356,-523.7099789751815,-174.99878270647957,11.91470683525932,-766.7219064163726
t14,49.802278262262064,-155.3404949707214,-523.7099790108123,-186.8279353718768,39.18485257218772,-776.8912785189607
t15,88.91544949173897,-217.2702960044216,-523.709979028982,-189.70486511305384,63.47343754946,-778.2962531052586
t16,117.97227570909826,-263.7186743321131,-523.7099790378797,-181.64874592468416,80.3163867480356,-770.7887368375431
t17,78.63657121684166,-254.35768329829023,-523.7099796763464,-132.5075641893705,70.71292920551228,-761.2257267416531
t18,30.444380606098548,-232.87306978349253,-523.709979679018,-57.793478922438766,41.05549999399812,-742.8766477848527
t19,17.9311380776274,-226.31288439414058,-523.7099796791745,-31.206242287232197,30.480646322996424,-732.8173219599233
t20,18.85329862941315,-224.94372429520655,-523.7099796793042,-32.9520432704036,31.94171936337708,-730.8107292521241
t21,21.118139076650213,-224.9231385257586,-523.7099796794492,-36.5713660160464,35.31416238136598,-728.7721827632379
t22,5.650034348038544,-230.0722968422003,-523.7099796814338,-8.330162941674432,16.85111497823138,-739.6112901390386
t23,6.8889163044849e-5,-248.78741164969026,-523.7099694506521,-0.00011597847730634978,19.193959524270728,-753.3034686653859
t24,6.176742913768704e-5,-254.46050745907178,-523.7099694524666,-0.00011040762399892084,21.75678889833735,-756.4137366533959
t25,6.345705599480456e-5,-251.42832096764707,-523.7099694555053,-0.00011011961300095145,23.65456866768373,-751.4837684180256
t26,7.357754736283681e-5,-245.8189582587779,-523.7099694496762,-0.0001155645599778906,22.324474386862647,-747.2044953086041
t27,8.818282579237304e-5,-237.53635553095987,-523.709969451445,-0.000126602943491455,19.78670989691956,-741.459653505603
t28,2.0932705710617747,-227.31933284545383,-523.7099796799968,-2.8724083338832243,17.641494769800847,-734.1669555184712
t29,14.797109677587388,-223.43537620461566,-523.7099796818436,-22.941494737391043,31.685315558111846,-723.6044253881511
t30,29.244085272008952,-219.45199037145807,-523.709979680013,-46.587738212356705,47.505829277222766,-712.9997937145961
t31,43.868521194652715,-218.4951029653871,-523.7099796780502,-65.79988078530216,60.30529038637011,-703.8311518477167
t32,74.5961849367693,-231.17656323323553,-523.7099796745504,-105.96589575343464,74.36678960799871,-711.8894641164526
t33,87.66156031631309,-210.95420920887602,-523.709979030967,-156.21622896487614,67.15149672512541,-736.0673601632807
t34,51.31247582772714,-148.36928468311362,-523.7099790114348,-175.22602055905654,40.21724374017597,-755.775564685702
t35,22.607281743360527,-101.86499581057336,-523.7099789822114,-181.21081063931265,19.150817497901947,-765.027686190835
t36,52.14780701575479,-146.6624004021916,-523.7099790105456,-202.70210350673125,39.142136517370616,-781.784539386343
t37,120.78111924260449,-248.831840157688,-523.7099790384896,-220.98343769293567,74.15319466443927,-798.5909429820695
t38,141.57113082939065,-299.89050455215704,-523.7099796781954,-208.0099940338162,86.40613005961589,-803.6332173751621
t39,103.0806937265601,-283.49015274938216,-523.709979684647,-167.75939865831455,78.48904737668445,-793.3897899890992
t40,62.06515082020143,-266.8699491983222,-523.7099796881632,-112.8543345561636,63.84529168674552,-777.523820935702
t41,24.516822658181948,-253.0460936375495,-523.7099796890441,-47.88495248249721,36.04419749616421,-764.0800056547446
t42,9.217750551775545e-5,-246.3156442819458,-523.7099694559009,-0.0001224401798920301,20.83561239798405,-749.190031602537
t43,7.25442686693884e-5,-253.17561613002658,-523.7099694570119,-0.00011039425967535469,25.621866582486128,-751.2637568545433
t44,5.5880802889013954e-5,-252.3008934016328,-523.7099694687954,-7.535360018703197e-5,21.308703258826828,-754.7021790843986
t45,8.289828577149772e-5,-249.3604492499369,-523.7099694526545,-0.00012328428971423918,17.563292403785344,-755.50716668481
t46,3.052058582237355e-5,-255.3172894319604,-523.7099694631881,-4.0699683760638513e-5,23.206451401218512,-755.8208176730279
