Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4
t1,0.299896565068977,5.603212822461582,0.0,0.0,0.0,0.0,0.0,32.54379621018519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2998697964010586,34.02749322966935,0.0,0.0,0.0,0.0,0.0,0.0,4.199865103026319,0.0,0.0,0.0,2403.401201663615,0.0,0.0,0.0,0.0,0.0,0.0,66304.51928528868,0.0,0.0,0.0,0.0,0.0,0.0,0.43972656504906255,0.0,0.0,0.0,0.0,0.0,0.0,2336.9763132554135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.29984474049204246,5.15301537324417,0.0,0.0,0.0,0.0,0.0,29.678825025153575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2998043449488659,31.062676146985226,0.0,0.0,0.0,0.0,0.0,0.0,4.199797520445259,0.0,0.0,0.0,2403.4011233537367,0.0,0.0,0.0,0.0,0.0,0.0,65829.00397133848,0.0,0.0,0.0,0.0,0.0,0.0,0.4396481034907943,0.0,0.0,0.0,0.0,0.0,0.0,2336.9762332264604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.29980581687284513,4.859059648808512,0.0,0.0,0.0,0.0,0.0,27.82795057485201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2997551005863166,29.964816866087098,0.0,0.0,0.0,0.0,0.0,0.0,4.199746775706437,0.0,0.0,0.0,2403.4010663596005,0.0,0.0,0.0,0.0,0.0,0.0,65403.279678892315,0.0,0.0,0.0,0.0,0.0,0.0,0.4395910790759936,0.0,0.0,0.0,0.0,0.0,0.0,2336.976175047254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.2997733375688725,4.600882859462045,0.0,0.0,0.0,0.0,0.0,26.03858917272296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2997139545658958,28.841157538589417,0.0,0.0,0.0,0.0,0.0,0.0,4.199704446884868,0.0,0.0,0.0,2403.4010188394036,0.0,0.0,0.0,0.0,0.0,0.0,65037.77912836664,0.0,0.0,0.0,0.0,0.0,0.0,0.43954352076061515,0.0,0.0,0.0,0.0,0.0,0.0,2336.976126414991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.29974488127409615,4.348013914532355,0.0,0.0,0.0,0.0,0.0,24.259679418517674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.299677868547423,27.6695079554387,0.0,0.0,0.0,0.0,0.0,0.0,4.199667377690828,0.0,0.0,0.0,2403.4009771207325,0.0,0.0,0.0,0.0,0.0,0.0,64734.83091595034,0.0,0.0,0.0,0.0,0.0,0.0,0.43950184008997617,0.0,0.0,0.0,0.0,0.0,0.0,2336.9760837947406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.29971923748313267,4.072148410522102,0.0,0.0,0.0,0.0,0.0,22.222544462679952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2996453242717467,26.249094001617554,0.0,0.0,0.0,0.0,0.0,0.0,4.199633990635401,0.0,0.0,0.0,2403.4009399351917,0.0,0.0,0.0,0.0,0.0,0.0,64530.32442028842,0.0,0.0,0.0,0.0,0.0,0.0,0.43946457799900174,0.0,0.0,0.0,0.0,0.0,0.0,2336.9760457329376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.2996957000687656,3.7409394746098417,0.0,0.0,0.0,0.0,0.0,19.590830216457576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2996154364075376,24.31513678237,0.0,0.0,0.0,0.0,0.0,0.0,4.19960336574913,0.0,0.0,0.0,2403.400906171629,0.0,0.0,0.0,0.0,0.0,0.0,64398.13189597379,0.0,0.0,0.0,0.0,0.0,0.0,0.43943071892934016,0.0,0.0,0.0,0.0,0.0,0.0,2336.9760112364847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.2996738153540534,3.320265164668155,0.0,0.0,0.0,0.0,0.0,16.88681871152589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2995876365636965,22.468034613826934,0.0,0.0,0.0,0.0,0.0,0.0,4.199574912276984,0.0,0.0,0.0,2403.400874761632,0.0,0.0,0.0,0.0,0.0,0.0,64365.04852441146,0.0,0.0,0.0,0.0,0.0,0.0,0.4393993000010081,0.0,0.0,0.0,0.0,0.0,0.0,2336.97597918417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.2996691746159225,3.650259514198803,0.0,0.0,0.0,0.0,0.0,18.73681316221947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.299582613966764,24.778028835699445,0.0,0.0,0.0,0.0,0.0,0.0,4.199569933063906,0.0,0.0,0.0,2403.4008696834367,0.0,0.0,0.0,0.0,0.0,0.0,64365.04851854235,0.0,0.0,0.0,0.0,0.0,0.0,0.4393941134865055,0.0,0.0,0.0,0.0,0.0,0.0,2336.975974037606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
