Line,1,2,3,4,5,Total
AnnualSum,661.3488277103476,4731.560788938109,10463.050784195919,1221.5241836458915,918.3584466436372,17995.843031133903
t1,297.52388333321204,4820.826997703179,10474.199702837497,255.4783636768877,430.0805959790488,16278.109543529825
t2,429.34599098436075,4773.164776362574,10474.199702860164,388.3282761390422,456.2028213118328,16521.241567657973
t3,538.0422057031178,4691.173512333066,10474.199702874725,709.2126221829936,660.855249429897,17073.4832925238
t4,692.8753972328856,4654.66583521462,10474.19970285746,979.590655260113,813.9806504981082,17615.312241063188
t5,855.9661049694784,4665.805186434329,10474.199702838576,1326.4030425888272,1021.4318833988729,18343.805920230083
t6,1193.965316051791,4622.350043685302,10474.199702793203,1764.3342109723212,1333.196159006835,19388.04543250945
t7,1493.3688918306743,4633.330697748553,10474.199702753107,2024.0028425063165,1521.2541731513784,20146.15630799003
t8,2101.4396451171283,4922.16123355605,10474.19970267331,2618.120458115424,1716.9338478022496,21832.854887264162
t9,1325.8204176806846,3547.8024112718026,10474.199693081295,3045.772080607173,1063.7632086678254,19457.35781130878
t10,417.51377977175997,2084.9219059322627,10474.199692469225,3237.353468786897,365.2997791116286,16579.28862607177
t11,0.00035583284069676165,1091.9979341378328,9647.09029935579,3375.0736022523497,0.00036180596694138924,14114.16255338478
t12,0.0003559546980270531,1137.589856318948,9683.612953386148,3486.3448884040636,0.00036184145014719194,14307.548415905307
t13,264.5843506171448,1863.1413860094674,10474.19969228119,3499.975829923035,238.2943157070268,16340.195574537864
t14,996.0457406521775,3106.810078847579,10474.199692938555,3736.5588831974574,783.6972303189701,19097.31162595474
t15,1778.3091651920531,4345.4060994840875,10474.199693270706,3794.0974780129445,1269.4689297935183,21661.48136575331
t16,2359.4456895120384,5274.373666015422,10474.19969342983,3632.9750942474066,1606.327913721141,23347.322056925834
t17,1572.7315943581257,5087.153839928296,10474.199702799104,2650.151454266073,1414.2587574432687,21198.495348794866
t18,608.8877821252272,4657.461569614861,10474.199702841242,1155.8697489269643,821.1101731873189,17717.528976695616
t19,358.6229315537899,4526.257861823837,10474.19970284326,624.125016225779,609.6130997615742,16592.818612208237
t20,377.0661425888142,4498.874659844071,10474.199702845415,659.041035890074,638.8345605678505,16648.016101736226
t21,422.3629515330303,4498.462944454124,10474.199702847933,731.4274908044273,706.28342092601,16832.736510565526
t22,113.00085694789797,4601.44611077106,10474.199702880194,166.60342930189856,337.02247285992974,15692.27257276098
t23,0.0015849346727694101,4975.748405657865,10474.199515684037,0.002527198144901558,383.87936252612405,15833.831396000844
t24,0.0014424890842690502,5089.210321842962,10474.199515714292,0.00241577066242751,435.13595000637446,15998.549645823374
t25,0.0014762674111916166,5028.566592014345,10474.199515767916,0.0024099983224192927,473.09154539201296,15975.861539440006
t26,0.0016787072263368286,4916.379337835828,10474.19951566645,0.002518928766187088,446.4896597727582,15837.072710911028
t27,0.0019708058650815753,4750.727283280888,10474.19951569837,0.002739692314305637,395.734369971841,15620.665879449278
t28,41.86558141329401,4546.386830827815,10474.19970285332,57.448337157146895,352.83006868162516,15472.730520933204
t29,295.9423635377999,4468.707698018644,10474.199702887612,458.8300652250519,633.7064844482591,16331.386314117368
t30,584.8818754368153,4389.039981366705,10474.199702857646,931.7549347372806,950.11675883424,17329.99325323269
t31,877.3705939005196,4369.90223325701,10474.199702825596,1315.9977862076391,1206.1059810235818,18243.576297214346
t32,1491.923868762321,4623.531438632609,10474.19970276811,2119.3180855740266,1487.3359654804342,20196.309061217504
t33,1753.2313816796814,4219.084363569686,10474.199693307293,3124.3247550730553,1343.030113277591,20913.870306907305
t34,1026.2496919583273,2967.3858730987213,10474.199692948767,3504.520586952551,804.3450536648787,18776.700898623247
t35,452.14581036372033,2037.3000957394977,10474.199692413978,3624.216388596018,383.0165289307538,16970.87851604397
t36,1042.9563157198454,2933.2481874874175,10474.19969293177,4054.042245896382,782.8429092272831,19287.289351262694
t37,2415.622560175355,4976.636982526391,10474.199693439046,4419.668929595503,1483.0640720646588,23769.192237800955
t38,2831.4227866010497,5997.810265003534,10474.19970283163,4160.200051137381,1728.12277454122,25191.755580114816
t39,2061.61404450748,5669.803228912645,10474.199702936698,3355.188143613844,1569.7811208394364,23130.586240810102
t40,1241.3031863583167,5337.399157870356,10474.199702993685,2257.0868615636646,1276.9060070158287,20586.89491580185
t41,490.3366231105268,5060.922046646839,10474.199703007433,957.6992200877643,720.8841231962533,17704.041716048818
t42,0.002050673283273756,4926.313058279675,10474.199515770211,0.002656419257826496,416.71241997767646,15817.229701120104
t43,0.00165800181634197,5063.512495240341,10474.199515789043,0.0024154930314283386,512.4375036689336,16050.153588193165
t44,0.0013246745096425787,5046.018040674682,10474.199515995468,0.001714619267286538,426.17423720054046,15946.394833164468
t45,0.0018651049437803065,4987.2091576380235,10474.19951571369,0.002673314876141869,351.26602009554625,15812.679231867081
t46,0.0008174966482629361,5106.345961278584,10474.199515896478,0.0010215669330104202,464.12920004785633,16044.6765162865
t47,0.0006519742410316781,5488.3002222885525,10474.199513926551,0.0007378488740741702,637.5992434868731,16600.10036952509
t48,0.0007445015930216119,5621.392952317459,10474.195159501753,0.001052734043452794,734.1262650468939,16829.71617410174
t49,0.0007379319594856422,5566.860918104061,10474.195155779842,0.001020690042566367,769.6566082911282,16810.714440797034
t50,0.000740102972081644,5468.310252458226,10474.195139837246,0.0010344904579432342,729.7652942960422,16672.272461184944
t51,0.0009347016364538568,5236.6459802685185,10474.199514876349,0.001258031506356038,614.5050647246132,16325.352752602625
t52,0.0019789649463541254,4740.707793880514,10474.199515820112,0.0025210162187070955,421.33469188996594,15636.246501571755
t53,219.31837080436,4556.1522441923335,10474.199702948308,317.0729656815289,533.8857009491779,16100.62898457571
t54,525.2401622611115,4480.719025411331,10474.1997029128,868.3094886580948,861.1796704086552,17209.64804965199
t55,757.9177667562999,4475.673017322967,10474.199702872327,1266.0048753214444,1048.5821165752116,18022.37747884825
t56,1258.6883124332514,4679.457129398227,10474.199702826227,2041.7024460068035,1323.5544077759266,19777.601998440434
t57,2346.6311228290433,5135.253825286562,10474.199693447163,3402.5108715732163,1634.1816187433114,22992.777131879295
t58,2638.2882708032794,5439.251522144575,10474.199693487684,4042.1224106362483,1644.0479365882215,24237.909833660007
t59,2408.016252927023,5098.448756458158,10474.199693438859,4259.1863477046145,1511.3313473374167,23751.182397866072
t60,2747.6875366089257,5567.864914221821,10474.199693495832,4365.670619124198,1637.574897165527,24792.997660616304
t61,2762.364073075395,6140.807215172198,10474.199702875398,4108.256442790435,1725.6833477779098,25211.310781691336
t62,1908.7428245582216,5807.945063742632,10474.199702965157,3383.0268463301763,1500.331836387979,23074.246273984165
t63,1303.8922068081156,5480.824663888875,10474.199702992193,2548.9346311579548,1263.8700034469439,21071.721208294082
t64,504.32386726772455,5194.7659656644355,10474.199703011964,1137.2679692259658,672.4200602976221,17982.977565467714
t65,0.0008526247564550063,5265.506775221519,10474.199515337288,0.0010747167129825862,552.7435637818526,16292.45178168213
t66,0.0007015754542905564,4871.53369994596,10469.38173199212,0.0008520065117923406,663.8033383438936,16004.72032386394
t67,0.0006837394852113003,4637.167828737053,10469.347653303446,0.0008495294132624797,599.4990548170585,15706.016070126456
t68,0.0006859285263991672,4740.168054833206,10469.342755105412,0.0008482268304913897,583.9870085371608,15793.499352631135
t69,0.0006944074464951876,4850.889548023267,10469.340321831934,0.0008405289004728514,616.5813905991365,15936.812795390686
t70,0.0006910611616798782,4937.098401858969,10469.339639573665,0.0008534149954244763,555.0715887742086,15961.511174682999
t71,0.0006740986867315352,4884.343048023726,10469.341697618847,0.0008897105599833251,432.9855850729076,15786.671894524727
t72,0.000672479027428101,4873.5754042325,10469.342437331536,0.0008983674811849357,417.8476148561755,15760.76702726672
t73,0.0006859713050261029,5035.919483813948,10469.343164815034,0.0008858802555781484,472.44154747926257,15977.705767959806
t74,0.0006994539873888659,5104.357455545683,10469.344373639155,0.000869474143744735,564.209947277924,16137.913345390893
t75,0.0007120238353303831,5092.626294574012,10469.345449242295,0.0008517182129300741,699.5905460716556,16261.56385363001
t76,0.000723498075048385,5040.978263121994,10469.345949046234,0.0008451455049091071,838.1283324477197,16348.454113259528
t77,0.0007553027275496518,5025.622419927362,10469.386810467617,0.0008849285987870363,1007.7697109850418,16502.780581611347
t78,0.000985194477918289,4799.010009050045,10474.199515005876,0.0011498614411546927,854.6506935655258,16127.862352677364
t79,0.001417700472081486,4363.11132051119,10474.199515164824,0.001694663701596957,550.5621263806303,15387.87607442082
t80,574.7258475313294,4527.184273358079,10474.199702908032,897.4204926663602,959.7677153330887,17433.298031796887
t81,1823.655094518419,5113.992999524228,10474.199702844768,2548.9506146221015,1605.446037704301,21566.244449213817
t82,2783.9362735044006,5514.5227204652065,10474.199693502756,3629.4542055349934,1771.3662344818888,24173.479127489245
t83,1679.778286365759,3876.4625521074663,10474.199693197212,3718.1697690404076,1194.496253774227,20943.10655448507
t84,1976.2786256646782,4263.482090219203,10474.199693296814,3958.2189245370505,1324.7928669491123,21996.97220066686
t85,3068.8597375099303,5825.656759553804,10474.199693533094,4231.918620131913,1765.9774048701436,25366.612215598885
t86,2813.12831366516,6033.168738176686,10474.199702878503,3879.1254306120513,1773.9355492257434,24973.55773455814
t87,1977.7358554421373,5634.881434781374,10474.199702950196,3182.1872025220614,1563.3378877889638,22832.34208348473
t88,1045.5483245566159,5233.090000116438,10474.199702992326,2069.911254748115,1134.3451262441824,19957.09440865768
t89,277.54865519925903,4929.021568200722,10474.199702994327,519.6807897956319,466.28362925699736,16666.734345446937
t90,0.0007712432625907749,5106.597641125702,10469.416736674339,0.0008960915861419971,1056.2998131672975,16632.315858302187
t91,0.0007246646868823674,4872.869274851001,10469.336732367408,0.0008118026922876156,947.2781383700814,16289.48568205587
t92,0.0007194767289904046,4799.231656417861,10469.33240827299,0.0008032034029927702,922.6375805248068,16191.20316789579
t93,0.0007285461659134731,4790.546201628409,10469.332250858419,0.0008009434379397381,1001.9372016463967,16261.817183622828
t94,0.0007260299359861987,4917.8255485523505,10469.335051648899,0.0008179111561062388,899.6093622713875,16286.771506413728
t95,0.0007323559827414453,5050.147936644008,10469.340709060803,0.0008327578098120997,893.9934429110731,16413.48365372968
t96,0.000752035883303043,5099.791513260379,10469.348819697583,0.000848821503990177,1017.9464332502521,16587.088367065604
t97,0.0007620236215494854,5157.532923715042,10469.360856984731,0.0008704094652333091,1050.866184735132,16677.761597867993
t98,0.0007718985520782694,5266.6484753368295,10469.460018166983,0.0009228636599163723,977.7484005479387,16713.85858881396
t99,0.0006694115989496838,5300.606498300735,10470.939373433228,0.0008221824882543406,854.708276869844,16626.255640197895
t100,0.0007881037658653538,5117.130864361164,10474.199514573405,0.000902198903876463,798.3836585993688,16389.715727836607
t101,0.002037883969556086,4537.536307523903,10474.199515834549,0.002215792296160005,689.5284614255926,15701.26853846031
t102,0.0011186671837433474,4247.878633849863,10474.199517594223,0.0012584317448244007,664.4282682447966,15386.508796787812
t103,43.8784907238009,4190.19851356337,10474.199702837037,51.71955906023379,684.6908937785312,15444.687159962974
t104,469.6081909632746,4397.478410956272,10474.199702865772,702.3196760317454,892.7982348693315,16936.404215686394
t105,1344.0848078392683,4859.588958228684,10474.19970280551,2195.3691797146744,1358.1114271513047,20231.35407573944
t106,2344.1645094246333,5412.706754075492,10474.199702713002,3403.812505719025,1657.5052871873372,23292.38875911949
t107,1827.3560247262765,4550.070142145788,10474.199693324264,3685.8263722370316,1321.4024853078063,21858.854717741167
t108,2299.3966819860175,5146.026772215652,10474.199693429806,4032.492785476393,1509.5207452374696,23461.636678345338
t109,2686.4263868048224,5956.802177713454,10474.199702819193,4028.1175771396297,1702.4468029330935,24847.992647410192
t110,2370.868990321799,5863.469794975863,10474.19970289602,3639.8905805669847,1656.9948848910904,24005.42395365176
t111,1745.3948357861952,5547.614322340099,10474.199702947726,2915.835264999458,1490.8939835079543,22173.938109581435
t112,1051.306049652331,5229.588280835346,10474.199702987595,1923.1791481594087,1184.947722520022,19863.220904154703
t113,398.4892065073056,4930.813448669247,10474.199702988946,660.8166078716964,703.5151217014057,17167.8340877386
t114,0.0010211172626373819,4958.7958532059365,10474.199515271235,0.0011293797165259033,1041.8748567251141,16474.872375699266
t115,0.00079293145126627,4964.704299687486,10469.346181887695,0.0008600419129237989,1137.2247081769488,16571.276842725496
t116,0.000773349490451997,4958.688669723638,10469.335342185703,0.0008444507532990047,932.1947774161724,16360.220407125757
t117,0.0007587035117140758,4953.866446945992,10469.329647357801,0.0008434739629090862,776.7993676423005,16199.997064123569
t118,0.0007352800675506647,4907.678789767739,10469.326125161759,0.0008629712086319695,564.0773678507386,15941.083881031513
t119,0.0007220521258399017,4763.497052782792,10469.326300673943,0.0008847331766485879,483.5576695050626,15716.3826297471
t120,0.0007249316428332996,4762.185775238909,10469.3249744622,0.0008835240140641325,483.47910596164223,15714.991464118408
t121,0.0007370245880984268,4841.942904225857,10469.32363287365,0.0008731545656745466,521.3422315051231,15832.610378783784
t122,0.0007515368276254776,4889.237569896472,10469.32385034702,0.0008616390731413335,595.3378978629587,15953.900931282353
t123,0.0007641666338406754,4862.716387105088,10469.323340146293,0.0008422827880438675,729.4015260294481,16061.44285973025
t124,0.0007824691685279879,4769.429410944295,10469.327959113458,0.000835506403207324,1016.041958822032,16254.800946855357
t125,0.0007734858579578569,4649.867619266241,10469.909625218072,0.0008157909040151958,1282.180062524589,16401.95889628566
t126,0.0008221868990130443,4475.17139444489,10474.19951432447,0.0008401122671234353,1243.6684778612332,16193.04104892976
t127,0.0013550439052814457,4259.778141709429,10474.199515486589,0.0014435069033616628,1062.7965093687706,15796.7769651156
t128,121.44327934739147,4162.9687495764465,10474.199702822665,145.49308263644963,624.3993651706121,15528.504179553564
t129,1120.4566979396989,4648.1986426666945,10474.199702786216,1855.0061146807736,1255.0500808241575,19352.91123889754
t130,1990.6589359666693,5194.336414226254,10474.199702728632,3051.210199361778,1562.1594985787128,22272.56475086205
t131,2351.619391846186,5399.528725433916,10474.199693972685,3537.080175362679,1631.9381825004998,23394.36616911597
t132,2217.83173011111,5560.68641677006,10474.199702780259,3474.2078120271976,1604.813621386962,23331.73928307559
t133,1419.731100509056,5410.6260877780305,10474.199702897511,2770.9677955872785,1304.7968660184324,21380.32155279031
t134,668.937416046292,5289.7940181263975,10474.199702953789,1706.3422789438393,781.7101212748294,18920.98353734515
t135,79.88915994907124,5241.502199817682,10474.19970296025,322.5645136132706,91.4800972285261,16209.635673568799
t136,0.0010566208213826324,5487.9997760267715,10474.199514946416,0.001466861276385392,456.77612347518647,16418.97793793047
t137,0.0008313856825184154,5089.489780206546,10469.329404583134,0.0009348966494690076,553.950935798917,16112.771886870929
t138,0.0008019995279145404,4238.849344166755,10469.32059634601,0.0008701674378959046,514.3102253903975,15222.481838070127
t139,0.0008112078636578733,4193.316201138881,10469.320224448757,0.0008587662683016459,542.1821647462212,15204.820260307992
t140,0.0008287342877120071,4367.737349554384,10469.321304189558,0.0008416590444470347,575.4916382162775,15412.551962353553
t141,0.0008415571848980445,4527.24766051121,10469.321670138586,0.0008267197613097913,611.3380344561956,15607.909033382937
t142,0.0008470446280177313,4540.662867585074,10469.323152779622,0.0008437923446185822,557.4717726303772,15567.459483832044
t143,0.0008460506153961086,4388.361466406295,10469.323916240826,0.0008720163357477152,484.24891901102706,15341.936019725099
t144,0.000847112077508427,4371.895117359011,10469.322506953351,0.0008687417032555097,469.73357215767254,15310.952912323815
t145,0.0008506353848624142,4479.899582630172,10469.321152003204,0.000853607787160815,485.7019717507211,15434.924410627269
t146,0.0008503306668587077,4660.895922054136,10469.320897139209,0.0008481074876260983,520.239371195974,15650.457888827474
t147,0.0008463053955048246,4827.853823735702,10469.323911566109,0.0008351833676643864,671.3497786242858,15968.52919541486
t148,0.0008166428494621536,4816.023138357961,10469.33293390203,0.000831085291248571,1053.0132090329269,16338.370929021057
t149,0.0007595388150572102,4722.73094584586,10469.47732539805,0.0008401998306202641,1307.6375825264558,16499.84745350901
t150,0.0008409403500180535,4559.110930082707,10474.199515263132,0.000940639938691473,1191.4101279489566,16224.722354875084
t151,0.0015977031210274622,4272.303636976578,10474.199515624581,0.002036037468173572,965.6818224521179,15712.188608793866
t152,279.91018716674665,4169.533944709161,10474.199702765358,381.9966666476355,735.8624301434414,16041.502931432342
t153,1406.7058862633392,4707.826568284882,10474.199702727934,2170.837172098567,1388.0655913055757,20147.6349206803
t154,1752.3577641756951,4393.843637823099,10474.199693296048,3166.077163770119,1351.4037976143088,21137.88205667927
t155,800.1330901996896,2873.1073556637657,10474.199692682883,3119.439213413434,677.5529594018191,17944.432311361594
t156,1070.124014503694,3185.839512038241,10474.19969286204,3354.2462697906003,855.7702593405825,18940.179748535156
t157,2212.186826526451,4750.588442623813,10474.19969338768,3624.3470945361805,1506.6246361035712,22567.946693177695
t158,2429.845004448864,5552.667441471139,10474.199702811722,3242.827880577484,1739.5227410119016,23439.06277032111
t159,1592.6301502650897,5147.369343324571,10474.19970283151,2255.1134835760813,1554.1734053605685,21023.48608535782
t160,804.9979116028939,4699.714141544226,10474.199702843438,1222.5788746924873,1284.3752354481917,18485.865866131237
t161,0.0010757329106051035,4344.65529265039,10474.199514269934,0.0021600776062169493,989.6815035866664,15808.539546317506
t162,0.0006464130795906744,4374.043811743748,10469.343763973951,0.0014180496690200386,1306.9205900658205,16150.310230246268
t163,0.0006463141331313168,4334.705739293633,10469.331681561136,0.00154296641093466,1032.4048962869947,15836.444506422307
t164,0.0007149552447910655,4407.250481442921,10469.330817276617,0.001819978872520151,976.3938474439351,15852.977681097589
