Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
East,East_batteries_1,1,1,-0.05752855616155014,-0.05752855616155014
East,East_conventional_hydroelectric_1,1,1,42.669801631067585,42.669801631067585
East,East_landfill_gas_1,1,1,100.58619765540028,100.58619765540028
East,East_natural_gas_internal_combustion_engine_1,1,1,0.0,0.0
East,East_petroleum_liquids_with_gt_1,1,1,5280.775376908515,5280.775376908515
East,East_petroleum_liquids_with_ic_1,1,1,0.0,0.0
East,East_solar_photovoltaic_1,1,1,309.1272910335061,309.1272910335061
North,North_conventional_hydroelectric_1,2,1,239.40999964709934,239.40999964709934
North,North_landfill_gas_1,2,1,100.58619765540028,100.58619765540028
North,North_natural_gas_internal_combustion_engine_1,2,1,938.8045114504026,938.8045114504026
North,North_onshore_wind_turbine_1,2,1,6.190560910072154,6.190560910072154
North,North_petroleum_liquids_with_cc_1,2,1,17996.5471971787,17996.5471971787
North,North_petroleum_liquids_with_gt_1,2,1,20456.717948167036,20456.717948167036
North,North_petroleum_liquids_with_st_1,2,1,-9.30609271637686e-12,-9.30609271637686e-12
North,North_solar_photovoltaic_1,2,1,93.82801503873682,93.82801503873682
South,South_batteries_1,3,1,-0.2450615038076383,-0.2450615038076383
South,South_conventional_hydroelectric_1,3,1,298.6939956710869,298.6939956710869
South,South_natural_gas_fired_combined_cycle_1,3,1,24308.33110005507,24308.33110005507
South,South_natural_gas_steam_turbine_1,3,1,19585.240373537246,19585.240373537246
South,South_onshore_wind_turbine_1,3,1,726.5116928406806,726.5116928406806
South,South_petroleum_liquids_with_gt_1,3,1,3520.51691793901,3520.51691793901
South,South_petroleum_liquids_with_st_1,3,1,41969.09491673689,41969.09491673689
South,South_solar_photovoltaic_1,3,1,271.7326832066324,271.7326832066324
West,West_batteries_1,4,1,-0.8010020464790514,-0.8010020464790514
West,West_petroleum_liquids_with_gt_1,4,1,9220.401451745027,9220.401451745027
West,West_petroleum_liquids_with_ic_1,4,1,0.0,0.0
West,West_solar_photovoltaic_1,4,1,271.9758859123725,271.9758859123725
East,East_battery_moderate_0,1,0,0.0,0.0
East,East_naturalgas_ctavgcf_moderate_0,1,0,0.0,0.0
East,East_naturalgas_ccavgcf_moderate_0,1,0,0.0,0.0
East,East_microgrid_solar_moderate_0,1,0,0.0,0.0
East,East_microgrid_diesel_moderate_0,1,0,0.0,0.0
East,East_utilitypv_class1_moderate_1,1,1,382.2389605940487,382.2389605940487
East,East_landbasedwind_class3_moderate_1,1,1,1743.6746563369902,1743.6746563369902
North,North_battery_moderate_0,2,0,0.0,0.0
North,North_naturalgas_ctavgcf_moderate_0,2,0,0.0,0.0
North,North_naturalgas_ccavgcf_moderate_0,2,0,0.0,0.0
North,North_microgrid_solar_moderate_0,2,0,0.0,0.0
North,North_microgrid_diesel_moderate_0,2,0,0.0,0.0
North,North_utilitypv_class1_moderate_1,2,1,764.3257208003906,764.3257208003906
North,North_landbasedwind_class3_moderate_1,2,1,1234.101195572036,1234.101195572036
South,South_battery_moderate_0,3,0,-1750.831962356384,-1750.831962356384
South,South_naturalgas_ctavgcf_moderate_0,3,0,0.0,0.0
South,South_naturalgas_ccavgcf_moderate_0,3,0,0.0,0.0
South,South_microgrid_solar_moderate_0,3,0,0.0,0.0
South,South_microgrid_diesel_moderate_0,3,0,0.0,0.0
South,South_utilitypv_class1_moderate_1,3,1,1169.9085689113583,1169.9085689113583
South,South_landbasedwind_class3_moderate_1,3,1,1854.687062837124,1854.687062837124
West,West_battery_moderate_0,4,0,0.0,0.0
West,West_naturalgas_ctavgcf_moderate_0,4,0,0.0,0.0
West,West_naturalgas_ccavgcf_moderate_0,4,0,0.0,0.0
West,West_microgrid_solar_moderate_0,4,0,0.0,0.0
West,West_microgrid_diesel_moderate_0,4,0,0.0,0.0
West,West_utilitypv_class1_moderate_1,4,1,1125.375776819639,1125.375776819639
West,West_landbasedwind_class3_moderate_1,4,1,1307.5423886105748,1307.5423886105748
