Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,9.77076945,0.0,0.0,0.0,0.3539064535714284,0.0,0.0,0.0,3.0351427714285713,0.0,0.0,0.0,0.0,42.32415133928573,0.0,0.0,9.094257353571427,0.0,0.0,0.0,9.281601964285711,0.0,0.0,0.0,0.0,0.0,12.36464202857143,99.68365108928576,0.0,0.0,0.0,0.0,0.0,25.58019419999999,71.894625075,0.0,0.0,0.0,0.0,0.0,36.97799332499998,103.93090256250007,0.0,0.0,0.0,0.0,0.0,38.40520634999999,89.70220799999993,552.3992519625001
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4213781999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.649300000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.68819299999998,0.0,0.0,0.0,0.0,0.0,0.0,86.03627760000002,0.0,0.0,0.0,0.0,0.0,0.0,124.2751005,0.0,0.0,0.0,0.0,0.0,0.0,128.4837876,508.5540369
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.29765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.24663,0.0,0.0,0.0,0.0,0.0,0.0,88.8362748,0.0,0.0,0.0,0.0,0.0,0.0,127.7416305,0.0,0.0,0.0,0.0,0.0,0.0,131.8963716,524.4561189000001
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4471524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.79615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.947926,0.0,0.0,0.0,0.0,0.0,0.0,91.38172680000001,0.0,0.0,0.0,0.0,0.0,0.0,129.301569,0.0,0.0,0.0,0.0,0.0,0.0,134.9676972,535.8422214
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44595359999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.219725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.610264,0.0,0.0,0.0,0.0,0.0,0.0,93.79990620000001,0.0,0.0,0.0,0.0,0.0,0.0,127.7416305,0.0,0.0,0.0,0.0,0.0,0.0,138.03902280000003,540.8565021000001
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45194759999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.167775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.298574,0.0,0.0,0.0,0.0,0.0,0.0,97.10899380000001,0.0,0.0,0.0,0.0,0.0,0.0,128.7815895,0.0,0.0,0.0,0.0,0.0,0.0,141.2809776,552.0898575
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4597398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.69225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.49337699999998,0.0,0.0,0.0,0.0,0.0,0.0,97.99990200000002,0.0,0.0,0.0,0.0,0.0,0.0,131.5548135,0.0,0.0,0.0,0.0,0.0,0.0,141.9634944,559.1635767
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4651344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.012856,0.0,0.0,0.0,0.0,0.0,0.0,98.25444720000002,0.0,0.0,0.0,0.0,0.0,0.0,132.9414255,0.0,0.0,0.0,0.0,0.0,0.0,140.76909,561.2850531
t8,0.0,0.0,0.0,0.0,0.0,0.0,4.177818,0.0,0.0,0.0,0.46753199999999995,0.0,0.0,0.0,1.339659,0.0,0.0,0.0,0.0,56.19375,0.0,0.0,4.638157199999999,0.0,0.0,0.0,4.225770000000001,0.0,0.0,0.0,0.0,0.0,5.457537,131.68818,0.0,0.0,0.0,0.0,0.0,13.0461408,95.45445000000001,0.0,0.0,0.0,0.0,0.0,15.811173,134.67469050000003,0.0,0.0,0.0,0.0,0.0,17.4852972,137.35650600000002,622.0166607000001
