Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,0
AnnualSum,0.0016428571428571425,1.023392857142857,2.399999999999999,0.0,0.0,0.0,9.780550000000002,5.737202380952379,2.399999999999999,0.0,0.3542607142857142,0.0,0.0,0.0,3.038180952380952,0.11390476190476193,7.163750000000002,0.0,0.0,42.366517857142895,73.22,862.1475241071377,9.103360714285714,0.023000000000000003,0.0,0.0,9.290892857142856,0.0,0.0,0.0,0.0,0.0,12.377019047619045,99.78343452380949,0.0,0.0,0.0,0.0,0.0,25.605800000000006,71.96659166666667,671.2984905995779,0.0,0.0,0.0,0.0,37.01500833333332,104.03493749999996,0.0,0.0,0.0,0.0,0.0,38.443650000000005,89.79199999999999,2178.4811117305253
t1,0.0,2.640000000000002,2.4,0.0,0.0,0.0,0.0,12.949999999999989,2.4,0.0,0.42179999999999995,0.0,0.0,0.0,0.0,0.0,9.239999999999998,0.0,0.0,50.7,28.560000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.807,0.0,0.0,0.0,0.0,0.0,0.0,86.12240000000001,4656.013522229595,0.0,0.0,0.0,0.0,0.0,124.39949999999999,0.0,0.0,0.0,0.0,0.0,0.0,128.6124,5223.266622229595
t2,0.0,0.66,2.4,0.0,0.0,0.0,0.0,3.7,2.4,0.0,0.43799999999999994,0.0,0.0,0.0,0.0,1.196,4.620000000000001,0.0,0.0,52.349999999999994,28.560000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.37,0.0,0.0,0.0,0.0,0.0,0.0,88.9252,4643.588043968725,0.0,0.0,0.0,0.0,0.0,127.8695,0.0,0.0,0.0,0.0,0.0,0.0,132.0284,5212.105143968725
t3,0.0,0.66,2.4,0.0,0.0,0.0,0.0,3.7,2.4,0.0,0.4476,0.0,0.0,0.0,0.0,0.0,6.929999999999999,0.0,0.0,53.849999999999994,28.560000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.07400000000001,0.0,0.0,0.0,0.0,0.0,0.0,91.4732,1295.8241,0.0,0.0,0.0,0.0,0.0,129.43099999999998,0.0,0.0,0.0,0.0,0.0,0.0,135.10280000000003,1876.8527000000001
t4,0.0,0.66,2.4,0.0,0.0,0.0,0.0,3.7,2.4,0.0,0.44639999999999996,0.0,0.0,0.0,0.0,0.0,6.929999999999999,0.0,0.0,55.275,83.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.73600000000002,0.0,0.0,0.0,0.0,0.0,0.0,93.89380000000001,4561.896122229595,0.0,0.0,0.0,0.0,0.0,127.8695,0.0,0.0,0.0,0.0,0.0,0.0,138.17720000000003,5203.384022229595
t5,0.0,0.66,2.4,0.0,0.0,0.0,0.0,3.7,2.4,0.0,0.4523999999999999,0.0,0.0,0.0,0.0,1.196,9.239999999999998,0.0,0.0,57.225,28.560000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.42600000000002,0.0,0.0,0.0,0.0,0.0,0.0,97.20620000000001,4558.740822229594,0.0,0.0,0.0,0.0,0.0,128.91049999999998,0.0,0.0,0.0,0.0,0.0,0.0,141.4224,5159.539322229595
t6,0.0,0.66,2.4,0.0,0.0,0.0,0.0,5.549999999999999,2.4,0.0,0.46019999999999994,0.0,0.0,0.0,0.0,0.0,4.620000000000001,0.0,0.0,57.74999999999999,28.560000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.62300000000002,0.0,0.0,0.0,0.0,0.0,0.0,98.09800000000001,4515.889943968725,0.0,0.0,0.0,0.0,0.0,131.6865,0.0,0.0,0.0,0.0,0.0,0.0,142.1056,5119.803243968724
t7,0.0,1.6500000000000004,2.4,0.0,0.0,0.0,0.0,9.249999999999995,2.4,0.0,0.4656,0.0,0.0,0.0,0.0,1.196,11.549999999999997,0.0,0.0,57.9,28.560000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.144,0.0,0.0,0.0,0.0,0.0,0.0,98.35280000000002,4475.713622229595,0.0,0.0,0.0,0.0,0.0,133.07449999999997,0.0,0.0,0.0,0.0,0.0,0.0,140.91,5094.566522229596
t8,0.0,0.66,2.4,0.0,0.0,0.0,4.182,3.7,2.4,0.0,0.46799999999999997,0.0,0.0,0.0,1.341,0.0,4.620000000000001,0.0,0.0,56.24999999999999,28.560000000000002,0.0,4.6428,0.0,0.0,0.0,4.23,0.0,0.0,0.0,0.0,0.0,5.463,131.82000000000002,0.0,0.0,0.0,0.0,0.0,13.0592,95.55000000000001,933.8734,0.0,0.0,0.0,0.0,15.827,134.80949999999999,0.0,0.0,0.0,0.0,0.0,17.5028,137.494,1598.8527
