BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
AnnualSum,125.3643964285714,0.0016428571428571425,0.0,0.0,0.0,0.0,0.0,240.06982738095238,-22.894200000000012,-342.5416666666666,109.1020357142857,0.0,0.0,0.0,0.0,0.0,0.0,1022.4474142857142,-23.049449999999997,-1108.5000000000005,1135.0510985119001,671.4123953614827,-279.56888792100216,0.0,0.0,0.0,0.0,-1269.881796428571,-21.114,-235.89880952380952,137.52654285714286,0.023000000000000003,0.0,0.0,0.0,0.0,0.0,7.364554761904777,-10.79505,-134.11904761904756
t1,123.847,0.0,-0.0,0.0,0.0,0.0,0.0,249.0472,-22.894200000000005,-350.0,101.8942,0.0,-0.0,0.0,0.0,0.0,0.0,1055.1552499999998,-23.049450000000004,-1134.0,212.89949999999996,4656.013522229595,-3283.4139222295944,0.0,0.0,0.0,0.0,-1323.3851,-21.114,-241.0,128.6124,0.0,-0.0,0.0,0.0,0.0,0.0,19.182650000000024,-10.79505,-137.0
t2,126.43000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,241.46419999999995,-22.894200000000005,-345.0,95.46320000000001,0.0,-0.0,0.0,0.0,0.0,0.0,1046.5862499999998,-23.049450000000004,-1119.0,213.3995,4644.784043968725,-3297.252443968725,0.0,0.0,0.0,0.0,-1301.8170999999998,-21.114,-238.0,132.0284,0.0,-0.0,0.0,0.0,0.0,0.0,13.766649999999991,-10.79505,-135.0
t3,129.13400000000001,0.0,-0.0,0.0,0.0,0.0,0.0,231.76019999999994,-22.894200000000005,-338.0,98.02080000000001,0.0,-0.0,0.0,0.0,0.0,0.0,1021.0286500000001,-23.049450000000004,-1096.0,218.771,1295.8241,-0.0,0.0,0.0,0.0,0.0,-1260.4811,-21.114,-233.0,135.10280000000003,0.0,-0.0,0.0,0.0,0.0,0.0,7.692250000000012,-10.79505,-132.0
t4,128.79600000000002,0.0,-0.0,0.0,0.0,0.0,0.0,222.0982,-22.894200000000005,-328.0,100.4402,0.0,-0.0,0.0,0.0,0.0,0.0,986.60925,-23.049450000000004,-1064.0,274.0745,4561.896122229595,-3377.5313222295945,0.0,0.0,0.0,0.0,-1210.3253,-21.114,-227.0,138.17720000000003,0.0,-0.0,0.0,0.0,0.0,0.0,1.6178500000000318,-10.79505,-129.0
t5,130.48600000000002,0.0,-0.0,0.0,0.0,0.0,0.0,214.40820000000005,-22.894200000000005,-322.0,103.7586,0.0,-0.0,0.0,0.0,0.0,0.0,954.29085,-23.049450000000004,-1035.0,223.9355,4559.936822229594,-3380.6866222295944,0.0,0.0,0.0,0.0,-1163.0716999999997,-21.114,-219.0,141.4224,0.0,-0.0,0.0,0.0,0.0,0.0,-5.627349999999975,-10.79505,-125.0
t6,132.68300000000002,0.0,-0.0,0.0,0.0,0.0,0.0,195.2112,-22.894200000000005,-305.0,106.50820000000002,0.0,-0.0,0.0,0.0,0.0,0.0,900.5412499999999,-23.049450000000004,-984.0,222.6165,4515.889943968725,-3424.9505439687246,0.0,0.0,0.0,0.0,-1083.4419,-21.114,-209.0,142.1056,0.0,-0.0,0.0,0.0,0.0,0.0,-12.310549999999976,-10.79505,-119.0
t7,135.19400000000002,0.0,-0.0,0.0,0.0,0.0,0.0,179.7002000000003,-22.894200000000005,-292.0,110.4684,0.0,-0.0,0.0,0.0,0.0,0.0,858.58105,-23.049450000000004,-946.0,231.08449999999996,4476.909622229595,-3463.7138222295944,0.0,0.0,0.0,0.0,-1022.1663000000003,-21.114,-201.0,140.91,0.0,-0.0,0.0,0.0,0.0,0.0,-16.11494999999996,-10.79505,-114.0
t8,144.525,0.0,-0.0,0.0,0.0,0.0,0.0,164.3692000000001,-22.89420000000002,-286.0,116.51820000000002,0.0,-0.0,0.0,0.0,0.0,0.0,832.53125,-23.049450000000025,-926.0,244.70929999999998,933.8734,-0.0,0.0,0.0,0.0,0.0,-960.4687,-21.114,-197.0,159.2268,0.0,-0.0,0.0,0.0,0.0,0.0,-36.43174999999999,-10.79505,-112.0
