Line,1,2,3,4,5,Total
AnnualSum,20265.3,25523.10000000002,10474.199999999995,15359.40000000001,6230.699999999986,77852.70000000001
t1,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t2,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t3,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t4,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t5,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t6,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t7,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t8,20265.300000000043,25523.1,10474.2,15359.4,6230.700000000001,77852.70000000003
t9,20265.300000000043,25523.1,10474.2,15359.4,6230.700000000001,77852.70000000003
t10,20265.300000000043,25523.1,10474.2,15359.4,6230.700000000001,77852.70000000003
t11,20265.299999999985,25523.1,10474.2,15359.4,6230.700000000001,77852.69999999997
t12,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t13,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t14,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t15,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t16,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t17,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t18,20265.29999999993,25523.1,10474.2,15359.4,6230.700000000001,77852.69999999992
t19,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t20,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t21,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t22,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t23,20265.29999999993,25523.1,10474.2,15359.4,6230.700000000001,77852.69999999992
t24,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t25,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t26,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t27,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t28,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t29,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t30,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t31,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t32,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t33,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
t34,20265.300000000003,25523.1,10474.2,15359.4,6230.700000000001,77852.7
