region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
East,East_batteries_1,1,1,1,0.0,0.0,22446.0,2770.7999999999997,4.9287407860937614e-5,0.0,3.676338043618209e-9,0.0,NaN,NaN,0.0,0.021147295559217138,0.0,0.0,0.0,NaN,NaN,NaN
East,East_conventional_hydroelectric_1,1,1,2,0.0,0.0,310516.8,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,46.33688518557348,16098.633097160318,0.0,0.0,NaN,310516.8,NaN
East,East_landfill_gas_1,1,1,3,0.0,0.0,50399.99999977677,0.0,12.768002297804053,0.0,0.0,3.8622991235323034e-5,0.0,NaN,0.0,109.0097814243298,37753.54671412016,0.0,0.0,NaN,50412.76804069756,NaN
East,East_natural_gas_internal_combustion_engine_1,1,1,4,0.0,0.0,67199.99951065698,0.0,1.794604380732416e-7,3.4880092663107487e-6,0.0,5.312548989220992e-6,0.0,NaN,0.0,145.34637417468713,0.0,0.0,0.0,NaN,67199.999519637,NaN
East,East_petroleum_liquids_with_gt_1,1,1,5,0.0,0.0,1.7570699998624867e6,0.0,8.074132191668265e-7,4.58543424051827e-5,0.0,3.0248016749276993e-5,0.0,NaN,0.0,5723.013524354763,0.0,0.0,0.0,NaN,1.7570699999393965e6,NaN
East,East_petroleum_liquids_with_ic_1,1,1,6,0.0,0.0,83999.99947863293,0.0,6.429398592289617e-7,3.625466428429977e-5,0.0,2.905743413219278e-5,0.0,NaN,0.0,181.6829679136934,0.0,0.0,0.0,NaN,83999.99954458798,NaN
East,East_solar_photovoltaic_1,1,1,7,0.0,0.0,1.1130515999542072e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,331.50472797272135,153854.3308202546,0.0,0.0,NaN,1.1130515999542072e6,NaN
North,North_conventional_hydroelectric_1,2,1,8,0.0,0.0,1.740776e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,259.7673903023442,90249.88144143559,0.0,0.0,NaN,1.740776e6,NaN
North,North_landfill_gas_1,2,1,9,0.0,0.0,50399.99999995774,0.0,12.768002294609225,0.0,0.0,3.865565187658967e-5,0.0,NaN,0.0,109.00978142472123,37753.54670467341,0.0,0.0,NaN,50412.768040908,NaN
North,North_natural_gas_internal_combustion_engine_1,2,1,10,0.0,0.0,470399.99971881154,0.0,1.840551697363799e-7,3.5773128854777597e-6,0.0,5.612177138196693e-6,0.0,NaN,0.0,1017.4246260234038,0.0,0.0,0.0,NaN,470399.99972818507,NaN
North,North_onshore_wind_turbine_1,2,1,11,0.0,0.0,25799.99998204368,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,5.971516025276467,5572.757165006527,0.0,0.0,NaN,25799.99998204368,NaN
North,North_petroleum_liquids_with_cc_1,2,1,12,0.0,0.0,7.081664799657752e6,0.0,1953.7698510080722,123654.30857028448,0.0,0.0003716892679467272,0.0,NaN,0.0,19503.6667256468,0.0,0.0,0.0,NaN,7.207272878450734e6,NaN
North,North_petroleum_liquids_with_gt_1,2,1,13,0.0,0.0,5.894783676781339e6,0.0,2577.1677736959305,174246.80369918773,0.0,0.0013087566730842235,0.0,NaN,0.0,22169.86420994752,0.0,0.0,0.0,NaN,6.071607649562979e6,NaN
North,North_petroleum_liquids_with_st_1,2,1,14,0.0,0.0,608679.0958731871,0.0,18.939664808298776,5746.401508487708,0.0,0.0004195782895756293,0.0,NaN,0.0,811.5615667501894,0.0,0.0,0.0,NaN,614444.4374660614,NaN
North,North_solar_photovoltaic_1,2,1,15,0.0,0.0,337082.6999740256,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,100.06171288985607,47792.539592742825,0.0,0.0,NaN,337082.6999740256,NaN
South,South_batteries_1,3,1,16,0.0,0.0,31798.5,12006.800000000001,0.0002135728259809127,0.0,1.9282050144972364e-9,0.0,NaN,NaN,0.0,0.09166746579343373,0.0,0.0,0.0,NaN,NaN,NaN
South,South_conventional_hydroelectric_1,3,1,17,0.0,0.0,2.1736176e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,324.3582018166886,112690.39080828121,0.0,0.0,NaN,2.1736176e6,NaN
South,South_natural_gas_fired_combined_cycle_1,3,1,18,0.0,0.0,5.676459999904176e6,0.0,4.356832040906033e-8,1.4325649951677176e-6,0.0,3.5899658304794895e-6,0.0,NaN,0.0,26344.030510551667,0.0,0.0,0.0,NaN,5.676459999909243e6,NaN
South,South_natural_gas_steam_turbine_1,3,1,19,0.0,0.0,2.115196640532034e7,0.0,1.4425808696486749e-8,1.588199881962267e-6,0.0,1.450299069185868e-5,0.0,NaN,0.0,30792.885076775496,0.0,0.0,0.0,NaN,2.1151966405336443e7,NaN
South,South_onshore_wind_turbine_1,3,1,20,0.0,0.0,3.224999999964029e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,716.4206011273433,666452.5183908817,0.0,0.0,NaN,3.224999999964029e6,NaN
