Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
East,East_batteries_1,1,1,0.021147295559217138,0.021147295559217138
East,East_conventional_hydroelectric_1,1,1,46.33688518557348,46.33688518557348
East,East_landfill_gas_1,1,1,109.0097814243298,109.0097814243298
East,East_natural_gas_internal_combustion_engine_1,1,1,145.34637417468713,145.34637417468713
East,East_petroleum_liquids_with_gt_1,1,1,5723.013524354763,5723.013524354763
East,East_petroleum_liquids_with_ic_1,1,1,181.6829679136934,181.6829679136934
East,East_solar_photovoltaic_1,1,1,331.50472797272135,331.50472797272135
North,North_conventional_hydroelectric_1,2,1,259.7673903023442,259.7673903023442
North,North_landfill_gas_1,2,1,109.00978142472123,109.00978142472123
North,North_natural_gas_internal_combustion_engine_1,2,1,1017.4246260234038,1017.4246260234038
North,North_onshore_wind_turbine_1,2,1,5.971516025276467,5.971516025276467
North,North_petroleum_liquids_with_cc_1,2,1,19503.6667256468,19503.6667256468
North,North_petroleum_liquids_with_gt_1,2,1,22169.86420994752,22169.86420994752
North,North_petroleum_liquids_with_st_1,2,1,811.5615667501894,811.5615667501894
North,North_solar_photovoltaic_1,2,1,100.06171288985607,100.06171288985607
South,South_batteries_1,3,1,0.09166746579343373,0.09166746579343373
South,South_conventional_hydroelectric_1,3,1,324.3582018166886,324.3582018166886
South,South_natural_gas_fired_combined_cycle_1,3,1,26344.030510551667,26344.030510551667
South,South_natural_gas_steam_turbine_1,3,1,30792.885076775496,30792.885076775496
South,South_onshore_wind_turbine_1,3,1,716.4206011273433,716.4206011273433
South,South_petroleum_liquids_with_gt_1,3,1,3815.342349648694,3815.342349648694
South,South_petroleum_liquids_with_st_1,3,1,29393.571922862895,29393.571922862895
South,South_solar_photovoltaic_1,3,1,290.37306002306235,290.37306002306235
West,West_batteries_1,4,1,0.29618472867349876,0.29618472867349876
West,West_petroleum_liquids_with_gt_1,4,1,9992.563295888465,9992.563295888465
West,West_petroleum_liquids_with_ic_1,4,1,163.51467207024388,163.51467207024388
West,West_solar_photovoltaic_1,4,1,287.0593840588955,287.0593840588955
East,East_battery_moderate_0,1,0,3.765025796881224e-5,3.765025796881224e-5
East,East_naturalgas_ctavgcf_moderate_0,1,0,0.0013902174816840301,0.0013902174816840301
East,East_naturalgas_ccavgcf_moderate_0,1,0,0.0010887201252323766,0.0010887201252323766
East,East_microgrid_solar_moderate_0,1,0,0.0,0.0
East,East_microgrid_diesel_moderate_0,1,0,0.0,0.0
East,East_utilitypv_class1_moderate_1,1,1,407.63396081375777,407.63396081375777
East,East_landbasedwind_class3_moderate_1,1,1,1681.9770192383326,1681.9770192383326
North,North_battery_moderate_0,2,0,5610.048968368319,5610.048968368319
North,North_naturalgas_ctavgcf_moderate_0,2,0,0.0013916084019154093,0.0013916084019154093
North,North_naturalgas_ccavgcf_moderate_0,2,0,0.0010905255890060388,0.0010905255890060388
North,North_microgrid_solar_moderate_0,2,0,0.0,0.0
North,North_microgrid_diesel_moderate_0,2,0,0.0,0.0
North,North_utilitypv_class1_moderate_1,2,1,816.7571032550153,816.7571032550153
North,North_landbasedwind_class3_moderate_1,2,1,1216.9597986075273,1216.9597986075273
South,South_battery_moderate_0,3,0,6.32496153421746e-6,6.32496153421746e-6
South,South_naturalgas_ctavgcf_moderate_0,3,0,0.0013891683851976013,0.0013891683851976013
South,South_naturalgas_ccavgcf_moderate_0,3,0,0.001087443170818964,0.001087443170818964
South,South_microgrid_solar_moderate_0,3,0,0.0,0.0
South,South_microgrid_diesel_moderate_0,3,0,0.0,0.0
South,South_utilitypv_class1_moderate_1,3,1,1254.5971644908154,1254.5971644908154
South,South_landbasedwind_class3_moderate_1,3,1,1785.7083011410527,1785.7083011410527
West,West_battery_moderate_0,4,0,1.1683311699363131e-5,1.1683311699363131e-5
West,West_naturalgas_ctavgcf_moderate_0,4,0,0.0013903170924541,0.0013903170924541
West,West_naturalgas_ccavgcf_moderate_0,4,0,0.0010886966249755124,0.0010886966249755124
West,West_microgrid_solar_moderate_0,4,0,0.0,0.0
West,West_microgrid_diesel_moderate_0,4,0,0.0,0.0
West,West_utilitypv_class1_moderate_1,4,1,1187.7879430492474,1187.7879430492474
West,West_landbasedwind_class3_moderate_1,4,1,1285.3575782249534,1285.3575782249534
