Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,0
AnnualSum,2.4508920290788064e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2854700096648248e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4800667734834701e-8,0.0,0.0,0.0,1.198452274745565e-7,0.0,0.0,0.0,0.0,0.0,0.0,285.04691122100957,0.0,0.0,0.0,0.0,0.0,0.0,3.7817497077027545e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.2252340668969214e-8,0.0,0.0,0.0,0.0,0.0,0.0,285.04691147308887
t1,2.432802148291979e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3022987962977649e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.494116423864076e-8,0.0,0.0,0.0,1.2148808332950632e-7,0.0,0.0,0.0,0.0,0.0,0.0,1549.8957109898677,0.0,0.0,0.0,0.0,0.0,0.0,4.308675858649074e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.632777041672626e-8,0.0,0.0,0.0,0.0,0.0,0.0,1549.8957112530625
t2,2.437479882221719e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2872234967142454e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4796292912835958e-8,0.0,0.0,0.0,1.262449965654409e-7,0.0,0.0,0.0,0.0,0.0,0.0,1481.4862182576678,0.0,0.0,0.0,0.0,0.0,0.0,3.69280349804736e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.9468627750592715e-8,0.0,0.0,0.0,0.0,0.0,0.0,1481.4862185223526
t3,2.4385265141258776e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2782333933446756e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.477141942498101e-8,0.0,0.0,0.0,1.274700690232191e-7,0.0,0.0,0.0,0.0,0.0,0.0,1466.2611536752247,0.0,0.0,0.0,0.0,0.0,0.0,3.685235813008305e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.3432011259933515e-8,0.0,0.0,0.0,0.0,0.0,0.0,1466.2611539349182
t4,2.4407443388777684e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2740696023440966e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4742659041727294e-8,0.0,0.0,0.0,1.2738072300609302e-7,0.0,0.0,0.0,0.0,0.0,0.0,1463.3058380242007,0.0,0.0,0.0,0.0,0.0,0.0,3.693878872210528e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.292025167793996e-8,0.0,0.0,0.0,0.0,0.0,0.0,1463.3058382833312
t5,2.4440633431426096e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.272511937815804e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4721991038606478e-8,0.0,0.0,0.0,1.2587329211962049e-7,0.0,0.0,0.0,0.0,0.0,0.0,1458.0802414672305,0.0,0.0,0.0,0.0,0.0,0.0,3.720910480596191e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.622744264686294e-8,0.0,0.0,0.0,0.0,0.0,0.0,1458.080241728428
t6,2.4479354979149498e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2725902706233942e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4726541389120272e-8,0.0,0.0,0.0,1.2476953053372161e-7,0.0,0.0,0.0,0.0,0.0,0.0,1468.439684327777,0.0,0.0,0.0,0.0,0.0,0.0,3.742241649792504e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.805532302507367e-8,0.0,0.0,0.0,0.0,0.0,0.0,1468.4396845899562
t7,2.4525587631727387e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2738442371607055e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4731770732793592e-8,0.0,0.0,0.0,1.2609375606355993e-7,0.0,0.0,0.0,0.0,0.0,0.0,1454.8837106749156,0.0,0.0,0.0,0.0,0.0,0.0,3.730145323467213e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.826548050326438e-8,0.0,0.0,0.0,0.0,0.0,0.0,1454.8837109385722
t8,2.4562359347893816e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2760557591249189e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.478696075592932e-8,0.0,0.0,0.0,1.309548350696479e-7,0.0,0.0,0.0,0.0,0.0,0.0,1477.7761626069039,0.0,0.0,0.0,0.0,0.0,0.0,3.8746209057387216e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.614514867014977e-8,0.0,0.0,0.0,0.0,0.0,0.0,1477.77616287486
