Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,9.770769449356411,0.0,0.0,0.0,0.3539064527639361,0.0,0.0,0.0,3.035142770952009,0.0,0.0,0.0,0.0,42.32415133825806,0.0,0.0,9.094257352755722,0.0,0.0,0.0,9.281601963730761,0.0,0.0,0.0,0.0,0.0,12.364642116448804,99.68365134272953,0.0,0.0,0.0,0.0,0.0,25.580194289569086,71.89462531960287,0.0,0.0,0.0,0.0,0.0,36.97799340984533,103.93090282086926,0.0,0.0,0.0,0.0,0.0,38.40520643869503,89.70220822518952,552.3992532907664
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42137819912112295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.649299998855504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.68819330184385,0.0,0.0,0.0,0.0,0.0,0.0,86.03627789280137,0.0,0.0,0.0,0.0,0.0,0.0,124.27510080902917,0.0,0.0,0.0,0.0,0.0,0.0,128.48378792273562,508.5540381243867
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43756199910399435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.29764999883228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.24663031345318,0.0,0.0,0.0,0.0,0.0,0.0,88.83627510234447,0.0,0.0,0.0,0.0,0.0,0.0,127.74163081766122,0.0,0.0,0.0,0.0,0.0,0.0,131.89637193131892,524.4561201627141
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44715239909384263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.796149998811266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.94792632033283,0.0,0.0,0.0,0.0,0.0,0.0,91.38172711102004,0.0,0.0,0.0,0.0,0.0,0.0,129.3015693215457,0.0,0.0,0.0,0.0,0.0,0.0,134.9676975390439,535.8422226898476
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4459535990951067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.219724998791285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.61026431947293,0.0,0.0,0.0,0.0,0.0,0.0,93.79990651926184,0.0,0.0,0.0,0.0,0.0,0.0,127.74163081766126,0.0,0.0,0.0,0.0,0.0,0.0,138.03902314676893,540.8565034010513
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45194759908876103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.16777499876391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.29857432377285,0.0,0.0,0.0,0.0,0.0,0.0,97.10899413054008,0.0,0.0,0.0,0.0,0.0,0.0,128.7815898202509,0.0,0.0,0.0,0.0,0.0,0.0,141.28097795492306,552.0898588273396
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4597397990805155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6922499987565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.49337732936277,0.0,0.0,0.0,0.0,0.0,0.0,97.99990233357653,0.0,0.0,0.0,0.0,0.0,0.0,131.55481382715655,0.0,0.0,0.0,0.0,0.0,0.0,141.9634947566396,559.1635780445724
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4651343990748101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.84209999875431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0128563332328,0.0,0.0,0.0,0.0,0.0,0.0,98.25444753444408,0.0,0.0,0.0,0.0,0.0,0.0,132.94142583060932,0.0,0.0,0.0,0.0,0.0,0.0,140.76909035363525,561.2850544497505
t8,0.0,0.0,0.0,0.0,0.0,0.0,4.177817999376838,0.0,0.0,0.0,0.46753199907226867,0.0,0.0,0.0,1.3396589994443096,0.0,0.0,0.0,0.0,56.19374999877742,0.0,0.0,4.63815719925236,0.0,0.0,0.0,4.225769999404743,0.0,0.0,0.0,0.0,0.0,5.4575370384423065,131.68818033495305,0.0,0.0,0.0,0.0,0.0,13.046140845349358,95.45445032490093,0.0,0.0,0.0,0.0,0.0,15.811173035930466,134.67469083492526,0.0,0.0,0.0,0.0,0.0,17.485297240038886,137.35650634505163,622.0166621949198
