Zone,1,2,3,4,Total
AnnualSum,6.81654062555227e-7,765.9246848933516,5.628638837019176e-7,5.186367357349025e-7,765.9246866565063
t1,6.250623633230764e-7,765.924689848544,4.98749232046767e-7,4.7072632240463725e-7,765.924691443082
t2,6.562356824298854e-7,765.9246613020529,5.398868868915351e-7,5.029890478957293e-7,765.9246630011644
t3,6.599234502466334e-7,765.9246641399769,5.489039209836684e-7,5.072036314082441e-7,765.9246658560079
t4,6.601298020514768e-7,765.9246664118388,5.489058364035223e-7,5.077794213517277e-7,765.9246681286538
t5,6.597907367466978e-7,765.9246683071559,5.473705027612737e-7,5.078225301863027e-7,765.9246700221397
t6,6.595579600345537e-7,765.9246698904095,5.460323468171225e-7,5.078025756001872e-7,765.9246716038024
t7,6.595396807623393e-7,765.9246712486408,5.453681511623559e-7,5.078613271606178e-7,765.9246729614099
t8,6.592972951670147e-7,765.9246725372959,5.453158986580196e-7,5.079672301176287e-7,765.9246742498763
t9,6.590703538395547e-7,765.9246737439997,5.454683948311209e-7,5.081706835284355e-7,765.9246754567092
t10,6.589395964460738e-7,765.9246748790026,5.455925419190614e-7,5.083404881471488e-7,765.9246765918753
t11,6.586122988896119e-7,765.9246759093713,5.456500007726502e-7,5.084618363923929e-7,765.9246776220955
t12,6.582550620317984e-7,765.924676766251,5.456349067045506e-7,5.085288175793569e-7,765.9246784786698
t13,6.580009604450386e-7,765.924677482687,5.457221104032783e-7,5.085622057323157e-7,765.9246791949722
t14,6.579487405278859e-7,765.9246781119082,5.460054363684073e-7,5.085788959905259e-7,765.9246798244412
t15,6.593609597840126e-7,765.9246788687857,5.465649429097566e-7,5.086494659381788e-7,765.924680583361
t16,6.705474724656071e-7,765.924681215136,5.477039986104524e-7,5.092973287826171e-7,765.9246829426849
t17,6.7352025809932e-7,765.924683978082,5.496977727865175e-7,5.11209211803909e-7,765.9246857125094
t18,6.7612747329497e-7,765.9246787936625,5.527318537407827e-7,5.115161232778003e-7,765.9246805340379
t19,6.791475751196629e-7,765.9246764176658,5.550611468348902e-7,5.122207491584561e-7,765.9246781640951
t20,6.791412472998949e-7,765.9246762778156,5.551178834711316e-7,5.158118316112295e-7,765.9246780278867
t21,6.792957977866769e-7,765.9246764052222,5.546065294324474e-7,5.169046709801806e-7,765.9246781560292
t22,6.794812754821983e-7,765.9246768652438,5.540846765421069e-7,5.174465264320031e-7,765.9246786162563
t23,6.796492169743626e-7,765.9246773869677,5.536234643274212e-7,5.177165030942685e-7,765.9246791379569
t24,6.797884213511284e-7,765.92467781756,5.529395329725806e-7,5.17847355002711e-7,765.9246795681354
t25,6.79908658430138e-7,765.9246782104474,5.519068994821854e-7,5.179187019578056e-7,765.9246799601816
t26,6.800146895060348e-7,765.9246785644411,5.506368784181068e-7,5.17940827808996e-7,765.9246803130335
t27,6.801054753962779e-7,765.924678857511,5.496209776528273e-7,5.179123032602083e-7,765.9246806051498
t28,6.801790273745888e-7,765.9246790577237,5.497634003258007e-7,5.17827261348467e-7,765.9246808054934
t29,6.802371902131353e-7,765.9246791595004,5.513352089691256e-7,5.176885226470735e-7,765.9246809087614
t30,6.802848911954688e-7,765.9246791621247,5.534106019070462e-7,5.175055251854194e-7,765.9246809133257
t31,6.80334390848632e-7,765.9246791545501,5.556072301871238e-7,5.17206350577585e-7,765.9246809076981
t32,6.803779268895957e-7,765.924678759707,5.572586854241553e-7,5.166694314912722e-7,765.9246805140131
t33,6.804332566420936e-7,765.9246775311369,5.576879119191572e-7,5.163479923616933e-7,765.9246792856061
t34,6.804851523450356e-7,765.9246773149764,5.57664341739454e-7,5.163808955104527e-7,765.9246790695067
t35,6.805512615890853e-7,765.9246774228935,5.575361276877429e-7,5.166344832572006e-7,765.9246791776154
t36,6.8062880420098e-7,765.9246778048657,5.574659086431518e-7,5.169536978411118e-7,765.9246795599141
t37,6.806718106221569e-7,765.9246785368645,5.574976050061893e-7,5.172994397674963e-7,765.9246802923334
t38,6.806095281889517e-7,765.9246797193473,5.575836904420234e-7,5.178033193814673e-7,765.9246814753438
t39,6.805762567752792e-7,765.9246806783389,5.576093702493872e-7,5.185521316052972e-7,765.9246824350766
t40,6.809357629917291e-7,765.9246810330523,5.565227383104441e-7,5.178437903220867e-7,765.9246827883545
t41,6.795850624754598e-7,765.9246798692207,5.549149459606297e-7,5.156580025853547e-7,765.9246816193786
t42,6.849239898805027e-7,765.9246790871911,5.603669462963137e-7,5.223492524655701e-7,765.9246808548313
t43,6.88165606583245e-7,765.9246788260077,5.642188076209187e-7,5.258513406034191e-7,765.9246806042435
t44,6.888830664004787e-7,765.9246788237668,5.660062608622166e-7,5.263117326223286e-7,765.924680604968
t45,6.891031878364193e-7,765.9246788955622,5.668478647106415e-7,5.264515465590124e-7,765.924680677965
t46,6.891528053426351e-7,765.9246790460842,5.672923761064712e-7,5.265196281106436e-7,765.9246808290491
t47,6.891115795367474e-7,765.9246792689471,5.675312996698433e-7,5.265543222753977e-7,765.9246810521444
t48,6.89038314329137e-7,765.924679507252,5.676028934276543e-7,5.265734238311271e-7,765.9246812904667
t49,6.889519284936817e-7,765.9246797503943,5.675986656136152e-7,5.265789920243739e-7,765.9246815335239
t50,6.888539461029285e-7,765.9246799946176,5.676574616309015e-7,5.265614995572601e-7,765.9246817776905
t51,6.887496021282468e-7,765.9246801958351,5.677654883720016e-7,5.265110648673353e-7,765.9246819788613
t52,6.8865079935991e-7,765.9246803153701,5.678056290286372e-7,5.264258429953716e-7,765.9246820982523
t53,6.885560155587065e-7,765.924680372928,5.677049977123314e-7,5.263148027379399e-7,765.9246821555039
t54,6.884609220269309e-7,765.9246803180426,5.673564315740919e-7,5.262020496287636e-7,765.924682100062
t55,6.883590448643642e-7,765.9246801435935,5.659765898586304e-7,5.261243624322324e-7,765.9246819240535
t56,6.882476710556781e-7,765.9246793045426,5.628297178021657e-7,5.260289134707911e-7,765.9246810816489
t57,6.881741729323485e-7,765.9246754279868,5.60297080252348e-7,5.260210885447395e-7,765.9246772024791
t58,6.880789772165265e-7,765.9246753136056,5.578239760123935e-7,5.262044801827336e-7,765.9246770857131
t59,6.879561123008637e-7,765.924675168351,5.565231947851354e-7,5.264732514186405e-7,765.9246769393036
t60,6.87791340295371e-7,765.9246757342754,5.564953629536518e-7,5.266605123229068e-7,765.9246775052227
t61,6.875639376285e-7,765.9246787048427,5.579495402952538e-7,5.267490661811146e-7,765.9246804771052
t62,6.872785400131821e-7,765.9246811494893,5.60420277835823e-7,5.268005951730022e-7,765.9246829239887
t63,6.868623064184534e-7,765.9246817751762,5.632243698948133e-7,5.267365365197279e-7,765.9246835519995
t64,6.863012762969795e-7,765.924682150269,5.658978702821926e-7,5.258055449093986e-7,765.9246839282736
t65,6.857580083772292e-7,765.9246824004462,5.670606385484052e-7,5.227465229396171e-7,765.9246841760113
t66,6.852429324063406e-7,765.9246825372446,5.702723855811662e-7,5.193457801399658e-7,765.9246843121058
t67,6.84851190043444e-7,765.9246825611996,5.691532594990677e-7,5.171042461493825e-7,765.9246843323083
t68,6.845860081099731e-7,765.9246825866875,5.707518262054014e-7,5.166378358306403e-7,765.9246843586631
t69,6.844655056230706e-7,765.9246826318126,5.729093880776082e-7,5.165792984668445e-7,765.9246844057668
t70,6.844093743072862e-7,765.9246827388397,5.741137741037818e-7,5.165862915210428e-7,765.9246845139492
t71,6.843677434428063e-7,765.9246829316913,5.74555674106031e-7,5.165342779411928e-7,765.924684707149
t72,6.843152587992548e-7,765.9246831620383,5.741353638041217e-7,5.164827779145578e-7,765.9246849369717
t73,6.842847162526257e-7,765.9246834113868,5.739884183515142e-7,5.165081408336793e-7,765.9246851861682
t74,6.843260335306192e-7,765.9246836629641,5.747153078687434e-7,5.166451259452446e-7,765.9246854386505
t75,6.844450362082467e-7,765.9246839022412,5.754474829352749e-7,5.169333548116294e-7,765.9246856790671
t76,6.846058118866506e-7,765.9246841242596,5.74459596002949e-7,5.173995569033662e-7,765.9246859007245
t77,6.847506636680786e-7,765.9246843157844,5.708691942395011e-7,5.180614740031039e-7,765.9246860894658
t78,6.84846899240655e-7,765.9246844747487,5.704052697714075e-7,5.190371645612544e-7,765.924686249038
t79,6.849222903411879e-7,765.9246845434043,5.712321502778753e-7,5.20408700653244e-7,765.9246863199673
t80,6.849773102813465e-7,765.9246843247918,5.666507281259693e-7,5.217071508010168e-7,765.924686098127
t81,6.850337990851262e-7,765.924682403552,5.646202079383572e-7,5.224564645970094e-7,765.9246841756625
t82,6.851239783686356e-7,765.9246783507681,5.61311196846336e-7,5.228486646646994e-7,765.9246801200519
t83,6.852205688943598e-7,765.9246775070943,5.589685056958908e-7,5.229092358740074e-7,765.9246792741926
t84,6.853809741230714e-7,765.9246778068166,5.579731701464103e-7,5.228015930698878e-7,765.9246795729723
t85,6.855926633408522e-7,765.9246789100299,5.580500233481586e-7,5.227318892763937e-7,765.9246806764045
t86,6.858177433049727e-7,765.924682095468,5.58924992880802e-7,5.22657910029361e-7,765.9246838628687
t87,6.86071656056852e-7,765.9246849030264,5.608592318761748e-7,5.224995487082659e-7,765.9246866724569
t88,6.863941792815375e-7,765.9246857868472,5.634811573546981e-7,5.221413887403733e-7,765.924687558864
t89,6.867213808444083e-7,765.9246861540611,5.652961693706932e-7,5.215764637420883e-7,765.9246879276551
t90,6.869949592478607e-7,765.9246863943652,5.70256328037498e-7,5.209939512191328e-7,765.9246881726104
t91,6.871664372792224e-7,765.9246864575574,5.738782202555885e-7,5.205300939799439e-7,765.9246882391321
t92,6.872916982038516e-7,765.9246865043082,5.746943474360875e-7,5.203825763881565e-7,765.9246882866769
t93,6.874075801898498e-7,765.9246865594815,5.75129086983118e-7,5.203575142619303e-7,765.9246883423757
t94,6.87531340645866e-7,765.9246866962546,5.754089727141109e-7,5.203570973360327e-7,765.9246884795521
t95,6.8767198967128e-7,765.9246868876111,5.755491325262747e-7,5.20354603884928e-7,765.9246886711869
t96,6.878260115386696e-7,765.9246871044433,5.755776486715059e-7,5.203603635027361e-7,765.9246888882074
t97,6.879920935721201e-7,765.9246873359181,5.755351544373144e-7,5.203944210945847e-7,765.9246891198397
t98,6.881539271231635e-7,765.9246875428139,5.754631540701976e-7,5.204924423564224e-7,765.9246893269234
t99,6.883031891129604e-7,765.9246877228253,5.753424485886092e-7,5.206587218004909e-7,765.9246895071298
t100,6.884382227765787e-7,765.9246878628451,5.751250093453674e-7,5.208920939619301e-7,765.9246896473004
t101,6.885735309428864e-7,765.9246879064475,5.746301878184559e-7,5.211786024485621e-7,765.9246896908298
t102,6.887369989532516e-7,765.9246879466097,5.7383512370551e-7,5.214481018051854e-7,765.9246897306299
t103,6.88952509692076e-7,765.9246879832207,5.721668877644566e-7,5.216234272363985e-7,765.9246897659634
t104,6.891549216894572e-7,765.924687811371,5.679388408269104e-7,5.218015159211635e-7,765.9246895902663
t105,6.893490729430233e-7,765.9246861001459,5.660348666549466e-7,5.22066641049073e-7,765.9246878775965
t106,6.8951822131277e-7,765.9246825168931,5.637246238855202e-7,5.222610932020494e-7,765.9246842923969
t107,6.896296322922294e-7,765.9246813746685,5.615955283153172e-7,5.22234125127105e-7,765.9246831481278
t108,6.897442633082081e-7,765.9246818555348,5.606266016738043e-7,5.221612124438009e-7,765.924683628067
t109,6.898763815332114e-7,765.9246841490832,5.608240430002903e-7,5.221709517942153e-7,765.9246859219545
t110,6.900157652219608e-7,765.924686849844,5.618761942566517e-7,5.222326079667648e-7,765.9246886239686
t111,6.902271832855302e-7,765.9246887743664,5.638942798489171e-7,5.222721186661088e-7,765.92469055076
t112,6.905459615302567e-7,765.9246895412892,5.657798184628659e-7,5.222271828027766e-7,765.9246913198423
t113,6.90904193994332e-7,765.9246899274207,5.675909430985039e-7,5.220659101016324e-7,765.9246917079818
t114,6.912021121645494e-7,765.9246901983128,5.667238789040001e-7,5.219660809362199e-7,765.9246919782048
t115,6.91352371936881e-7,765.924690293246,5.637181039354481e-7,5.22066328284374e-7,765.9246920703829
t116,6.914442185257781e-7,765.9246903229445,5.690770289668637e-7,5.221021384077532e-7,765.9246921055678
t117,6.915303038149295e-7,765.9246903375767,5.753060967301651e-7,5.222150675700409e-7,765.9246921266282
t118,6.916238209894847e-7,765.9246903877851,5.784415674215723e-7,5.223952519201126e-7,765.9246921802456
t119,6.917268229081289e-7,765.9246904702699,5.791647687961036e-7,5.226205257672625e-7,765.9246922637819
t120,6.918258434541946e-7,765.9246905791498,5.783202581094316e-7,5.228439260797547e-7,765.9246923721398
t121,6.919151726837451e-7,765.9246907253856,5.770761947451593e-7,5.230758615151674e-7,765.9246925174529
t122,6.919809272520094e-7,765.9246908978931,5.765185589132769e-7,5.233365568105037e-7,765.9246926897292
t123,6.920140142325131e-7,765.9246910659499,5.773865161445496e-7,5.236112109341723e-7,765.9246928589617
t124,6.920325244654399e-7,765.9246912018324,5.793107170805466e-7,5.23868790231647e-7,765.9246929970444
t125,6.920130458118399e-7,765.9246913036061,5.807942207584498e-7,5.241328383368563e-7,765.9246931005462
t126,6.918554694773732e-7,765.924691386747,5.795384703098582e-7,5.244212014683179e-7,765.9246931825621
t127,6.913850626327176e-7,765.9246914197398,5.719397419918422e-7,5.248186745025595e-7,765.9246932078833
