Line,1,2,3,4,5,Total
AnnualSum,-218.9448505683897,-21.124971397436894,60.57576557967199,25.23587349824624,-17.87132034008294,-172.12950322799134
t1,-239.58015442953243,-9.885014030066694,65.48159747012107,37.20056325556664,-18.102447213503243,-164.88545494741464
t2,-229.88975879929063,-10.953771830843014,62.74579556087976,31.61185877313718,-17.892241371173156,-164.37811766728984
t3,-217.6484192225983,-13.623390071679589,58.58611963656846,25.16399302354612,-17.509276972417013,-165.03097360658032
t4,-206.46474223466234,-15.196932191818883,55.04823039204568,18.75905373173339,-17.173937136901504,-165.02832743960366
t5,-193.36147800661692,-20.639508730032574,50.40309950394591,10.865237362810078,-16.522290640017893,-169.25494050991142
t6,-169.90234960536029,-24.920688668119197,43.00982471576083,2.725475253635487,-15.063572880590511,-164.15131118467366
t7,-152.54043470565503,-27.774898029262612,37.69876950517066,-2.3322674243635544,-13.808607054524417,-158.75743770863497
t8,-122.55133060370484,-41.452589828247554,27.49795705422321,-23.238131102466156,-13.218218918832916,-172.96231339902826
t9,-60.405268779560394,-73.99286351004936,5.4745001066018375,-76.5949697489169,-13.788742335192637,-219.30734426711743
t10,-1.1633038511901135,-106.6968146084781,-15.428269536940794,-120.98743007413384,-13.644216032397733,-257.92003410314055
t11,43.41086454082431,-123.20956707823355,-29.660964254371354,-146.6823636206244,-12.985745194872445,-269.12777560727744
t12,47.37961513350049,-129.43822504894916,-31.721857166902826,-152.1163135589304,-13.17035785653014,-279.06713849781204
t13,16.123670176252677,-120.73815798831976,-22.01516033206822,-139.71079165658298,-14.46813346145683,-280.8085732621751
t14,-20.701752548328777,-108.5377324097209,-10.244121379215688,-123.23528663473263,-15.893172427089246,-278.61206539908727
t15,-56.277944601125455,-94.76968038330074,1.4486941628838055,-101.51768152033644,-16.470397666579373,-267.58701000845815
t16,-90.94479696725548,-76.7411350006622,13.704962968906466,-76.45878394614029,-16.71780536277353,-247.15755830792503
t17,-150.8728390835272,-47.679015245759615,34.86493164569136,-35.47916251396309,-17.571730791425384,-216.73781598898395
t18,-207.92679991620307,-17.925358341951373,56.05678674341573,10.976154072749774,-17.92626739992315,-176.7454848419121
t19,-224.36716383192413,-7.5641465569309405,62.51011624674796,27.495771535339706,-18.061864543462853,-159.98728715023026
t20,-222.13946794704904,-7.454840740207606,62.00868206363609,27.14594586648852,-18.028566818955145,-158.46824757608718
t21,-217.88821180973736,-9.354830388204537,60.5706696680491,26.48645505179133,-17.685621557838676,-157.87153903594015
t22,-242.60934909703036,-5.310203319167184,68.59223267957766,37.86192817446281,-18.815662131747832,-160.2810536939049
t23,-274.1068490761336,0.4829108835180396,79.0930057319928,50.45806770366681,-20.678788201408388,-164.7516529583643
t24,-280.41505811950765,1.6358545129661872,81.22800818490498,53.355427217890046,-21.038751622137227,-165.23451982588364
t25,-277.190284821835,1.4249086932313806,80.18660633830949,54.665261368531,-20.469605307557984,-161.3831137293211
t26,-270.54557068714286,0.132093858012027,77.94279490809238,52.838321794524695,-19.959299087071315,-159.5916592135851
t27,-260.3488588586884,-2.0366648410429944,74.50499679887835,49.59597472711623,-19.229197992941536,-157.51375016667834
t28,-244.43866388006168,-4.256873820887115,69.34583820917943,43.63178952460757,-18.28967002959761,-154.00757999675938
t29,-224.9259194181632,-7.093617471829954,63.05753379400052,36.12370670521023,-17.147855041181344,-149.98615143196378
t30,-202.7506217827992,-10.73390143116637,55.93461956918799,26.706642526324273,-15.951068890422581,-146.7943300088759
t31,-182.84683578856578,-14.919669013295193,49.446438006413736,18.682602282972976,-14.659714032133591,-144.29717854460787
t32,-149.06205613572678,-30.22413862842963,37.80622077607878,-8.028742758172683,-14.595050143848383,-164.10376689009865
t33,-79.4044109465706,-66.66558189269091,12.907785285557969,-65.8960284449328,-14.623658624121704,-213.68189462275802
t34,-24.200381519929298,-96.6227928323487,-6.626010043758064,-111.72215461030447,-14.66223558941703,-253.83357459575757
t35,10.924619137759965,-114.70046693121162,-18.964064335932783,-138.781507283848,-14.503191013621294,-276.0246104268537
t36,-2.589240491057541,-115.69983473367185,-15.488653346250967,-139.45514391473586,-15.744265689395295,-288.9771381751115
t37,-44.86719936977108,-105.2497538441874,-2.30979735347799,-121.57390738327598,-17.428621441181736,-291.4292793918942
t38,-89.45715376758773,-90.20977580168847,12.345369453071585,-95.31382648416665,-18.455033877709628,-281.0904204780809
t39,-125.33698877263588,-76.96882163421965,24.317234556922546,-63.16652660448121,-17.78708361200877,-258.94218606642295
t40,-168.02489250221427,-59.2527578792513,38.97672982830788,-22.998496672259265,-16.998266960034094,-228.29768418545106
t41,-216.03644363292403,-35.47976227780638,56.61956843476485,15.758135274949046,-17.658801709985614,-196.79730391100213
t42,-257.90672601984164,-12.346994078823213,72.87671403806797,49.931196345097014,-18.524609916677857,-165.97041963217774
t43,-270.7500631926463,-6.058823031325302,77.3171780948584,55.321297429987055,-19.176278150787745,-163.34668884991385
t44,-270.09877416697157,-5.710241941778367,77.25641680760998,51.73707431269256,-19.862008389149914,-166.67753337759729
t45,-267.5882255159262,-5.234899098327244,76.62488273521544,48.39523505899394,-20.228121672718714,-168.03112849276275
t46,-275.94351532191166,-2.7246984496981383,79.61671395404127,54.16725291676668,-20.4132938643958,-165.29754076519762
t47,-298.98575793887665,1.444459428376426,87.48989879735934,64.07722967773263,-21.73642685770348,-167.71059689311173
t48,-311.26272575363174,5.1583445085058655,91.941368892742,69.62170584958962,-22.49846291937652,-167.0397694221708
t49,-308.9905427728716,5.844097765966771,91.26138443024986,70.89142955171683,-22.010550213142885,-163.00418123808106
t50,-304.35299615577054,5.854507510790163,89.76301045880443,68.68547566551948,-21.779762800708472,-161.82976532136496
t51,-287.22891993328557,2.251412500903607,83.79352770791226,61.81476460010457,-20.617021390643604,-159.98623651500876
t52,-257.62307467467934,-2.8054282514598015,73.86537953637063,50.369629390811774,-18.733859545340525,-154.92735354429723
t53,-231.49871946062518,-8.718762180500178,65.0792870316549,38.554139272879375,-17.359146530529866,-153.94320186712093
t54,-208.05007985113127,-12.984385704607117,57.452468469507224,26.090632158385823,-16.532018807580226,-154.02338373542557
t55,-192.29976344331436,-16.73468995820933,52.1942660109239,15.082608887399463,-16.33117464406551,-158.08875314726583
t56,-162.6920901955815,-31.140715112925395,41.996655648643966,-10.047660603424546,-16.76248104179496,-178.64629130508246
t57,-91.01151337618718,-70.44199514493259,16.416201579622182,-64.05752008466375,-16.09740284113977,-225.1922298673011
t58,-68.74189345544112,-93.03052652600113,6.970962362033944,-94.70379111442404,-17.2631161316508,-266.7683648654831
t59,-51.801991696151205,-104.72922887232656,0.3175005023291736,-112.03628485812844,-17.461809281417217,-285.7118142056942
t60,-56.124489901241326,-106.48918949995915,1.0001602097338518,-111.18541953037352,-17.44106375504595,-290.2400024768861
t61,-92.92719428737824,-97.30561376213912,12.43663341549829,-92.87518503376738,-18.390488920320077,-289.06184858810656
t62,-133.51941001463697,-83.34448176871375,26.026309982206893,-66.78421727158405,-19.012253028333827,-276.6340521010617
t63,-165.0768962803575,-66.13945725679906,37.71267249594394,-36.80047764575281,-18.57919144196208,-248.8833501289275
t64,-216.65577368569592,-40.77895695114212,56.401866728458735,5.4750315979630555,-18.842298211095322,-214.40013052151153
t65,-279.310653485839,-7.094256130924213,80.39953823969846,57.74481429792337,-19.604074939139878,-167.86463201828127
t66,-338.2057554318032,26.002934886038076,104.26730885795864,111.26048744615186,-20.046148450708696,-116.72117269236331
t67,-353.8316013463494,33.913930954875475,110.21746207362445,125.48696220552011,-19.996629001615283,-104.2098751139446
t68,-349.2373254270047,30.319513500226442,108.08875142176457,119.1760502895237,-20.346922334250614,-111.99993254974058
t69,-338.0540499298949,26.9811092808592,103.9209196707388,111.49217718084684,-20.103853157243794,-115.7636969546939
t70,-340.3189509014204,23.921896475642775,104.30421206599117,105.19092213098457,-21.36740438317106,-128.26932461197293
t71,-363.9494496017888,21.932308690503255,112.08228849405009,104.72032665847165,-24.536017648227546,-149.75054340699134
t72,-368.24181740985773,21.266585321846716,113.49833709701265,103.97944171746052,-25.23594243421216,-154.73339570774996
t73,-350.2718646767877,18.887572393268155,107.02506847235047,100.26940016994357,-23.305512591374473,-147.39533623259996
t74,-336.7851771372005,17.625841383136926,102.36170058722396,99.93249636608057,-21.52782257657856,-138.39296137733763
t75,-326.0185372402517,17.38016034845388,98.8130562845587,101.41337816016681,-19.859920054151523,-128.27186250122384
t76,-315.74377550655436,18.40134865387028,95.65888451802444,97.93268857975772,-19.158848229559933,-122.90970198446186
t77,-297.31722141520675,14.946752004025296,89.27537579878597,86.37511058064956,-18.554489241958873,-125.27447227370477
t78,-271.0514821030274,7.736999485047334,80.00812094372498,70.65775133742625,-17.57274789363198,-130.22135823046085
t79,-241.50438246097963,-0.23311358696805137,69.74389768072398,54.397677345915405,-16.36509287618816,-133.96101389749643
t80,-203.18238244575628,-17.653144059278684,55.749625478316496,28.537500896488638,-15.568941429922662,-152.11734156015248
t81,-132.9318902767539,-53.879633348492014,30.454211042784557,-23.60715821297011,-14.865499658395448,-194.82997045382692
t82,-69.70303657986322,-88.4404160912783,8.306661551087993,-70.45645945397148,-14.368623602966002,-234.66187417699103
t83,-23.691971941819002,-109.12739402901379,-7.258365844875182,-103.77693974706257,-14.083371785743545,-257.9380433485141
t84,-24.451780274170428,-112.55154057996586,-8.071191163463297,-109.1116573515202,-14.421484144915125,-268.6076535140349
t85,-54.255600933296854,-104.89967674441819,0.834408035118461,-99.67200517086356,-15.844367957834429,-273.8372427712946
t86,-89.67960547337846,-92.66156674078701,12.387410103565955,-80.51217293360962,-16.79423219725397,-267.2601672414631
t87,-128.67462678094643,-76.13856421743793,25.849111591540602,-54.99557313337211,-17.54006634765205,-251.4997188878679
t88,-179.11618693565302,-52.883761917052425,43.73735346843939,-19.25457716304739,-18.346301738054056,-225.86347428536752
t89,-231.90251303402428,-23.830087029201405,63.59431190298445,26.14242306568874,-18.52574183339258,-184.52160692794504
t90,-294.78012210542795,9.711039026946915,87.94808885992943,86.78537775189223,-17.890337993284202,-128.22595445994355
t91,-315.443315894779,22.66574423095973,96.08309850371162,108.75056873096466,-17.31316901791308,-105.25707344705609
t92,-317.1047188834415,25.56697854486186,96.91308337591973,111.52033688374404,-17.2757823136965,-100.38010239261237
t93,-309.60428266293536,24.193387425449693,94.27043136410448,106.70085547796351,-17.164345507454552,-101.60395390287222
t94,-314.860275446223,21.02626876525194,95.56003870831813,104.02188777723009,-18.171424266987678,-112.42350446241053
t95,-315.9904350514799,15.817361826760596,95.21136137605909,103.08439932211604,-18.23678469534082,-120.114097221885
t96,-306.7534646921078,11.861344177597045,91.66254190606567,97.99956606883775,-17.763602030588935,-122.99361457019626
t97,-302.89395937612665,9.874807828371756,90.16228279733964,92.96114344655095,-18.044831620512525,-127.94055692437686
t98,-298.3190579294886,6.144897191304695,88.20077019285836,82.6631998221157,-18.994942442830073,-140.30513316603992
t99,-295.81671348771863,5.586526875586476,87.38417599754052,74.6267502504932,-19.961349017653028,-148.18060938175145
t100,-283.44317934899027,4.381980306121263,83.3533166219521,69.51277289072411,-19.213830589710568,-145.40894011990338
t101,-252.87547559572937,2.50426383923851,73.64780965827131,61.70518637087562,-16.794705698959557,-131.81292142630346
t102,-237.0878935707778,1.0546829909196056,68.68737421099605,58.99733170414344,-15.329315521628676,-123.67782018634736
t103,-232.85130421283324,1.8890704661955648,67.53696088441637,57.20655435931891,-15.147405212845769,-121.36612371574816
t104,-209.00800129406701,-10.715273992286805,58.71117293218812,35.10747347577781,-15.602395789789782,-141.50702466817765
t105,-158.10525021502298,-40.33139039471738,40.05856966610175,-15.810226364994577,-17.050759905801126,-191.2390572144343
t106,-108.22347976493265,-67.08843719097553,22.78502182721622,-61.00282134012841,-18.064638106676927,-231.5943545754973
t107,-75.37473064772965,-83.33553746551067,11.511677731241534,-91.12681209115236,-18.81952250463472,-257.1449249777859
t108,-71.34143026595896,-93.03039219576961,8.508515834665697,-99.22764168245692,-18.91357227516511,-274.0045205846849
t109,-94.81297869377548,-90.14674220871879,14.849463165645782,-89.07020220336271,-19.30029300020314,-278.4807529404144
t110,-109.6969705370739,-86.57820854191034,19.319844752033713,-72.76654783021529,-18.248430887454294,-267.9703130446201
t111,-140.1294737995015,-72.09717719917272,29.850439706150727,-45.109789164140665,-17.56247901223255,-245.04847946889674
t112,-178.01204810878124,-53.523706076827764,43.335899452590006,-10.679042777398541,-17.00852157015889,-215.88741908057642
t113,-220.04052460636078,-29.673145167578117,59.23583740687482,28.887854132640385,-16.657115178642293,-178.247093413066
t114,-273.18143421277284,1.9588343629875216,80.17958593785973,78.76877426094319,-16.41813526707867,-128.69237491806106
t115,-301.07003402407395,14.953725265001303,90.51007189095516,100.13419825375249,-16.629659582670314,-112.10169819703532
t116,-312.438301890782,18.53387908182981,94.52079154608846,103.49029339341105,-17.740662555876376,-113.63400042532905
t117,-321.3087516610647,21.278217725071435,97.78127358801328,103.79860901717262,-19.04908843862205,-117.49973976942942
t118,-342.8986485574674,24.108012461016838,105.38405156745108,106.87119329811314,-21.537787556636097,-128.0731787875225
t119,-362.16774382352634,26.50401080315446,112.31769458060414,111.3332497062952,-23.537163649700517,-135.54995238317304
t120,-360.1955261050912,27.16569450994895,111.75125826998996,109.8724972316371,-23.564135507418726,-134.9702116009339
t121,-347.56580093957587,26.7188979279104,107.4104485270751,105.42018812060132,-22.5995558049654,-130.61582216895442
t122,-335.713705377973,26.232758566522456,103.42159188267132,103.27885829781732,-21.38396052995533,-124.1644571609172
t123,-323.9700213289673,26.813034568579948,99.70930538032493,102.97598218461556,-19.957224323805498,-114.42892351925232
t124,-304.11300852429576,25.955993338747806,93.24448827388976,98.1721158667518,-18.225104636359834,-104.96551568126621
t125,-281.9118584096896,22.965842238283674,85.85968130877848,93.06305054209197,-16.212593259944192,-96.23587758047967
t126,-268.8435835479177,21.55957236131648,81.60480285010074,87.78362393323754,-15.445727127002808,-93.34131153026577
t127,-255.5988653296532,18.97687788640824,77.0212482791847,78.61253986422727,-15.228007029900091,-96.21620632973307
t128,-230.58527529701115,4.888224259086884,67.74227755636937,50.705398178358266,-16.369037009224332,-123.61841231242096
t129,-169.26563851520757,-30.000035160784055,45.52866367857322,-3.641525054295553,-17.13548571936522,-174.51402077107917
t130,-124.36313728660517,-57.99102126865362,29.205044082850254,-47.59013349092359,-18.393473986677403,-219.1327219500095
t131,-102.67770174121134,-71.6049625769438,20.983381578314496,-68.32783853515703,-18.73837023170664,-240.3654915067043
t132,-115.28624229113035,-73.72960404018333,23.579004474829073,-66.13429536569654,-19.09972179995509,-250.67085902213626
t133,-157.5232805532097,-64.36843139243435,36.1408768112178,-44.70228183922116,-19.869153382961738,-250.32227035660915
t134,-205.28905452505015,-48.53642958762711,51.8885743132083,-15.90057166057356,-20.800299105473822,-238.63778056551632
t135,-252.427914061846,-28.754073785575507,68.93199022729362,20.282362427420548,-21.26907782943715,-213.2367130221445
t136,-290.2424088909908,-7.175680007255761,84.15035399481458,54.8955332358396,-21.51089795416785,-179.8830996217603
t137,-335.19940674373044,19.40173503602743,102.81020513827829,95.0607036118989,-22.18073349877129,-140.1074964562971
t138,-376.46733544571214,45.695498700908615,120.56339156854705,139.80280375283468,-21.64152433966927,-92.04716576309107
t139,-373.9160075839326,47.957748382905564,119.73639721475476,145.52477498823052,-20.37419353144344,-81.0712805294852
t140,-360.50219204533045,43.12094578683134,114.41645415082827,137.840250717007,-19.667988969566935,-84.7925303602308
t141,-348.4121831118427,38.24199083889033,109.61815878549368,129.4863001801888,-19.292373355401274,-90.35810666267116
t142,-356.93663825427,36.42854512405881,112.24163615813492,128.61355062958768,-20.543982649035307,-100.1968889915239
t143,-376.92997187506,38.535021666157185,119.41781591302193,132.29532768802756,-22.812941318781146,-109.49474792663447
t144,-378.4923889803159,39.041644502765855,120.01426193251534,129.76793134805288,-23.481547077121228,-113.15009827410307
t145,-367.0746470647174,37.61021484724908,115.87464898275586,122.13824776735906,-23.09748866503417,-114.54902413238756
t146,-351.17379515061685,33.75181309798376,110.00252056667148,112.02828473632013,-22.45357330759331,-117.84475005723479
