Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4
t1,0.2944939415476433,5.373046013060661,0.0,0.0,0.0,0.0,0.0,31.700434709863426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2726808687138205,39.83967065079993,0.0,0.0,0.0,0.0,0.0,0.0,4.108123808025509,0.0,0.0,0.0,0.0010181965214591687,0.0,0.0,0.0,0.0,0.0,0.0,78784.64519682161,0.0,0.0,0.0,0.0,0.0,0.0,0.0004812374508790741,0.0,0.0,0.0,0.0,0.0,0.0,0.0005537937868987479,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.29128893682684237,5.085334469416713,0.0,0.0,0.0,0.0,0.0,29.93670626881183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2572936984639878,37.57359659664481,0.0,0.0,0.0,0.0,0.0,0.0,4.057005863862552,0.0,0.0,0.0,0.0010076089608460727,0.0,0.0,0.0,0.0,0.0,0.0,78067.8965979931,0.0,0.0,0.0,0.0,0.0,0.0,0.00047468779361857836,0.0,0.0,0.0,0.0,0.0,0.0,0.0005474579927274524,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.28866309048172456,4.929367724355835,0.0,0.0,0.0,0.0,0.0,28.831685606196487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2448770193898202,36.15403062544704,0.0,0.0,0.0,0.0,0.0,0.0,4.016211961661506,0.0,0.0,0.0,0.00099815420365717,0.0,0.0,0.0,0.0,0.0,0.0,77405.58968158948,0.0,0.0,0.0,0.0,0.0,0.0,0.0004686869548469838,0.0,0.0,0.0,0.0,0.0,0.0,0.0005417041589538921,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.2863313070714531,4.8249949307774385,0.0,0.0,0.0,0.0,0.0,28.050583299504872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2339747968127743,35.14979993486255,0.0,0.0,0.0,0.0,0.0,0.0,3.9806356779444374,0.0,0.0,0.0,0.0009893972382267577,0.0,0.0,0.0,0.0,0.0,0.0,76803.80007539346,0.0,0.0,0.0,0.0,0.0,0.0,0.0004629263606600401,0.0,0.0,0.0,0.0,0.0,0.0,0.0005363185474988676,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.28418548565270974,4.749763011914085,0.0,0.0,0.0,0.0,0.0,27.46619710147047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2240369198540688,34.39632800963554,0.0,0.0,0.0,0.0,0.0,0.0,3.948352627559968,0.0,0.0,0.0,0.0009810231584043783,0.0,0.0,0.0,0.0,0.0,0.0,76265.66976246572,0.0,0.0,0.0,0.0,0.0,0.0,0.00045729677726840117,0.0,0.0,0.0,0.0,0.0,0.0,0.0005313211577548555,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.2821707778423681,4.693461944960666,0.0,0.0,0.0,0.0,0.0,27.01318035825132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.214784823252556,33.81005262348032,0.0,0.0,0.0,0.0,0.0,0.0,3.9184124614817493,0.0,0.0,0.0,0.0009727175325917866,0.0,0.0,0.0,0.0,0.0,0.0,75824.4624788731,0.0,0.0,0.0,0.0,0.0,0.0,0.0004517351942415589,0.0,0.0,0.0,0.0,0.0,0.0,0.0005265384419122355,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.2802550613081829,4.650364714450437,0.0,0.0,0.0,0.0,0.0,26.65255696710753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2060538351248524,33.341067417382405,0.0,0.0,0.0,0.0,0.0,0.0,3.8902365696175836,0.0,0.0,0.0,0.0009639276877407845,0.0,0.0,0.0,0.0,0.0,0.0,75457.14728337797,0.0,0.0,0.0,0.0,0.0,0.0,0.0004461788817889144,0.0,0.0,0.0,0.0,0.0,0.0,0.0005217716575013621,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.27841693117346494,4.6167846829094925,0.0,0.0,0.0,0.0,0.0,26.358932805838403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1977383753023192,32.95760779611168,0.0,0.0,0.0,0.0,0.0,0.0,3.8635011341524037,0.0,0.0,0.0,0.0009546889557372052,0.0,0.0,0.0,0.0,0.0,0.0,75186.69328527854,0.0,0.0,0.0,0.0,0.0,0.0,0.0004408533949088642,0.0,0.0,0.0,0.0,0.0,0.0,0.0005166851901245544,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.2766417978556449,4.590059370691159,0.0,0.0,0.0,0.0,0.0,26.113419569737342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1897578327808829,32.63653293249003,0.0,0.0,0.0,0.0,0.0,0.0,3.8378941316793025,0.0,0.0,0.0,0.0009446497764146762,0.0,0.0,0.0,0.0,0.0,0.0,75105.37805203939,0.0,0.0,0.0,0.0,0.0,0.0,0.0004355343343824342,0.0,0.0,0.0,0.0,0.0,0.0,0.0005114620521282741,0.0,0.0,0.0,0.0,0.0,0.0
