Line,1,2,3,4,5,Total
AnnualSum,20265.300007897167,25523.100007886027,10474.200007989504,15359.400007938564,6230.700008043047,77852.7000397543
t1,20265.300007962305,25523.100007944617,10474.200008029899,15359.40000798824,6230.70000808441,77852.70004000948
t2,20265.300007962625,25523.10000795232,10474.200008035423,15359.40000799219,6230.700008083087,77852.70004002565
t3,20265.300007962436,25523.100007953108,10474.200008036814,15359.40000800048,6230.700008082523,77852.70004003536
t4,20265.300007962174,25523.10000795293,10474.200008037154,15359.40000800126,6230.700008082571,77852.70004003608
t5,20265.30000796165,25523.100007951954,10474.200008036783,15359.400007996179,6230.700008082968,77852.70004002955
t6,20265.3000079613,25523.1000079512,10474.200008036561,15359.400007993525,6230.700008083805,77852.7000400264
t7,20265.30000796211,25523.10000795075,10474.200008037029,15359.400007992355,6230.700008084702,77852.70004002695
t8,20265.300007961494,25523.100007954326,10474.200008037842,15359.400007995271,6230.700008082833,77852.70004003176
t9,20265.3000079624,25523.100007954574,10474.200008039068,15359.400007995506,6230.700008082743,77852.70004003428
t10,20265.300007962644,25523.100007952035,10474.200008039423,15359.400007995593,6230.700008082624,77852.70004003232
t11,20265.300007962844,25523.100007950216,10474.200008038906,15359.400007996155,6230.70000808235,77852.70004003047
t12,20265.30000796455,25523.10000794883,10474.20000803884,15359.400007998156,6230.7000080821,77852.70004003248
t13,20265.300007964703,25523.100007947913,10474.200008038459,15359.400007999766,6230.700008081744,77852.70004003258
t14,20265.300007962353,25523.1000079481,10474.20000803745,15359.40000800062,6230.700008081004,77852.70004002952
t15,20265.300007958725,25523.10000794888,10474.200008036127,15359.400007999788,6230.700008080093,77852.70004002361
t16,20265.30000795384,25523.10000794835,10474.20000803394,15359.400007995317,6230.700008078495,77852.70004000994
t17,20265.300007941132,25523.10000793755,10474.200008024289,15359.400007981658,6230.7000080715325,77852.70003995617
t18,20265.300007924445,25523.100007917183,10474.200008010359,15359.400007963954,6230.700008060131,77852.70003987607
t19,20265.300007911712,25523.100007900703,10474.200007999407,15359.400007949438,6230.700008052205,77852.70003981347
t20,20265.30000790761,25523.10000789747,10474.200007996644,15359.400007946566,6230.700008050428,77852.70003979871
t21,20265.300007904334,25523.10000789528,10474.200007994412,15359.400007944589,6230.700008049286,77852.7000397879
t22,20265.30000790267,25523.100007893365,10474.200007992873,15359.40000794302,6230.700008048515,77852.70003978045
t23,20265.300007901675,25523.100007891997,10474.200007991647,15359.400007941938,6230.700008047937,77852.70003977518
t24,20265.300007900685,25523.10000789073,10474.20000799045,15359.400007941304,6230.700008047417,77852.7000397706
t25,20265.30000789994,25523.100007889516,10474.200007989482,15359.400007940809,6230.700008047001,77852.70003976676
t26,20265.300007899565,25523.1000078883,10474.200007988804,15359.400007940425,6230.7000080467,77852.70003976379
t27,20265.30000789949,25523.10000788739,10474.200007988527,15359.400007940054,6230.700008046499,77852.70003976196
t28,20265.300007899696,25523.100007887595,10474.200007989,15359.400007939737,6230.700008046487,77852.70003976252
t29,20265.300007900605,25523.100007889534,10474.200007990768,15359.400007939454,6230.700008046888,77852.70003976724
t30,20265.300007902748,25523.10000789298,10474.20000799397,15359.400007939328,6230.700008047927,77852.70003977696
t31,20265.300007905375,25523.100007895802,10474.20000799644,15359.400007939897,6230.70000804893,77852.70003978645
t32,20265.300007905877,25523.100007894955,10474.200007995343,15359.400007946011,6230.700008047379,77852.70003978956
t33,20265.300007905684,25523.1000078955,10474.200007996124,15359.400007950027,6230.7000080469925,77852.70003979432
t34,20265.30000790833,25523.100007896806,10474.200007998077,15359.400007954326,6230.700008047053,77852.7000398046
t35,20265.300007910464,25523.100007897723,10474.200007998379,15359.4000079565,6230.700008047012,77852.70003981008
t36,20265.300007911428,25523.10000789762,10474.20000799805,15359.40000795695,6230.700008047094,77852.70003981114
t37,20265.30000791115,25523.100007896508,10474.200007997615,15359.400007955794,6230.7000080470825,77852.70003980814
t38,20265.300007909293,25523.100007894893,10474.200007996822,15359.40000795325,6230.700008046685,77852.70003980094
t39,20265.300007906455,25523.100007892477,10474.2000079954,15359.400007949765,6230.700008045599,77852.7000397897
t40,20265.300007899463,25523.10000788782,10474.200007990874,15359.40000794365,6230.700008042705,77852.70003976452
t41,20265.300007884813,25523.10000788138,10474.200007980522,15359.400007935543,6230.700008037703,77852.70003971996
t42,20265.300007876893,25523.100007877914,10474.20000797514,15359.400007931885,6230.700008034047,77852.70003969588
t43,20265.30000787981,25523.10000787851,10474.200007978252,15359.400007924345,6230.700008034763,77852.70003969569
t44,20265.30000787901,25523.100007874633,10474.200007976979,15359.400007922499,6230.70000803399,77852.70003968712
t45,20265.300007878363,25523.100007871635,10474.200007976016,15359.400007921293,6230.70000803347,77852.70003968077
t46,20265.300007877955,25523.100007870045,10474.200007975573,15359.400007920265,6230.700008033204,77852.70003967705
t47,20265.300007877482,25523.100007869463,10474.200007975352,15359.40000791949,6230.700008033101,77852.70003967489
t48,20265.30000787704,25523.10000786912,10474.200007975185,15359.400007918928,6230.700008033012,77852.70003967329
t49,20265.300007876816,25523.100007869405,10474.200007975334,15359.400007918533,6230.700008032998,77852.70003967309
t50,20265.300007876645,25523.10000786963,10474.200007975529,15359.400007918262,6230.700008032994,77852.70003967306
t51,20265.3000078771,25523.10000787076,10474.200007976424,15359.400007918144,6230.7000080332,77852.70003967563
t52,20265.30000787813,25523.100007872712,10474.200007977923,15359.400007918106,6230.700008033623,77852.7000396805
t53,20265.300007879337,25523.100007874353,10474.200007979378,15359.40000791803,6230.700008034093,77852.7000396852
t54,20265.300007880163,25523.100007874724,10474.200007980033,15359.400007918099,6230.700008034359,77852.70003968738
t55,20265.300007877817,25523.10000787216,10474.200007977446,15359.400007918914,6230.700008033452,77852.7000396798
t56,20265.300007871032,25523.100007871744,10474.200007972926,15359.400007924229,6230.700008030952,77852.70003967089
t57,20265.300007868856,25523.10000787088,10474.200007971873,15359.400007930662,6230.700008029482,77852.70003967175
t58,20265.30000787267,25523.10000786854,10474.200007971494,15359.400007936676,6230.700008029137,77852.70003967852
