region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
East,East_batteries_1,1,1,1,0.0,0.0,22446.0,2770.7999999999997,4.928611176642786e-5,0.0,5.029694169046872e-10,0.0,NaN,NaN,0.0,0.018416696538864723,0.0,0.0,0.0,NaN,NaN,NaN
East,East_conventional_hydroelectric_1,1,1,2,0.0,0.0,310516.8,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,40.34196001375378,14015.836745406874,0.0,0.0,NaN,310516.8,NaN
East,East_landfill_gas_1,1,1,3,0.0,0.0,50399.99999995872,0.0,12.768000670751862,0.0,0.0,1.6747242645760944e-5,0.0,NaN,0.0,94.90643010625816,32869.103552740795,0.0,0.0,NaN,50412.76801737672,NaN
East,East_natural_gas_internal_combustion_engine_1,1,1,4,0.0,0.0,67199.99986574342,0.0,8.032721812911543e-8,1.5612470591260403e-6,0.0,2.3757678372362518e-6,0.0,NaN,0.0,126.54190655563411,0.0,0.0,0.0,NaN,67199.99986976077,NaN
East,East_petroleum_liquids_with_gt_1,1,1,5,0.0,0.0,1.757069999960204e6,0.0,9.822267841248833e-8,5.5782296115092355e-6,0.0,5.210545732945865e-6,0.0,NaN,0.0,4982.587580469783,0.0,0.0,0.0,NaN,1.7570699999710908e6,NaN
East,East_petroleum_liquids_with_ic_1,1,1,6,0.0,0.0,83999.99986355312,0.0,9.380851486712634e-8,5.289757921674075e-6,0.0,4.9169138047764946e-6,0.0,NaN,0.0,158.17738325362163,0.0,0.0,0.0,NaN,83999.9998738536,NaN
East,East_solar_photovoltaic_1,1,1,7,0.0,0.0,1.1130515999936478e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,288.61566515482906,133949.1234080982,0.0,0.0,NaN,1.1130515999936478e6,NaN
North,North_conventional_hydroelectric_1,2,1,8,0.0,0.0,1.740776e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,226.15948458477098,78573.62225621588,0.0,0.0,NaN,1.740776e6,NaN
North,North_landfill_gas_1,2,1,9,0.0,0.0,50399.9999999815,0.0,12.768000669681069,0.0,0.0,1.674830875370925e-5,0.0,NaN,0.0,94.90643010630106,32869.10354998422,0.0,0.0,NaN,50412.76801739949,NaN
North,North_natural_gas_internal_combustion_engine_1,2,1,10,0.0,0.0,470399.9998731688,0.0,8.143706468423873e-8,1.5828181369079489e-6,0.0,2.455078707165252e-6,0.0,NaN,0.0,885.7933474203038,0.0,0.0,0.0,NaN,470399.9998772882,NaN
North,North_onshore_wind_turbine_1,2,1,11,0.0,0.0,25799.999996639115,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,5.198939521318497,4851.765363014241,0.0,0.0,NaN,25799.999996639115,NaN
North,North_petroleum_liquids_with_cc_1,2,1,12,0.0,0.0,7.081664799936962e6,0.0,1953.7698305240035,123654.30727384548,0.0,0.00038776260095215137,0.0,NaN,0.0,16980.342119707446,0.0,0.0,0.0,NaN,7.207272877429094e6,NaN
North,North_petroleum_liquids_with_gt_1,2,1,13,0.0,0.0,5.894783681061209e6,0.0,2577.1677720089547,174246.8035851283,0.0,0.0018216034169060051,0.0,NaN,0.0,19301.5951608638,0.0,0.0,0.0,NaN,6.07160765423995e6,NaN
North,North_petroleum_liquids_with_st_1,2,1,14,0.0,0.0,608679.1712063483,0.0,18.939662457228476,5746.400795159666,0.0,0.0004830637976947305,0.0,NaN,0.0,706.5643067779916,0.0,0.0,0.0,NaN,614444.5121470289,NaN
North,North_solar_photovoltaic_1,2,1,15,0.0,0.0,337082.6999964331,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,87.11603607271803,41609.2839233949,0.0,0.0,NaN,337082.6999964331,NaN
South,South_batteries_1,3,1,16,0.0,0.0,31798.5,12006.800000000001,0.00021357182319167153,0.0,4.860924998315892e-10,0.0,NaN,NaN,0.0,0.0798149760338475,0.0,0.0,0.0,NaN,NaN,NaN
South,South_conventional_hydroelectric_1,3,1,17,0.0,0.0,2.1736176e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,282.3937358857723,98110.84681874567,0.0,0.0,NaN,2.1736176e6,NaN
South,South_natural_gas_fired_combined_cycle_1,3,1,18,0.0,0.0,5.6764599999429025e6,0.0,2.3470524491522644e-8,7.71731650178321e-7,0.0,1.115538529673926e-6,0.0,NaN,0.0,22935.720608800468,0.0,0.0,0.0,NaN,5.676459999944814e6,NaN
South,South_natural_gas_steam_turbine_1,3,1,19,0.0,0.0,2.179811728296957e7,0.0,7.90633274780664e-9,8.704424827066368e-7,0.0,4.568616602658172e-6,0.0,NaN,0.0,27627.957990997114,0.0,0.0,0.0,NaN,2.1798117282975018e7,NaN
South,South_onshore_wind_turbine_1,3,1,20,0.0,0.0,3.224999999994745e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,623.7322971258794,580228.9144936118,0.0,0.0,NaN,3.224999999994745e6,NaN
South,South_petroleum_liquids_with_gt_1,3,1,21,0.0,0.0,1.171379999988257e6,0.0,8.953542351953912e-8,5.596303119302709e-6,0.0,4.989122675358618e-6,0.0,NaN,0.0,3321.725053688456,0.0,0.0,0.0,NaN,1.171379999998932e6,NaN
South,South_petroleum_liquids_with_st_1,3,1,22,0.0,0.0,1.954461546129634e7,0.0,9.797967330003805e-9,3.0424537232742947e-6,0.0,2.5411014081217336e-6,0.0,NaN,0.0,24771.76390535167,0.0,0.0,0.0,NaN,1.9544615461301934e7,NaN
South,South_solar_photovoltaic_1,3,1,23,0.0,0.0,990887.3999925597,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,252.8054859193942,124674.7052544618,0.0,0.0,NaN,990887.3999925597,NaN
West,West_batteries_1,4,1,24,0.0,0.0,135923.0,38791.200000000004,0.0006900004043298569,0.0,5.434342752979554e-10,0.0,NaN,NaN,0.0,0.25787330324763696,0.0,0.0,0.0,NaN,NaN,NaN
West,West_petroleum_liquids_with_gt_1,4,1,25,0.0,0.0,2.5220799999495125e6,0.0,1.1395969161053856e-7,6.434405921010179e-6,0.0,6.026704487059566e-6,0.0,NaN,0.0,8699.756092906637,0.0,0.0,0.0,NaN,2.5220799999620877e6,NaN
West,West_petroleum_liquids_with_ic_1,4,1,26,0.0,0.0,75599.99998565238,0.0,1.0452900205050433e-7,5.891741833621096e-6,0.0,5.300051638838316e-6,0.0,NaN,0.0,142.35964513248632,0.0,0.0,0.0,NaN,75599.9999969487,NaN
West,West_solar_photovoltaic_1,4,1,27,0.0,0.0,1.0180349999955461e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,249.9205229051035,127243.04404495547,0.0,0.0,NaN,1.0180349999955461e6,NaN
East,East_battery_moderate_0,1,0,28,0.34961169902967687,2.7017919077721375,0.10837962669919983,0.8374396931351616,1.400361800526943e-7,0.0,7.969744296550667e-10,0.0,NaN,NaN,0.0,1.8757103737497367e-6,0.0,0.0,0.0,NaN,NaN,NaN
East,East_naturalgas_ctavgcf_moderate_0,1,0,29,0.9854270031705082,0.0,0.2890864867369897,0.0,7.325488194197753e-8,1.4240749049520446e-6,0.0,4.3748324134928205e-6,0.0,NaN,0.0,0.0005443683819085379,0.0,0.0,0.0,NaN,1.2745193620696982,NaN
East,East_naturalgas_ccavgcf_moderate_0,1,0,30,0.9077573992739466,0.0,0.30780007967921463,0.0,1.103919670913505e-8,3.510464553504947e-7,0.0,3.0207053103004796e-6,0.0,NaN,0.0,0.00043470545757142863,0.0,0.0,0.0,NaN,1.2155608617441236,NaN
East,East_microgrid_solar_moderate_0,1,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN
East,East_microgrid_diesel_moderate_0,1,0,32,0.6178451010900277,0.0,0.03979539037377875,0.0,1.6673092749605467e-8,1.1904254761363318e-6,0.0,0.00012292862563573074,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.657764627188011,NaN
East,East_utilitypv_class1_moderate_1,1,1,33,3.650558707606062e6,0.0,1.049017402185663e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,354.8955302474865,169508.95904365683,0.0,0.0,NaN,4.699576109791725e6,NaN
East,East_landbasedwind_class3_moderate_1,1,1,34,1.3339846009980926e7,0.0,6.822023005104264e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,1464.3679664577812,1.366579948037076e6,0.0,0.0,NaN,2.016186901508519e7,NaN
North,North_battery_moderate_0,2,0,35,1.6068680632039627e8,1.2806420271601977e9,4.981290995932285e7,3.969441403521577e8,101.5324894833614,0.0,42.757032109644996,0.0,NaN,NaN,0.0,4884.238592819958,0.0,0.0,0.0,NaN,NaN,NaN
North,North_naturalgas_ctavgcf_moderate_0,2,0,36,0.9865223488566498,0.0,0.28940781914938596,0.0,7.338146500762093e-8,1.4265356797481515e-6,0.0,4.382414274485964e-6,0.0,NaN,0.0,0.0005449734714350852,0.0,0.0,0.0,NaN,1.275936050337455,NaN
North,North_naturalgas_ccavgcf_moderate_0,2,0,37,0.9091596412581044,0.0,0.308275548339452,0.0,1.1090534472025526e-8,3.526789962104119e-7,0.0,3.0219867089104877e-6,0.0,NaN,0.0,0.0004353769610412287,0.0,0.0,0.0,NaN,1.217438575353796,NaN
North,North_microgrid_solar_moderate_0,2,0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN
North,North_microgrid_diesel_moderate_0,2,0,39,0.6250192129315197,0.0,0.040257474771330244,0.0,1.3084694562590346e-5,0.0009342210223798254,0.0,9.328887381914826e-5,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.6663172822936115,NaN
North,North_utilitypv_class1_moderate_1,2,1,40,7.409371207600435e6,0.0,2.1291424021840463e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,711.0875775673976,350683.1874458136,0.0,0.0,NaN,9.538513609784482e6,NaN
North,North_landbasedwind_class3_moderate_1,2,1,41,1.005619160998781e7,0.0,5.142755805107785e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,1059.513263105196,985615.5145369066,0.0,0.0,NaN,1.5198947415095596e7,NaN
South,South_battery_moderate_0,3,0,42,0.34626880004334526,2.442894349089018,0.10734332801343703,0.7571925462422634,1.2678006768692364e-7,0.0,7.440456720653525e-10,0.0,NaN,NaN,0.0,6.178476385612246e-7,0.0,0.0,0.0,NaN,NaN,NaN
South,South_naturalgas_ctavgcf_moderate_0,3,0,43,0.9845915928999855,0.0,0.28884140940572883,0.0,7.319642043313107e-8,1.4229384132200686e-6,0.0,4.372102868274388e-6,0.0,NaN,0.0,0.0005439068855869119,0.0,0.0,0.0,NaN,1.2734388705434163,NaN
South,South_naturalgas_ccavgcf_moderate_0,3,0,44,0.9067750391741859,0.0,0.30746698350481616,0.0,1.102096990776415e-8,3.5046684306690006e-7,0.0,3.0202806705646687e-6,0.0,NaN,0.0,0.00043423502648818105,0.0,0.0,0.0,NaN,1.2142454044474857,NaN
South,South_microgrid_solar_moderate_0,3,0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN
South,South_microgrid_diesel_moderate_0,3,0,46,0.6178642924414105,0.0,0.03979662648833033,0.0,1.4992365612754497e-8,1.0704249200194457e-6,0.0,0.0001229405626689264,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.6577849449096954,NaN
South,South_utilitypv_class1_moderate_1,3,1,47,1.1198254207592173e7,0.0,3.2179084021816715e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,1092.2812375725723,506937.5334638138,0.0,0.0,NaN,1.4416162609773844e7,NaN
South,South_landbasedwind_class3_moderate_1,3,1,48,1.369504900997031e7,0.0,7.003674505098836e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,1554.678810252871,1.4248062331427906e6,0.0,0.0,NaN,2.0698723515069146e7,NaN
West,West_battery_moderate_0,4,0,49,0.37239163081631177,2.901445854219577,0.11544140555305663,0.8993238594046643,1.5027639183589314e-7,0.0,8.602768711689703e-10,0.0,NaN,NaN,0.0,2.4717047127763135e-6,0.0,0.0,0.0,NaN,NaN,NaN
West,West_naturalgas_ctavgcf_moderate_0,4,0,50,0.9855402377636595,0.0,0.2891197054235143,0.0,7.318014434466574e-8,1.4226220060603023e-6,0.0,4.373900859508952e-6,0.0,NaN,0.0,0.0005444309348242298,0.0,0.0,0.0,NaN,1.2746658128901838,NaN
West,West_naturalgas_ccavgcf_moderate_0,4,0,51,0.907830722424807,0.0,0.30782494190748755,0.0,1.1008695093503138e-8,3.500765039733999e-7,0.0,3.020355526743013e-6,0.0,NaN,0.0,0.0004347405704483612,0.0,0.0,0.0,NaN,1.2156590457730203,NaN
West,West_microgrid_solar_moderate_0,4,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN
West,West_microgrid_diesel_moderate_0,4,0,53,0.6178953648514911,0.0,0.03979862786163058,0.0,1.969010252675525e-8,1.405833940205271e-6,0.0,0.0001229051887189575,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.6578183234258834,NaN
West,West_utilitypv_class1_moderate_1,4,1,54,1.1198254207599778e7,0.0,3.2179084021838577e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,1034.115586593673,526503.4369768777,0.0,0.0,NaN,1.4416162609783635e7,NaN
West,West_landbasedwind_class3_moderate_1,4,1,55,1.3481927209971808e7,0.0,6.894683605099602e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,1119.0619449490098,1.2297426651675086e6,0.0,0.0,NaN,2.037661081507141e7,NaN
