Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4
t1,0.29348151337882433,5.576353637989023,0.0,0.0,0.0,0.0,0.0,32.2399773857907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2682116048684768,40.35448362701542,0.0,0.0,0.0,0.0,0.0,0.0,4.095820078712404,0.0,0.0,0.0,0.0001642819042823981,0.0,0.0,0.0,0.0,0.0,0.0,78732.50045819188,0.0,0.0,0.0,0.0,0.0,0.0,0.00014865808695840827,0.0,0.0,0.0,0.0,0.0,0.0,0.0001766809899043783,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.28992018997769226,5.2756939212758835,0.0,0.0,0.0,0.0,0.0,30.37739075256084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2512649945296634,38.00654269005676,0.0,0.0,0.0,0.0,0.0,0.0,4.040260020761379,0.0,0.0,0.0,0.00016232742382468618,0.0,0.0,0.0,0.0,0.0,0.0,77967.82317586959,0.0,0.0,0.0,0.0,0.0,0.0,0.00014665504084939284,0.0,0.0,0.0,0.0,0.0,0.0,0.00017451092431139596,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.287089388059424,5.09524088439759,0.0,0.0,0.0,0.0,0.0,29.22535019036097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2379883282951747,36.55403467165586,0.0,0.0,0.0,0.0,0.0,0.0,3.996873208784061,0.0,0.0,0.0,0.00016073978786025416,0.0,0.0,0.0,0.0,0.0,0.0,77261.57562823646,0.0,0.0,0.0,0.0,0.0,0.0,0.00014508529733936053,0.0,0.0,0.0,0.0,0.0,0.0,0.00017270940946355958,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.2846214020974447,4.970531367352651,0.0,0.0,0.0,0.0,0.0,28.422184816616525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2265574009230165,35.5412571079501,0.0,0.0,0.0,0.0,0.0,0.0,3.9595796612327643,0.0,0.0,0.0,0.0001593561119601443,0.0,0.0,0.0,0.0,0.0,0.0,76622.43796870226,0.0,0.0,0.0,0.0,0.0,0.0,0.0001437060597118956,0.0,0.0,0.0,0.0,0.0,0.0,0.00017110599681188185,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.28237977330397185,4.878973775418856,0.0,0.0,0.0,0.0,0.0,27.829017976325108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2162863205108676,34.79332574360687,0.0,0.0,0.0,0.0,0.0,0.0,3.926110817783352,0.0,0.0,0.0,0.00015808188673868914,0.0,0.0,0.0,0.0,0.0,0.0,76046.90332169781,0.0,0.0,0.0,0.0,0.0,0.0,0.00014244283059359897,0.0,0.0,0.0,0.0,0.0,0.0,0.0001696238985851925,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.28029532195670176,4.809473700782943,0.0,0.0,0.0,0.0,0.0,27.37575674838395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2068276526560255,34.22207189899984,0.0,0.0,0.0,0.0,0.0,0.0,3.8953241311554305,0.0,0.0,0.0,0.0001568815044311525,0.0,0.0,0.0,0.0,0.0,0.0,75576.62636839238,0.0,0.0,0.0,0.0,0.0,0.0,0.00014125677534620266,0.0,0.0,0.0,0.0,0.0,0.0,0.0001682239693260756,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.27832741090708096,4.755576847332105,0.0,0.0,0.0,0.0,0.0,27.02156162233375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1979781647200478,33.775694866593554,0.0,0.0,0.0,0.0,0.0,0.0,3.8665539945161216,0.0,0.0,0.0,0.00015573829230442973,0.0,0.0,0.0,0.0,0.0,0.0,75178.01676727287,0.0,0.0,0.0,0.0,0.0,0.0,0.00014011852259783724,0.0,0.0,0.0,0.0,0.0,0.0,0.0001668749690788411,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.27645156732212506,4.713162187550424,0.0,0.0,0.0,0.0,0.0,26.740786473254403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.189610324091076,33.42204206549423,0.0,0.0,0.0,0.0,0.0,0.0,3.8393691703630757,0.0,0.0,0.0,0.000154633392502133,0.0,0.0,0.0,0.0,0.0,0.0,74884.48507800844,0.0,0.0,0.0,0.0,0.0,0.0,0.0001390542725009267,0.0,0.0,0.0,0.0,0.0,0.0,0.0001656194538776385,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.2746486846956925,4.679383635222892,0.0,0.0,0.0,0.0,0.0,26.51520345677305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1816299651390927,33.13935292547902,0.0,0.0,0.0,0.0,0.0,0.0,3.813469869463081,0.0,0.0,0.0,0.0001535567410852398,0.0,0.0,0.0,0.0,0.0,0.0,74782.54613770045,0.0,0.0,0.0,0.0,0.0,0.0,0.00013803391557119533,0.0,0.0,0.0,0.0,0.0,0.0,0.0001644142332716849,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.27290573448822164,4.652283560126008,0.0,0.0,0.0,0.0,0.0,26.332253987511077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1739696113390583,32.911550644594485,0.0,0.0,0.0,0.0,0.0,0.0,3.7886302746594698,0.0,0.0,0.0,0.0001525048603255178,0.0,0.0,0.0,0.0,0.0,0.0,74839.78894426055,0.0,0.0,0.0,0.0,0.0,0.0,0.00013705015131310487,0.0,0.0,0.0,0.0,0.0,0.0,0.00016325032715365186,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.271213105982169,4.630458080058634,0.0,0.0,0.0,0.0,0.0,26.183096721170322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1665801770511115,32.726921470463495,0.0,0.0,0.0,0.0,0.0,0.0,3.7646873028483006,0.0,0.0,0.0,0.0001514763699918997,0.0,0.0,0.0,0.0,0.0,0.0,75040.27202004597,0.0,0.0,0.0,0.0,0.0,0.0,0.00013609484047990433,0.0,0.0,0.0,0.0,0.0,0.0,0.0001621163135559551,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.2695633464354982,4.612865228931366,0.0,0.0,0.0,0.0,0.0,26.061048168001783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1594229844291954,32.576019417328716,0.0,0.0,0.0,0.0,0.0,0.0,3.7415121195155936,0.0,0.0,0.0,0.00015046839255084812,0.0,0.0,0.0,0.0,0.0,0.0,75250.72241091655,0.0,0.0,0.0,0.0,0.0,0.0,0.00013516442787464116,0.0,0.0,0.0,0.0,0.0,0.0,0.00016100877029437717,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.26795036067566885,4.598710887858654,0.0,0.0,0.0,0.0,0.0,25.96081527951821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1524663542915083,32.451133114867986,0.0,0.0,0.0,0.0,0.0,0.0,3.718999642516268,0.0,0.0,0.0,0.00014947563777998853,0.0,0.0,0.0,0.0,0.0,0.0,75362.8302048351,0.0,0.0,0.0,0.0,0.0,0.0,0.00013425571695454422,0.0,0.0,0.0,0.0,0.0,0.0,0.00015992312460633704,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.26636878091643607,4.587380624497829,0.0,0.0,0.0,0.0,0.0,25.87765486788714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.145682712748657,32.345923121196265,0.0,0.0,0.0,0.0,0.0,0.0,3.6970559622483954,0.0,0.0,0.0,0.00014849731457994308,0.0,0.0,0.0,0.0,0.0,0.0,75371.62021704282,0.0,0.0,0.0,0.0,0.0,0.0,0.0001333682896873296,0.0,0.0,0.0,0.0,0.0,0.0,0.00015886109594494038,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.2648135935468573,4.578387019471842,0.0,0.0,0.0,0.0,0.0,25.806906192107515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1390472589874334,32.25428275128017,0.0,0.0,0.0,0.0,0.0,0.0,3.675596005321695,0.0,0.0,0.0,0.0001475409805889831,0.0,0.0,0.0,0.0,0.0,0.0,75283.17943117814,0.0,0.0,0.0,0.0,0.0,0.0,0.00013250214650613163,0.0,0.0,0.0,0.0,0.0,0.0,0.00015782373405942677,0.0,0.0,0.0,0.0,0.0,0.0
