Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,0
AnnualSum,4.9055244493146345e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.306983641247534e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.520987339600638,0.0,0.0,0.0,1.6911246885899574e-8,0.0,0.0,0.0,0.0,0.0,0.0,8.675952045744981e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.9984663808492017e-8,0.0,0.0,0.0,0.0,0.0,0.0,280.62172817011543,0.0,0.0,0.0,0.0,0.0,0.0,285.142715643584
t1,5.137606413897207e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4592752360432755e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.550698838807738,0.0,0.0,0.0,1.917846781764221e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.72381584300758e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.868611264961622e-8,0.0,0.0,0.0,0.0,0.0,0.0,1782.9516779359997,0.0,0.0,0.0,0.0,0.0,0.0,1787.502376920507
t2,5.049107620835553e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.361294958224613e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547634751815103,0.0,0.0,0.0,1.5557996290631124e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.123742458934574e-8,0.0,0.0,0.0,0.0,0.0,0.0,2.023558146284272e-8,0.0,0.0,0.0,0.0,0.0,0.0,1696.1116851112884,0.0,0.0,0.0,0.0,0.0,0.0,1700.659320000545
t3,4.96594320165247e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.309828619633259e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547864739883093,0.0,0.0,0.0,1.681970912997096e-8,0.0,0.0,0.0,0.0,0.0,0.0,8.680153405119526e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.945777874656119e-8,0.0,0.0,0.0,0.0,0.0,0.0,1649.9236086145638,0.0,0.0,0.0,0.0,0.0,0.0,1654.4714734878019
t4,4.928150027782097e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.27650837115503e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547874322582899,0.0,0.0,0.0,1.6628002576500536e-8,0.0,0.0,0.0,0.0,0.0,0.0,8.481309840489388e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.954060156958062e-8,0.0,0.0,0.0,0.0,0.0,0.0,1618.6674686512715,0.0,0.0,0.0,0.0,0.0,0.0,1623.2153431050408
t5,4.908632178609327e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2599045059894665e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547878148806044,0.0,0.0,0.0,1.6495469390268002e-8,0.0,0.0,0.0,0.0,0.0,0.0,8.335555703651117e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.9407880077331983e-8,0.0,0.0,0.0,0.0,0.0,0.0,1592.860219010618,0.0,0.0,0.0,0.0,0.0,0.0,1597.4080972888514
t6,4.899894654989301e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25199649787089e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547880513441603,0.0,0.0,0.0,1.637686204521152e-8,0.0,0.0,0.0,0.0,0.0,0.0,8.142597888192307e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.9181523981036897e-8,0.0,0.0,0.0,0.0,0.0,0.0,1581.0304467277213,0.0,0.0,0.0,0.0,0.0,0.0,1585.5783273682991
t7,4.901215058918237e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2532018094634654e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547884741351902,0.0,0.0,0.0,1.6180079445368354e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.929082208738489e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.8813187899313182e-8,0.0,0.0,0.0,0.0,0.0,0.0,1548.3950346903082,0.0,0.0,0.0,0.0,0.0,0.0,1552.9429195560986
t8,4.902605299247017e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.252903439002906e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547892216755418,0.0,0.0,0.0,1.669661809176776e-8,0.0,0.0,0.0,0.0,0.0,0.0,8.176629499721161e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.9766717491332327e-8,0.0,0.0,0.0,0.0,0.0,0.0,1565.0987358289783,0.0,0.0,0.0,0.0,0.0,0.0,1569.6466281741189
