Zone,1,2,3,4,Total
AnnualSum,2.102255515974469e-7,566.1726868753884,2.378567190347216e-7,168.158979982509,734.3316673059797
t1,1.935991050605902e-7,472.10001727751234,2.0532048561884947e-7,168.15898882919558,640.2590065056274
t2,2.0728849423461602e-7,471.6165897765457,2.2789630561391597e-7,168.15897993364706,639.7755701453775
t3,2.0922993320110563e-7,470.5602176488167,2.323204957911018e-7,168.15897992991358,638.7191980202807
t4,2.0946086877122302e-7,469.59212776990887,2.321430440906834e-7,168.15897992958332,637.7511081410962
t5,2.094221036248202e-7,468.85799843909075,2.3125200817194686e-7,168.15897992949704,637.0169788092619
t6,2.0933921342316535e-7,468.0274854106049,2.304293022669945e-7,168.15897992945284,636.1864657798262
t7,2.0926007289853796e-7,467.5900642534876,2.2990250530262192e-7,168.15897992944676,635.7490446220969
t8,2.0922046953346574e-7,467.1899487129633,2.2971917423875772e-7,168.1589799294901,635.348929081393
t9,2.092052013029192e-7,466.68374651971527,2.2967541695572757e-7,168.15897992953458,634.8427268881305
t10,2.0918285790188986e-7,466.32876953237707,2.2960654733375435e-7,168.15897992956812,634.4877499007346
t11,2.0914920627616294e-7,465.9552150566224,2.2948928080972923e-7,168.158979929834,634.114195425095
t12,2.0914456409307827e-7,466.09947726872986,2.2943015587736847e-7,168.1589799297102,634.2584576370148
t13,2.0918182030472345e-7,466.70682622184427,2.294848204999951e-7,168.15897992965392,634.8658065901648
t14,2.0927155044110657e-7,467.4561591640078,2.2968333737705895e-7,168.15897992966205,635.6151395326247
t15,2.0941787315214212e-7,468.3448728721762,2.30054687867593e-7,168.1589799296507,636.5038532412995
t16,2.0959725287198678e-7,469.14442360065004,2.3066735189281424e-7,168.1589799296006,637.3034039705153
t17,2.0976453995260596e-7,469.5812764707677,2.315161491356905e-7,168.15897992933827,637.7402568413867
t18,2.097638330014414e-7,471.9826900501076,2.3227130405711881e-7,168.15897992894762,640.1416704210903
t19,2.0986342911870084e-7,473.5938309075477,2.3293878907513417e-7,168.1589799288975,641.7528112792475
