Line,1,2,3,4,5,Total
AnnualSum,-138.55864857716114,-101.51117801810705,23.605160538847073,-472.8436870506149,-135.22813315070152,-824.5364862577376
t1,-127.87145976844899,-121.88527421609953,17.33095256637851,-595.7292228839507,-178.76822938624403,-1006.9232336883647
t2,-126.05528012516825,-114.76647976889906,15.589004652121238,-577.7382471123501,-168.75749636728978,-971.728498721586
t3,-122.7670471111183,-108.47015023053703,16.179690661895453,-551.3784560498414,-154.71982448154822,-921.1557872111495
t4,-121.86421951249758,-99.76795717201495,17.772746278987025,-519.0761684054132,-139.00682341673638,-861.942422227675
t5,-118.64519547387901,-95.33136840541347,17.885095812657767,-484.676677375459,-123.73354113439245,-804.5016865764862
t6,-109.76303398583607,-85.03974204038578,17.340323490405556,-424.4144153249394,-100.86623408510394,-702.7431019458597
t7,-101.80730644686942,-78.49107804592569,16.35647469810303,-377.79970920416423,-85.88911048668524,-627.6307294855416
t8,-82.63801013805137,-81.3516973518608,10.735750434564494,-321.92762847230074,-69.90789448370508,-545.0894800113534
t9,-39.19655027219222,-95.18988859063445,-3.3801812229648394,-212.77265911759656,-43.877328568986904,-394.416607772375
t10,5.052915034861543,-112.90357102078872,-18.228765533465783,-118.63313266533397,-22.697373716042776,-267.4099279007697
t11,35.9118986087959,-115.70310567780659,-26.945972905348427,-24.715300459941655,-2.8236095094765874,-134.27608994377735
t12,39.13097334215435,-121.18366945650648,-28.74402570206187,-26.880432801986316,-2.010753196517296,-139.68790781491762
t13,17.250677620451867,-121.86047129954643,-23.018656205366298,-106.73722089656079,-16.682092880417184,-251.04776366143884
t14,-9.253975721228876,-119.98175314864089,-15.578255710845873,-187.78352631972942,-32.781818013822715,-365.3793289142678
t15,-33.55204035072794,-117.49248829084196,-8.564218792431134,-259.68937148171767,-49.351420538576185,-468.6495394542949
t16,-57.93386463916563,-109.74935322535745,-0.5916603855018138,-311.95347718674986,-64.20228253355978,-544.4306379703346
t17,-96.9726517203877,-101.5762341527616,11.480438800609885,-408.72645079957437,-94.83421673008148,-690.6291146021953
t18,-133.84257097775838,-92.00650884890878,23.345108011989055,-485.77934986495166,-124.63043845186328,-812.9137601314931
t19,-145.49148913849652,-86.4369461316508,27.468444404765645,-503.0704287282358,-131.90544344092135,-839.4358630345388
t20,-144.55444156972646,-85.03712344015905,27.507542356361633,-499.7538915985674,-130.03802341662845,-831.8759376687198
t21,-142.4089650332548,-84.83154039952196,26.997940295844444,-493.03497190774715,-126.66547859641975,-819.9430156410992
t22,-148.52330704474582,-99.39378757488606,26.23499320014487,-556.4442229443972,-155.18429851604554,-933.3106228799297
t23,-155.810788310301,-117.8106202556668,25.1169779247707,-622.6270750057955,-192.8647982332815,-1063.9963038802741
t24,-156.6439667039541,-122.13284585566151,24.62283871567362,-635.6147801428771,-201.33150656844444,-1091.1002605552635
t25,-155.69882677759475,-120.06442192783773,24.73518796428364,-629.5872016824427,-197.34020643680194,-1077.9554688603935
t26,-154.09261305751534,-116.31901592636748,24.950484147003095,-617.1385192753605,-189.3449425357047,-1051.944606647945
t27,-151.25730183399773,-111.12664864826097,25.063166579415103,-598.0113726916697,-177.71594670099114,-1013.0481032955045
t28,-147.6259993741818,-101.06824776511839,25.76528709568742,-563.225906835876,-158.65057271770942,-944.8054395971982
t29,-142.93552716981702,-89.08296612781348,26.4629291608827,-514.3162261850096,-135.71338539174633,-855.5851757135036
t30,-134.81650327087797,-78.66717251419581,25.890368208351234,-458.58358071009786,-113.91973499193038,-760.0966232787508
t31,-124.71277098023788,-73.05303220894173,23.942162682527407,-411.89803024455586,-98.29541277887058,-684.0170835300787
t32,-103.30037183921338,-75.98524981139269,17.501560635163916,-355.11469304514475,-80.66376916226766,-597.5625232228546
t33,-53.966061387484025,-92.10351348379201,1.400842166586878,-247.75634246595422,-51.56501818037911,-443.9900933510225
t34,-11.87955885202672,-108.9435458961439,-12.649738218318847,-175.87444896714715,-33.00651780544572,-342.3538097390823
t35,12.914998786693468,-116.69112614438377,-20.530069469115624,-121.45319562820757,-18.064493763066295,-263.8238862180798
t36,6.332483542484504,-124.62205639400857,-20.067409417347086,-177.1246391400603,-29.254934182684945,-344.7365555916164
t37,-19.18774198473872,-130.9298311179834,-14.33304148664723,-290.0458373530068,-55.14686062916365,-509.6433125715398
t38,-46.37087860555967,-133.29683827151038,-7.4815919575799095,-383.6589635797835,-81.39718469363514,-652.2054571080687
t39,-64.10224424023188,-138.20443719231005,-3.5037099993982803,-458.30006244957815,-106.88173460464589,-770.9921884861643
t40,-86.44745949733354,-140.83085489242583,2.1970221600629922,-526.2726443616557,-135.38052931465887,-886.7344659060109
t41,-114.86111183348063,-136.6552562963146,10.826495134894266,-582.4227654420503,-164.61030224153134,-987.7229406784826
t42,-142.52238322676945,-127.73116193876687,20.140181378595027,-617.5871580885214,-186.6136139644965,-1054.3141358399591
t43,-151.28615402870088,-125.52245195263617,22.9313643467179,-627.4020740758268,-192.9933597455756,-1074.2726754560215
t44,-152.00451956322212,-123.80420208650258,23.43238448042628,-625.7061089859585,-191.75245962991903,-1069.834905785176
t45,-153.78899768620172,-119.03388192356881,24.750857978727502,-616.7751150694581,-185.88122703066261,-1050.7283637311639
t46,-155.98188963064678,-122.68595698494306,24.7199311312016,-630.8703629030585,-195.24945770626334,-1080.0677360937102
t47,-162.082947023956,-135.45752524030775,24.219780185661538,-667.168237600194,-221.8661392175854,-1162.3550688963815
t48,-168.9771375968713,-137.1261646823632,25.880304937731864,-678.2789634548832,-230.7922374068418,-1189.2941982032278
t49,-171.8239132088152,-131.32158608077103,27.689222369385245,-667.9400645422102,-222.70867220279652,-1166.1050136652077
t50,-173.03589413888375,-125.46175190963419,29.0508065630021,-656.0257940574171,-213.77835620556962,-1139.2509897485027
t51,-169.52081949224475,-115.45608490472193,29.779978765652668,-625.4149503401225,-192.32471532699793,-1072.9365912984345
t52,-162.5494014095835,-97.87876769541182,30.805449927459374,-565.0974501025672,-156.8704808701814,-951.5906501502845
t53,-153.89418510128277,-86.32307437945124,30.31019183018445,-506.40229759564784,-129.74368629024576,-846.053051536443
t54,-145.18955348729062,-75.84474304942076,29.596281771869386,-444.51654503237796,-107.26420021570593,-743.2187600129259
t55,-138.70978662080435,-70.32451231768125,28.664144611958122,-398.0313150300252,-93.46879204850634,-671.8702614050591
t56,-119.68870335416693,-74.14398164581239,22.53217711384702,-346.7859093077366,-79.24662774314028,-597.3330449370092
t57,-65.9735977695885,-95.47998280799378,4.27196589921564,-251.71843240263408,-53.27427471917433,-462.17432180017505
t58,-44.72704143942047,-117.04563905409363,-4.866121814159116,-265.91392042026126,-53.10936556840101,-485.66208829633547
t59,-31.146192870260172,-125.3855039534302,-9.826198863024208,-247.9567780487901,-48.2550466525735,-462.56972038807817
t60,-32.78530911002758,-129.82906507129286,-10.103738058736212,-266.2651336651899,-51.880591024227506,-490.8638369294741
t61,-55.63600511561626,-134.5977405720485,-4.768140917912565,-352.4186989869086,-72.9018072848281,-620.3223928773141
t62,-79.54553561464137,-137.319356371462,1.1438166453947485,-432.6028711638717,-97.8928417983406,-746.2167883029209
t63,-100.35273552066948,-130.86471367156625,7.8041614271724145,-472.1275427661145,-113.23674044476631,-808.7775709759441
t64,-130.7001540808775,-126.735585320269,16.756531649014907,-543.4230036870839,-144.465006929506,-928.5672183687216
t65,-167.02719617151283,-119.37838927453814,28.128433661856473,-613.8856295028404,-184.17356420346897,-1056.3363454905038
t66,-202.62667278974712,-109.57624206865076,40.07838763021046,-663.9711228297924,-219.80606533111666,-1155.9017153890964
t67,-210.90238631206788,-109.01512327524433,42.65053515676957,-677.6290534853028,-230.47488756362193,-1185.3709154794674
t68,-209.62369036049017,-109.2940621550006,42.23405883099427,-671.7477504637055,-225.80692944072004,-1174.238373588922
t69,-208.10736575769255,-102.96581020634534,42.88840198595974,-652.0540246392054,-211.09373597456593,-1131.3325345918495
t70,-207.24141538953396,-109.15575310670386,41.64481919809669,-660.4199237498348,-217.1122164937885,-1152.2844895417643
t71,-205.1789485795773,-136.83679461431726,36.39047709669812,-712.12062449994,-258.9289471312795,-1276.674837728416
t72,-202.93959361501547,-144.03334800493926,34.54569187711882,-723.8522312566357,-269.3753644207398,-1305.6548454202114
t73,-196.60645841824487,-134.7767974270459,34.311821701031754,-701.5680856065236,-249.6400708335484,-1248.279590584331
t74,-192.75357497668767,-126.40518654576185,34.651382450815376,-681.8741881312257,-233.25254304892206,-1199.6341102517817
t75,-191.43902361091008,-117.19899412076809,35.85096959342398,-661.4459148898233,-217.39857059959172,-1151.6315336276691
t76,-194.2533996191857,-103.08881411229736,39.059838497942124,-632.7732956959119,-197.25688587425023,-1088.312556803703
t77,-195.0160500891923,-87.35434221820461,41.92345163265393,-584.6650556080057,-168.22749036002978,-993.3394866427784
t78,-186.57245187540502,-76.7419933353059,41.23102093149209,-529.31201392534,-140.85448323679742,-892.2499214413563
t79,-173.82188987889583,-67.91555651605032,39.0393129003299,-462.320541022934,-114.78115644360986,-779.7998309611601
t80,-149.57705310652787,-71.25834090233025,31.42898554983206,-395.481184935604,-93.52455225243646,-678.4121456470666
t81,-97.6575170906911,-89.15399329640293,13.933549914295792,-291.57028978098447,-66.68619313748505,-531.1344433912677
t82,-46.25855465533426,-111.8850284263148,-3.809968692176026,-206.8318185725503,-49.928473853571134,-418.71384419994655
t83,-8.903571904368269,-123.91607345616544,-15.768339176584025,-115.7769146120276,-37.36966980052898,-301.7345689496743
t84,-6.462526804392147,-130.54121426032196,-17.395089764911074,-135.05478015076,-41.72243552183661,-331.17604650222177
t85,-28.5577952393456,-130.59805854161846,-11.36157786372334,-221.48617983413658,-53.73299930321564,-445.73661078203963
t86,-55.121488590785546,-127.2204647812307,-3.5901770646396085,-305.8253328143983,-67.34537903749678,-559.1028422885508
t87,-82.99474453492878,-121.81920498530332,4.831208898769596,-379.8456119794565,-84.26023575493268,-664.0885883558517
t88,-115.75366835193013,-116.24699686919818,14.62291887703515,-462.62740513304846,-110.83984035644316,-790.8449918335848
t89,-148.70244796870298,-107.0307156725724,25.22296584435364,-531.708985484456,-140.10697430959985,-902.3261575909776
t90,-185.65514256517676,-99.41408567383259,36.984943657944534,-602.1949726248798,-177.97348814189894,-1028.2527453478435
t91,-201.21059859491112,-91.56697002968279,42.80882314823664,-612.5890832387599,-184.81211462085773,-1047.369943335975
t92,-206.74512227886143,-84.79259433779465,45.51738540971236,-602.5255221695166,-179.02721314725304,-1027.5730665237134
t93,-207.48579794131385,-77.92511413459843,46.89320846570305,-580.2457906148711,-166.66297183658168,-985.426466061662
t94,-203.43286076395947,-90.40093119767302,43.68386891620052,-607.0619770214586,-181.4701536580957,-1038.6820537249862
t95,-193.86267815717594,-106.30992324992849,38.293171842185245,-632.9174118403537,-197.26733203004036,-1092.0641734353133
t96,-186.9351288418785,-107.95653673457387,36.08889375863757,-626.9980052526267,-193.142587685299,-1078.9433647557405
t97,-184.66790941122724,-108.35077413744813,35.43413718508268,-623.7894158134231,-190.98649074260726,-1072.360452919623
t98,-183.8654737120837,-108.30823362118895,35.26770736021884,-616.5964516714794,-186.370560803525,-1059.8730124480583
t99,-187.36582608977446,-102.86392617038031,37.23203077110361,-603.4439968014643,-178.55599096180794,-1034.9977092523234
t100,-186.07817768095038,-92.98267522246286,38.52444393266532,-572.4422058884356,-161.40553608274857,-974.384150941932
t101,-178.878468118822,-71.49259789207443,40.00877426361879,-489.11624394787185,-124.44028731205618,-823.9188230072057
t102,-172.98309131034478,-63.0499834574455,39.65651826866392,-442.1683410822714,-108.47734413130026,-747.022241712698
t103,-174.23507970175422,-56.72695953596252,40.99992734040253,-411.3987213248465,-100.31414818460385,-701.6749814067646
t104,-160.25270757543967,-59.47033429872433,36.29869392026977,-358.8933970398852,-86.78686475227437,-629.1046097460538
t105,-123.99577970360869,-74.44076590268611,23.487255632845653,-277.1091599829863,-67.74848804594271,-519.8069380023782
t106,-84.10013089306908,-91.2118883415039,9.635484924441435,-215.3954635220997,-55.33327327338113,-436.4052711056123
t107,-57.593545607217486,-101.11689458870714,0.7930638611459081,-156.84908103716302,-47.30297676168017,-362.06943413362194
t108,-49.597389956249195,-114.7747624019091,-3.5427573472378353,-183.069520282879,-52.69424825391807,-403.6786782421932
t109,-63.38207240543856,-121.57822082208635,-0.7659567322432919,-267.76034325624323,-66.34987856780833,-519.8364717838198
t110,-71.72413100417853,-124.55171314640496,1.1073988497221414,-317.13322118208055,-74.45036942740323,-586.7520359103452
t111,-92.33814545589793,-119.88920431425582,7.598975924976457,-378.45736348298135,-87.62504727716235,-670.710784605321
t112,-115.71441243137735,-115.8220763025308,14.723488448574908,-449.8855274341382,-107.93517232188107,-774.6337000413525
t113,-143.14978542914994,-106.56455310065705,23.909277866329425,-505.15671659081397,-128.88706007150535,-859.8488373257969
t114,-177.38501076940895,-93.83801135448545,35.7820527302346,-563.8913823995305,-156.6178502392127,-955.9502020324029
t115,-192.48797609261345,-93.62858060900614,40.22279501208533,-597.4570552619545,-175.498524387982,-1018.8493413394707
t116,-199.64066772993442,-94.2639149139947,42.135620601954834,-609.629636479335,-182.92203021700936,-1044.3206287383186
t117,-207.4528628511256,-92.57778455738635,44.671961790949716,-614.2424043968533,-186.01377024072238,-1055.614860255138
t118,-213.80615091192482,-104.98418191472537,44.44536844806641,-652.9612442219802,-211.55123834765908,-1138.857446948223
t119,-215.36075328108896,-120.30185573411379,42.313860105170775,-690.7306830494782,-240.29232343579636,-1224.3717553953065
t120,-217.78421334452446,-115.24464202096092,43.91221707883796,-682.5323349706691,-233.76994356898373,-1205.4189168263003
t121,-218.5112761243132,-102.3350834515042,46.32837851774027,-654.37217155691,-212.71625243394988,-1141.606405048937
t122,-216.82021655845014,-92.66036405512621,47.45387913617295,-630.0178718590113,-196.2363701687551,-1088.2809435051697
t123,-217.2103722614559,-79.94638111744088,49.69019294787033,-597.5505204217629,-176.73611456798244,-1021.7531954207718
t124,-214.25071832771343,-63.90620063411098,51.458057553836824,-544.802711533885,-149.88276484424773,-921.3843377861203
t125,-206.94399749709527,-52.00199783993691,51.253739663862305,-486.9384770144869,-125.80060838100742,-820.4313410686642
t126,-202.53918978238198,-44.7447950903755,51.135010083167316,-446.8760088754594,-112.23575748539102,-755.2607411504406
t127,-197.11653302725747,-39.505432080901905,50.396133475498715,-405.4192092387845,-100.35283935083751,-691.9978802222827
t128,-180.32815730938103,-45.36888603563117,44.382093272067145,-368.0950332265956,-90.00556459435367,-639.4155478938943
t129,-136.3461946979916,-62.91970414088091,28.853300308532294,-276.5929268888691,-66.75232812555318,-513.7578535447625
t130,-100.51283135663178,-81.84188022250703,15.705291798386975,-226.60252742861658,-55.751601492825344,-449.0035487021937
t131,-82.40717554271274,-91.87615376617144,9.055324666161892,-198.45343817168668,-50.936621846959675,-414.61806466136863
t132,-88.35417733949697,-100.66254066085337,9.293588167361325,-254.59088801271812,-60.33028040699102,-494.64429825269815
t133,-113.59304775333945,-108.29937940356919,15.02858196868791,-370.43459416634425,-84.93622179145173,-662.2346611460167
t134,-140.0905835797231,-113.73556499572472,21.51543889081551,-474.5255581033884,-116.39095734365291,-823.2272251316735
t135,-163.3729655120772,-117.80948368626721,27.444691467475437,-557.2589391251752,-151.82181851164103,-962.8185153676852
t136,-183.8931343453239,-113.5251403571844,34.08418388146172,-603.5815501573503,-177.9280056670511,-1044.843646645448
t137,-206.32876356376372,-109.4685280408622,41.331774858277726,-654.660149201192,-212.50962238297083,-1141.635288330511
t138,-225.37235147870095,-105.39803444909198,47.69201435572953,-696.8461589178041,-245.54229603274277,-1225.4668265226103
t139,-225.21098815715288,-100.74595178305138,48.503468165190995,-690.355223532751,-240.25928579507655,-1208.0679811028408
t140,-220.25680068411742,-97.12343135181894,47.61317348589536,-673.2350456452676,-226.68519209564406,-1169.6872962909526
t141,-217.4398379466297,-92.72951839778177,47.52496376835979,-653.9007155486578,-212.34115398441952,-1128.886262109129
t142,-216.0720089656619,-104.43466226108765,45.180070831799846,-675.5907875417898,-228.43208567852926,-1179.3494736152688
t143,-216.7807196078758,-121.61108037488381,42.51489688088993,-713.3805137565892,-259.7496311429658,-1269.0070480014247
t144,-220.69223177216077,-118.7552334214339,44.21283641900193,-710.0496551379073,-256.9695474266117,-1262.253831339112
