region,Resource,zone,Cluster,R_ID,ESR_1,AnnualSum
East,East_batteries_1,1,1,1,0.0,0.0
East,East_conventional_hydroelectric_1,1,1,2,832.7815887522845,832.7815887522845
East,East_landfill_gas_1,1,1,3,1952.9892681110475,1952.9892681110475
East,East_natural_gas_internal_combustion_engine_1,1,1,4,0.0,0.0
East,East_petroleum_liquids_with_gt_1,1,1,5,0.0,0.0
East,East_petroleum_liquids_with_ic_1,1,1,6,0.0,0.0
East,East_solar_photovoltaic_1,1,1,7,7958.8774475397695,7958.8774475397695
North,North_conventional_hydroelectric_1,2,1,8,4668.622239569429,4668.622239569429
North,North_landfill_gas_1,2,1,9,1952.9892674933783,1952.9892674933783
North,North_natural_gas_internal_combustion_engine_1,2,1,10,0.0,0.0
North,North_onshore_wind_turbine_1,2,1,11,288.2778955064915,288.2778955064915
North,North_petroleum_liquids_with_cc_1,2,1,12,0.0,0.0
North,North_petroleum_liquids_with_gt_1,2,1,13,0.0,0.0
North,North_petroleum_liquids_with_st_1,2,1,14,0.0,0.0
North,North_solar_photovoltaic_1,2,1,15,2472.3058875197753,2472.3058875197753
South,South_batteries_1,3,1,16,0.0,0.0
South,South_conventional_hydroelectric_1,3,1,17,5829.468752311852,5829.468752311852
South,South_natural_gas_fired_combined_cycle_1,3,1,18,0.0,0.0
South,South_natural_gas_steam_turbine_1,3,1,19,0.0,0.0
South,South_onshore_wind_turbine_1,3,1,20,34475.55803583933,34475.55803583933
South,South_petroleum_liquids_with_gt_1,3,1,21,0.0,0.0
South,South_petroleum_liquids_with_st_1,3,1,22,0.0,0.0
South,South_solar_photovoltaic_1,3,1,23,7407.817807116137,7407.817807116137
West,West_batteries_1,4,1,24,0.0,0.0
West,West_petroleum_liquids_with_gt_1,4,1,25,0.0,0.0
West,West_petroleum_liquids_with_ic_1,4,1,26,0.0,0.0
West,West_solar_photovoltaic_1,4,1,27,7560.42120745506,7560.42120745506
East,East_battery_moderate_0,1,0,28,0.0,0.0
East,East_naturalgas_ctavgcf_moderate_0,1,0,29,0.0,0.0
East,East_naturalgas_ccavgcf_moderate_0,1,0,30,0.0,0.0
East,East_microgrid_solar_moderate_0,1,0,31,0.0,0.0
East,East_microgrid_diesel_moderate_0,1,0,32,0.0,0.0
East,East_utilitypv_class1_moderate_1,1,1,33,10071.742101032407,10071.742101032407
East,East_landbasedwind_class3_moderate_1,1,1,34,81198.30784309546,81198.30784309546
North,North_battery_moderate_0,2,0,35,0.0,0.0
North,North_naturalgas_ctavgcf_moderate_0,2,0,36,0.0,0.0
North,North_naturalgas_ccavgcf_moderate_0,2,0,37,0.0,0.0
North,North_microgrid_solar_moderate_0,2,0,38,0.0,0.0
North,North_microgrid_diesel_moderate_0,2,0,39,0.0,0.0
North,North_utilitypv_class1_moderate_1,2,1,40,20836.601284026976,20836.601284026976
North,North_landbasedwind_class3_moderate_1,2,1,41,44031.68480969492,44031.68480969492
South,South_battery_moderate_0,3,0,42,0.0,0.0
South,South_naturalgas_ctavgcf_moderate_0,3,0,43,0.0,0.0
South,South_naturalgas_ccavgcf_moderate_0,3,0,44,0.0,0.0
South,South_microgrid_solar_moderate_0,3,0,45,0.0,0.0
South,South_microgrid_diesel_moderate_0,3,0,46,0.0,0.0
South,South_utilitypv_class1_moderate_1,3,1,47,30120.791680817023,30120.791680817023
South,South_landbasedwind_class3_moderate_1,3,1,48,84657.94868495152,84657.94868495152
West,West_battery_moderate_0,4,0,49,0.0,0.0
West,West_naturalgas_ctavgcf_moderate_0,4,0,50,0.0,0.0
West,West_naturalgas_ccavgcf_moderate_0,4,0,51,0.0,0.0
West,West_microgrid_solar_moderate_0,4,0,52,0.0,0.0
West,West_microgrid_diesel_moderate_0,4,0,53,0.0,0.0
West,West_utilitypv_class1_moderate_1,4,1,54,31283.34220447322,31283.34220447322
West,West_landbasedwind_class3_moderate_1,4,1,55,73067.82429829771,73067.82429829771
