Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,9.770769449694921,0.0,0.0,0.0,0.35390644296344603,0.0,0.0,0.0,3.0351427711189203,0.0,0.0,0.0,0.0,42.324151338625555,0.0,0.0,9.094257353260064,0.0,0.0,0.0,9.28160196368806,0.0,0.0,0.0,0.0,0.0,12.364642127062064,99.68365137448494,0.0,0.0,0.0,0.0,0.0,25.58019430035301,54.05579992546578,0.0,0.0,0.0,0.0,0.0,36.977993420949694,103.93090285215153,0.0,0.0,0.0,0.0,0.0,38.405206449456394,89.7022082538561,534.5604280231305
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4213781873352657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.64929999930509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.68819333966412,0.0,0.0,0.0,0.0,0.0,0.0,64.68856056593434,0.0,0.0,0.0,0.0,0.0,0.0,124.2751008464454,0.0,0.0,0.0,0.0,0.0,0.0,128.48378796381797,487.20632090250217
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375619868410151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.29764999929817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.24663035272779,0.0,0.0,0.0,0.0,0.0,0.0,66.79380957841964,0.0,0.0,0.0,0.0,0.0,0.0,127.74163085612155,0.0,0.0,0.0,0.0,0.0,0.0,131.8963719734924,502.41365474690053
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4471523865472172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.79614999929211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.94792636046934,0.0,0.0,0.0,0.0,0.0,0.0,68.70767231743585,0.0,0.0,0.0,0.0,0.0,0.0,129.3015693604764,0.0,0.0,0.0,0.0,0.0,0.0,134.967697582201,513.168168006422
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44595358658320217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.219724999285994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.61026435950178,0.0,0.0,0.0,0.0,0.0,0.0,70.5258419180397,0.0,0.0,0.0,0.0,0.0,0.0,127.74163085612207,0.0,0.0,0.0,0.0,0.0,0.0,138.03902319091029,517.582438910443
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.451947586400471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.16777499927779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.29857436434048,0.0,0.0,0.0,0.0,0.0,0.0,73.01386347561704,0.0,0.0,0.0,0.0,0.0,0.0,128.7815898590263,0.0,0.0,0.0,0.0,0.0,0.0,141.28097800010113,527.9947282847631
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45973978616388683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.69224999927566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.49337737063016,0.0,0.0,0.0,0.0,0.0,0.0,73.68371543187048,0.0,0.0,0.0,0.0,0.0,0.0,131.55481386676652,0.0,0.0,0.0,0.0,0.0,0.0,141.9634948020373,534.847391256744
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46513438599888457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.84209999927497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0128563749855,0.0,0.0,0.0,0.0,0.0,0.0,73.87510170543403,0.0,0.0,0.0,0.0,0.0,0.0,132.9414258706376,0.0,0.0,0.0,0.0,0.0,0.0,140.76909039865015,536.9057087349811
t8,0.0,0.0,0.0,0.0,0.0,0.0,4.177817999481037,0.0,0.0,0.0,0.4675319859255949,0.0,0.0,0.0,1.3396589994788528,0.0,0.0,0.0,0.0,56.19374999928205,0.0,0.0,4.63815719947076,0.0,0.0,0.0,4.225769999368246,0.0,0.0,0.0,0.0,0.0,5.457537043086572,131.6881803769196,0.0,0.0,0.0,0.0,0.0,13.04614085081164,71.76985269267547,0.0,0.0,0.0,0.0,0.0,15.811173040637778,134.67469087547684,0.0,0.0,0.0,0.0,0.0,17.485297244921377,137.35650638897562,598.3320646965115
