Line,1,2,3,4,5,Total
AnnualSum,333.1354347051646,-556.0249597241423,-523.4123809923943,-148.37679150450305,147.93135715866543,-746.7473403572096
t1,367.2003105135316,-600.5004880241452,-523.5904475915565,-149.81313858285185,161.31096356170323,-745.3928001233187
t2,352.9422745989223,-576.8344218811135,-523.5902137552073,-151.68010957724397,157.74494577031808,-741.4175248443244
t3,329.5206452332325,-543.32799370071,-523.5901375452466,-152.84592541148902,152.79855505080695,-737.4448563734062
t4,296.17685562797885,-499.6056600028988,-523.5899837682487,-152.44298127188515,146.25171334872098,-733.2100560663329
t5,263.7733114273847,-458.77305025280504,-523.5898513843391,-152.52008329833654,139.01198939523204,-732.0976841128639
t6,216.0625277836608,-390.69679106450843,-523.5895468600039,-147.9304122689757,127.57889226205077,-718.5753301477765
t7,182.93748665914327,-342.2069082517437,-523.5892877059858,-142.46224507362072,118.1574302076867,-707.1635241645203
t8,146.92623405921765,-288.92441403322675,-523.5888637068881,-145.6465456819998,100.88404140698927,-710.3495479559077
t9,84.0954418102071,-195.55313531244857,-523.5833115228796,-160.12214516028314,61.17899693459366,-733.9841532508106
t10,37.78152467569654,-121.49251017459146,-523.5810721395118,-171.9754813602581,28.57604267026682,-750.691496328398
t11,0.018531190003124,-54.618324699021144,-508.48196227242414,-168.7677217520876,0.013834591394945918,-731.8356429421349
t12,0.01878321891751115,-56.89820462156462,-508.8707945098998,-174.33155457609143,0.014107061463561343,-740.0676634271748
t13,27.58325498837182,-107.80024137798016,-523.5799032409527,-184.11569112092843,21.2148435119667,-766.6977372395228
t14,65.39529160549863,-171.24768673017567,-523.5827808551753,-193.9045735564318,46.40349376201666,-776.9362557742676
t15,105.93214738194587,-234.63001958754174,-523.5838535982673,-195.54829662241173,69.43395469929027,-778.3960677269847
t16,135.0747859697409,-280.6701656872408,-523.5880277048398,-186.50920578216218,85.2740323686888,-770.418580835813
t17,192.77786844437972,-370.6576548118064,-523.5895091418809,-172.9415312712047,111.96275688409985,-762.4480698964124
t18,246.45185575239734,-453.05615702625596,-523.5899019420224,-151.09762000079502,136.2436141332477,-745.0482090834283
t19,258.06275759568547,-471.08235355192056,-523.589982531089,-141.8476874067768,143.35630934954992,-735.1009565445511
