Zone,1,2,3,4
t1,-2.6862924726742955e-9,-1.7313143772804942e-10,-4.330589396412163e-9,-8.338913921565636e-9
t2,-2.738784079474727e-9,-1.8814470632413964e-10,-4.396777719254788e-9,-8.475668875976769e-9
t3,-2.815093933086418e-9,-2.1198853001924045e-10,-4.511393972265975e-9,-8.689682210355319e-9
t4,-2.9297986943428873e-9,-2.46885216647187e-10,-4.655638815359547e-9,-8.91369422016892e-9
t5,-3.0020465452984474e-9,-2.803793746709173e-10,-4.860335910000701e-9,-9.229251681361929e-9
t6,-3.2222468415016146e-9,-3.4407834920873185e-10,-5.138269051857021e-9,-9.742436202990187e-9
t7,-3.4079730146033206e-9,-3.960127641256085e-10,-5.3805908711527865e-9,-1.0211496600251697e-8
t8,-3.499401105277638e-9,-4.250591769731798e-10,-5.509135662891808e-9,-1.0410775157317506e-8
t9,-3.5785059513775724e-9,-4.4920305213753975e-10,-5.608932829817444e-9,-1.0617195372831542e-8
t10,-3.61085985267632e-9,-4.5845734939023846e-10,-5.642764140907164e-9,-1.061697941588768e-8
t11,-3.851473937435748e-9,-5.269711298133264e-10,-5.927365844371725e-9,-1.1166968318759148e-8
t12,-3.780037040856405e-9,-5.067014164375321e-10,-5.853728051371225e-9,-1.1052476266816966e-8
t13,-3.5149054583337864e-9,-4.3099430521897293e-10,-5.541929711322365e-9,-1.0512853702754736e-8
t14,-3.305929658113912e-9,-3.722602595989143e-10,-5.287432302033846e-9,-1.0018882402319438e-8
t15,-3.168246327138145e-9,-3.2849778508776997e-10,-5.1092657968285945e-9,-9.653262256996782e-9
t16,-3.1417771723633575e-9,-3.2212100283235966e-10,-5.0805627824534045e-9,-9.653265986823497e-9
t17,-3.0644142376041334e-9,-2.9846359794331863e-10,-4.968481728267249e-9,-9.394814940841578e-9
t18,-3.0518170700471533e-9,-2.9602880738096413e-10,-4.941122994175818e-9,-9.394896413514852e-9
t19,-3.102750261618558e-9,-3.0831980881651455e-10,-4.9684868979108204e-9,-9.39490286778586e-9
t20,-3.128711616378559e-9,-3.1581521542593183e-10,-4.996119795486096e-9,-9.479655005949833e-9
t21,-3.1418075253440653e-9,-3.208602433687296e-10,-5.052180687118517e-9,-9.565798404478243e-9
t22,-2.8946861185053993e-9,-2.480182010290809e-10,-4.7307716187556895e-9,-8.9908558860651e-9
t23,-2.6450413098750313e-9,-1.7409891020846888e-10,-4.419355121502288e-9,-8.406297881008049e-9
