region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
East,East_batteries_1,1,1,1,0.0,0.0,22446.0,2770.7999999999997,4.9319551172136435e-5,0.0,4.055680227210515e-9,0.0,NaN,NaN,0.0,0.0011434963055529284,0.0,0.0,0.0,NaN,NaN,NaN
East,East_conventional_hydroelectric_1,1,1,2,0.0,0.0,310516.8,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,2.5270567070912393,1034.4514534727068,0.0,0.0,NaN,310516.8,NaN
East,East_landfill_gas_1,1,1,3,0.0,0.0,50399.999999074666,0.0,12.768071581471517,0.0,0.0,0.000907486666683915,0.0,NaN,0.0,5.944993553979704,2425.915638981374,0.0,0.0,NaN,50412.768978142805,NaN
East,East_natural_gas_internal_combustion_engine_1,1,1,4,0.0,0.0,67199.99892359557,0.0,16.9846433053207,330.11505973123326,0.0,0.07238296932571676,0.0,NaN,0.0,7.926657945149872,0.0,0.0,0.0,NaN,67547.17100960146,NaN
East,East_petroleum_liquids_with_gt_1,1,1,5,0.0,0.0,1.757069999802669e6,0.0,6.659352653097495e-7,3.7819573609049526e-5,0.0,0.00010373616538300682,0.0,NaN,0.0,312.1121615546125,0.0,0.0,0.0,NaN,1.7570699999448906e6,NaN
East,East_petroleum_liquids_with_ic_1,1,1,6,0.0,0.0,83999.99887014506,0.0,1.1570669990225081e-6,6.52457224448803e-5,0.0,7.876215485558016e-5,0.0,NaN,0.0,9.90832245687467,0.0,0.0,0.0,NaN,83999.99901531001,NaN
East,East_solar_photovoltaic_1,1,1,7,0.0,0.0,1.1130515998997095e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,18.07905889546558,9886.114309669245,0.0,0.0,NaN,1.1130515998997095e6,NaN
North,North_conventional_hydroelectric_1,2,1,8,0.0,0.0,1.740776e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,14.166756197584737,5799.134841949028,0.0,0.0,NaN,1.740776e6,NaN
North,North_landfill_gas_1,2,1,9,0.0,0.0,50399.999999567044,0.0,12.768071475776814,0.0,0.0,0.0009083474469418813,0.0,NaN,0.0,5.944993554037784,2425.9156188995285,0.0,0.0,NaN,50412.76897939026,NaN
North,North_natural_gas_internal_combustion_engine_1,2,1,10,0.0,0.0,470399.99748188426,0.0,119.13071766853942,2315.4353772419126,0.0,0.07456573151443711,0.0,NaN,0.0,55.48660620780188,0.0,0.0,0.0,NaN,472834.63814252627,NaN
North,North_onshore_wind_turbine_1,2,1,11,0.0,0.0,25799.99994706497,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.32566527530248646,358.101656778951,0.0,0.0,NaN,25799.99994706497,NaN
North,North_petroleum_liquids_with_cc_1,2,1,12,0.0,0.0,7.081664799639479e6,0.0,2.2877156255545466e-8,1.4478977333866871e-6,0.0,0.00030013529408519206,0.0,NaN,0.0,1063.6584299982474,0.0,0.0,0.0,NaN,7.081664799941086e6,NaN
North,North_petroleum_liquids_with_gt_1,2,1,13,0.0,0.0,5.894783699375513e6,0.0,2.4693261201061738e-8,1.6695544159407252e-6,0.0,6.977533713759764e-5,0.0,NaN,0.0,1209.0630639347337,0.0,0.0,0.0,NaN,5.894783699446984e6,NaN
North,North_petroleum_liquids_with_st_1,2,1,14,0.0,0.0,323.1009677591159,0.0,4.698953815337947e-9,1.4256891854253183e-6,0.0,9.8179398362991e-5,0.0,NaN,0.0,0.023494016157946024,0.0,0.0,0.0,NaN,323.1010673689024,NaN
North,North_solar_photovoltaic_1,2,1,15,0.0,0.0,337082.6999383334,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,5.457000872835391,3070.9781703511894,0.0,0.0,NaN,337082.6999383334,NaN
