Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4
t1,0.2920841653357084,5.574338119476571,0.0,0.0,0.0,0.0,0.0,23.302363080268467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2640013208243974,25.7067403039033,0.0,0.0,0.0,0.0,0.0,0.0,4.078899723988185,0.0,0.0,0.0,0.008205946171195152,0.0,0.0,0.0,0.0,0.0,0.0,0.0001294779663166894,0.0,0.0,0.0,0.0,0.0,0.0,79715.69847108716,0.0,0.0,0.0,0.0,0.0,0.0,0.0023416082385051555,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.2878901823093588,5.150911195223979,0.0,0.0,0.0,0.0,0.0,23.11150816519037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2450575853668782,26.935540429956994,0.0,0.0,0.0,0.0,0.0,0.0,4.015820798612057,0.0,0.0,0.0,0.008077837275037842,0.0,0.0,0.0,0.0,0.0,0.0,0.00013059769957191603,0.0,0.0,0.0,0.0,0.0,0.0,79715.30784452871,0.0,0.0,0.0,0.0,0.0,0.0,0.0023031130295078635,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.2846319862349489,4.9284709405154326,0.0,0.0,0.0,0.0,0.0,23.259762053402106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2303807617348739,27.490576965788684,0.0,0.0,0.0,0.0,0.0,0.0,3.967314708239228,0.0,0.0,0.0,0.007980221420186567,0.0,0.0,0.0,0.0,0.0,0.0,0.00013171734127090577,0.0,0.0,0.0,0.0,0.0,0.0,79715.0528006295,0.0,0.0,0.0,0.0,0.0,0.0,0.0022741074219453346,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.2818361969248,4.7396642950702095,0.0,0.0,0.0,0.0,0.0,23.29008249824633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2177687828367618,27.861320245501588,0.0,0.0,0.0,0.0,0.0,0.0,3.92547755701497,0.0,0.0,0.0,0.007897947135155492,0.0,0.0,0.0,0.0,0.0,0.0,0.00013283689423335165,0.0,0.0,0.0,0.0,0.0,0.0,79714.79533974171,0.0,0.0,0.0,0.0,0.0,0.0,0.002249852597590835,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.2793283223998862,4.558806362151994,0.0,0.0,0.0,0.0,0.0,23.21047627141059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2064369422917665,28.095819306359072,0.0,0.0,0.0,0.0,0.0,0.0,3.8877428609570552,0.0,0.0,0.0,0.007825233873233209,0.0,0.0,0.0,0.0,0.0,0.0,0.00013395636282183363,0.0,0.0,0.0,0.0,0.0,0.0,79714.44160311014,0.0,0.0,0.0,0.0,0.0,0.0,0.002228547863440536,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.2770223743583909,4.37756629530092,0.0,0.0,0.0,0.0,0.0,23.08814577835918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1960030103172816,28.25104471477933,0.0,0.0,0.0,0.0,0.0,0.0,3.8529105799720798,0.0,0.0,0.0,0.007759192751232194,0.0,0.0,0.0,0.0,0.0,0.0,0.0001350757494034497,0.0,0.0,0.0,0.0,0.0,0.0,79714.17116922718,0.0,0.0,0.0,0.0,0.0,0.0,0.0022092931854794874,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.27486832939940764,4.179971674538351,0.0,0.0,0.0,0.0,0.0,22.909741810821608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1862409018949653,28.330838213838998,0.0,0.0,0.0,0.0,0.0,0.0,3.8202386624931934,0.0,0.0,0.0,0.007698128691155014,0.0,0.0,0.0,0.0,0.0,0.0,0.0001361950634298527,0.0,0.0,0.0,0.0,0.0,0.0,79713.9399601355,0.0,0.0,0.0,0.0,0.0,0.0,0.002191556427187805,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.2728330409480116,3.949661377502126,0.0,0.0,0.0,0.0,0.0,22.69517578276082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1770082038713168,28.365361060962087,0.0,0.0,0.0,0.0,0.0,0.0,3.789284157362043,0.0,0.0,0.0,0.007640978160870279,0.0,0.0,0.0,0.0,0.0,0.0,0.00013731430843108634,0.0,0.0,0.0,0.0,0.0,0.0,79713.75032219234,0.0,0.0,0.0,0.0,0.0,0.0,0.0021750116509333187,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.2712057669511523,4.27247027359861,0.0,0.0,0.0,0.0,0.0,24.53710506664857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1724405429116105,30.666869577697074,0.0,0.0,0.0,0.0,0.0,0.0,3.78334148556615,0.0,0.0,0.0,0.007587286922697252,0.0,0.0,0.0,0.0,0.0,0.0,0.00013843348978091578,0.0,0.0,0.0,0.0,0.0,0.0,79713.73893314868,0.0,0.0,0.0,0.0,0.0,0.0,0.002159455754708866,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.26963539236753425,4.59524852458617,0.0,0.0,0.0,0.0,0.0,26.379038793415077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1679537099326973,32.96836906655057,0.0,0.0,0.0,0.0,0.0,0.0,3.777391442013654,0.0,0.0,0.0,0.00753623910279856,0.0,0.0,0.0,0.0,0.0,0.0,0.0001395525782750511,0.0,0.0,0.0,0.0,0.0,0.0,79713.72813516676,0.0,0.0,0.0,0.0,0.0,0.0,0.002144702864955537,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.26811221451494144,4.918017260548528,0.0,0.0,0.0,0.0,0.0,28.22355942879294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1635367987223597,35.269870500224506,0.0,0.0,0.0,0.0,0.0,0.0,3.7733900957956883,0.0,0.0,0.0,0.007487472736141064,0.0,0.0,0.0,0.0,0.0,0.0,0.00014067155065729703,0.0,0.0,0.0,0.0,0.0,0.0,79713.71886242914,0.0,0.0,0.0,0.0,0.0,0.0,0.0021306472708611203,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.26663860830132424,5.240792835221419,0.0,0.0,0.0,0.0,0.0,30.068084069478726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1592098967210707,37.571376523283405,0.0,0.0,0.0,0.0,0.0,0.0,3.769393365059279,0.0,0.0,0.0,0.007440572472599799,0.0,0.0,0.0,0.0,0.0,0.0,0.00014179047137238701,0.0,0.0,0.0,0.0,0.0,0.0,79713.70962428658,0.0,0.0,0.0,0.0,0.0,0.0,0.0021171630517206256,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.2651952411754654,5.563595499784594,0.0,0.0,0.0,0.0,0.0,31.910033971573867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1549270088489807,39.87288137373411,0.0,0.0,0.0,0.0,0.0,0.0,3.7634365554371296,0.0,0.0,0.0,0.0073952040180450115,0.0,0.0,0.0,0.0,0.0,0.0,0.00014290936541115333,0.0,0.0,0.0,0.0,0.0,0.0,79713.69913747378,0.0,0.0,0.0,0.0,0.0,0.0,0.002104151845299632,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.2637929661554557,5.886460099141313,0.0,0.0,0.0,0.0,0.0,33.75199204676623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1507284964248534,42.17441158764865,0.0,0.0,0.0,0.0,0.0,0.0,3.7575107223362005,0.0,0.0,0.0,0.007351217979007568,0.0,0.0,0.0,0.0,0.0,0.0,0.00014402828738320822,0.0,0.0,0.0,0.0,0.0,0.0,79713.68706473107,0.0,0.0,0.0,0.0,0.0,0.0,0.0020915692278680904,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.26242151984361367,6.209425300942057,0.0,0.0,0.0,0.0,0.0,35.593990637322975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.146589650555523,44.47598249875883,0.0,0.0,0.0,0.0,0.0,0.0,3.7516000805203396,0.0,0.0,0.0,0.007308463149793646,0.0,0.0,0.0,0.0,0.0,0.0,0.0001451472330021778,0.0,0.0,0.0,0.0,0.0,0.0,79713.67329035781,0.0,0.0,0.0,0.0,0.0,0.0,0.0020793689294570723,0.0,0.0,0.0,0.0,0.0,0.0
