Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,0
AnnualSum,6.51073536863132e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.892045509894624e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.758696260021089e-9,0.0,0.0,0.0,6.4221147395309976e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.819978870724506e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.833810753736848e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.845284074303258e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.208266557684265e-8
t1,6.527534258983916e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.911332062843469e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.888449432172751e-9,0.0,0.0,0.0,6.402418435916175e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.822218995793949e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.842752482590646e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.831026072224065e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.222573174052497e-8
t2,6.515435228830611e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9008077001408855e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8479723870498745e-9,0.0,0.0,0.0,6.4012396557477e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.821539916651423e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.834069238644032e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.832527379107632e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.215359150617216e-8
t3,6.5098952250166166e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8959539050965225e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.824248637928972e-9,0.0,0.0,0.0,6.406162481588809e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.820756150103415e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.8322019807905364e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.832705828284979e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.212192420880985e-8
t4,6.507778979632318e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8935459705576035e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8072303767309744e-9,0.0,0.0,0.0,6.4145666410760876e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.819078549982227e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.834417927391793e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.8311539245748284e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.210777236994583e-8
t5,6.5067390067828185e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89206414960606e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.794761898276991e-9,0.0,0.0,0.0,6.420903068635806e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.816535372580521e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.836235479736497e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.828799079544447e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.209603805516314e-8
t6,6.505802778316232e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.890821615378934e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.785349025454334e-9,0.0,0.0,0.0,6.423104280551634e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.81182890709488e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.835911078885924e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.824749643405321e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.207756732908726e-8
t7,6.505754557593753e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.890366948101777e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7787363000142e-9,0.0,0.0,0.0,6.4240037810075e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.810643379575792e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.835725081257034e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.8239570744041716e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.206918712195422e-8
t8,6.506688183994362e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.890900045678301e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.774111737599699e-9,0.0,0.0,0.0,6.4204171027774594e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.807963106540271e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.834090612032494e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.821341699534603e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.205551248815719e-8
t9,6.509887885056427e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.893167117797714e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.771001935784913e-9,0.0,0.0,0.0,6.422950536243041e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.806359137696148e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.835746287101858e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.819120323908258e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.205823322358836e-8
t10,6.506061100876905e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.889061703710354e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.764682760106045e-9,0.0,0.0,0.0,6.42251052242553e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.798052818083055e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.836719498648569e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.810188911960985e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.202727731581144e-8
t11,6.508444242138568e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.890830293050928e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7618038412108165e-9,0.0,0.0,0.0,6.4184549893159584e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.782317576912694e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.8331468164052966e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.795331514909385e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.199032927394365e-8
t12,6.5010736033426584e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.883355524137202e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75494892132445e-9,0.0,0.0,0.0,6.416160367107224e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.781202393259401e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.8326067043081315e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.7949311107392176e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.1964278624218284e-8
t13,6.507567231457575e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.889394556902837e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.759232122112341e-9,0.0,0.0,0.0,6.427267877473299e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.7961344849934e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.846322070075658e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.811305969193758e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.203722431220887e-8
t14,6.511366251033484e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8928100494410295e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7602731301783125e-9,0.0,0.0,0.0,6.430485152326563e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.804995380122165e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.8510164360349935e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.821478938732071e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.207242533786862e-8
t15,6.509241376133188e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8907299888186e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7582696349995e-9,0.0,0.0,0.0,6.426275947517012e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.800940335921505e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.846713577892957e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.817447146259722e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.2049618007542484e-8
t16,6.5090996505222604e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.890466317854043e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.757234107757007e-9,0.0,0.0,0.0,6.425856071590377e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.799238867818208e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.846110461659995e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.81581894425968e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.204382442146157e-8
t17,6.508797509172263e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.890021159202448e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.756597399947424e-9,0.0,0.0,0.0,6.4267376130125595e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.801690662125234e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.8464757464944145e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.818244195723186e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.204856428567753e-8
t18,6.509427168748829e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8904182325938645e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7563226056987564e-9,0.0,0.0,0.0,6.422525757430547e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.80335117507705e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.840146541580459e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.8213232220960324e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.204351470322553e-8
t19,6.509261994880544e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.890138905808976e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.755881099121719e-9,0.0,0.0,0.0,6.42257321759742e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.802741741192827e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.837561400062729e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.821547473363788e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.2039705832028e-8
t20,6.509917437321759e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8906284338540584e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.755589369017962e-9,0.0,0.0,0.0,6.422081603335914e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.801541747689814e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.837823504336147e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.820959255903611e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.203854135145927e-8
t21,6.51053665692509e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.891095378752821e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.755366835144724e-9,0.0,0.0,0.0,6.422280811336924e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.800788176648834e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.8378669245577504e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.8207515552443704e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.2038686338610516e-8
t22,6.510090532736816e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89061795850028e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.755072776194362e-9,0.0,0.0,0.0,6.422372296158202e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.800701098003701e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.837860732308574e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.820569405706153e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.203728479960809e-8
t23,6.510083871011305e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89053163468722e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75501690772505e-9,0.0,0.0,0.0,6.422848762355135e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.801324193003623e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.838089742126292e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.820989298075059e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.2038884408983684e-8
t24,6.51036844047655e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.890728169308496e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.754948529319828e-9,0.0,0.0,0.0,6.423000410622699e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.801632336547262e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.837605161770364e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.821399076823189e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.203968212486839e-8
t25,6.510610877500977e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.890924480404888e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.754910722310363e-9,0.0,0.0,0.0,6.423061257548976e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.801645239790627e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.837189367626927e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.821717532713833e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.204005947789659e-8
t26,6.510820071948258e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.891100820971098e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.754930406110329e-9,0.0,0.0,0.0,6.423087017666098e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.801676318111976e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.836900730848093e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.822077703430016e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.2040593069085865e-8
t27,6.510966932212434e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.891218294298383e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.754976799346966e-9,0.0,0.0,0.0,6.42297339244985e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.8017715278641145e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.836550055584112e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.822505899107877e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.204096290086374e-8
t28,6.511043085535744e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.891293818621811e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.754976016467433e-9,0.0,0.0,0.0,6.422623778404286e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.801713748135224e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.8360546293391676e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.822826952883826e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.2040532029387486e-8
t29,6.511142776970578e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.891393243376646e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.754979352889308e-9,0.0,0.0,0.0,6.4221691471699054e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.801622231285102e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.8354051297239246e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.82316161879621e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.2039873500211674e-8
t30,6.511317252932924e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.891594060995683e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.755078108497287e-9,0.0,0.0,0.0,6.421732061218661e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.801843516151263e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.834571651246621e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.823773374980011e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.2039910026022456e-8
t31,6.511320561764807e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8917163561613215e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75539614246419e-9,0.0,0.0,0.0,6.421267431097152e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.80271465913478e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.833379747686041e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.8249106399262286e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.204070553823452e-8
