Line,1,2,3,4,5,Total
AnnualSum,7370.580291530735,3024.5418585782354,10468.331242881444,2263.291468850249,2240.140088036238,25366.8849498769
t1,6850.560509390624,11088.93811929068,10471.289443262913,3461.2897886248593,3700.6009253767265,35572.678785945805
t2,7231.2720409744625,11543.00979717671,10471.823028458984,2883.1530660652666,3001.37886797242,35130.636800647844
t3,6776.363287859531,10826.0956499916,10471.85451711983,2871.554787558698,2866.8323027547995,33812.70054528446
t4,6072.33324000469,10088.821687739444,10471.859173894354,2902.7878617747997,2775.983079173564,32311.785042586853
t5,5425.423220949489,9171.853534009811,10471.85714194992,2915.443670566795,2642.5293028077567,30627.106870283773
t6,4466.442323845575,7900.26008927573,10471.852474365007,2824.1971750335238,2414.427340583116,28077.17940310295
t7,3811.3687261991877,6935.591186792505,10471.840304109093,2704.8955977938926,2215.860097534245,26139.555912428925
t8,3079.411350726143,5894.398121443262,10471.832391274653,2782.6297711126335,1884.727518542944,24112.99915309963
t9,1711.1678143453378,3940.068155419582,10471.751559767943,3176.7837967778096,1197.3885591956596,20497.159885506335
t10,747.0596437271051,2420.385441490822,10471.71144521143,3451.6927320082996,583.9484205777237,17674.79768301538
t11,2.954164171391957,1093.1337049584263,10171.085237985433,3376.752126503889,2.8819936594124234,14646.807227278552
t12,2.9548077593651874,1138.7240377511375,10178.862886673081,3488.026546962152,2.8831640959381546,14811.451443241674
t13,543.355454766577,2146.792882570307,10471.68999704315,3694.2412278924985,436.47042970619174,17292.549991978725
t14,1302.1911229761595,3418.416959911083,10471.741682713833,3887.4106479951524,937.5702743612405,20017.33068795747
t15,2136.535156310209,4710.156440111918,10471.756206112736,3896.67718092954,1374.0894008325447,22589.214384296945
t16,2753.5660892766978,5655.824771380246,10471.830472028958,3690.4034967048365,1664.8813839289323,24236.50621331967
t17,4103.022854151534,4683.850264464389,10471.810191772829,3205.9312469403317,1981.227431444151,24445.841988773238
t18,5478.381871208595,3451.585347976417,10471.790766694356,2472.8681087091745,2164.668803755419,24039.294898343964
t19,5815.1227868656915,3062.4554668550427,10471.804064361095,2184.8788030705336,2201.847559549284,23736.108680701647
t20,5784.55131736677,3089.450513880113,10471.826985629059,2164.6775842230736,2174.8379654010932,23685.344366500107
t21,5723.048765713988,3173.9231561909587,10471.845426940201,2155.103530940205,2158.67064558135,23682.591525366708
t22,7126.400480916399,2844.6051634111823,10471.84910238264,2017.4525446395019,2225.210198436078,24685.517489785798
t23,8722.093936892988,2430.254608616448,10471.838781722281,1858.8589531002697,2280.2339121011105,25763.280192433096
t24,9112.834619983314,2333.5395310534104,10471.84024920174,1832.6189706304913,2304.7197330960194,26055.553103964976
t25,9004.225415757881,2338.0281242799347,10471.846310684285,1826.1735644019143,2336.099493996797,25976.37290912081
t26,8706.512732959143,2409.0757497771465,10471.853623308636,1861.1210244256692,2345.1518599885353,25793.714990459128
t27,8267.596764781354,2532.0727717807113,10471.85966257118,1913.61580527442,2347.9528119986244,25533.09781640629
t28,7463.868897527409,2720.1897264361287,10471.862923318811,1990.9072051537496,2325.2961473897813,24972.12489982588
t29,6397.661277941626,2969.1980091281494,10471.861459535452,2073.3697537845123,2280.812022048302,24192.902522438042
t30,5301.8984058365095,3280.9888175938604,10471.856589366871,2164.3321722290425,2207.5449782723463,23426.62096329863
t31,4511.940014555976,3587.2341717669715,10471.851093717563,2232.031557744337,2140.5970450651885,22943.653882850034
t32,3558.723288887678,4325.352789123089,10471.850249300709,2563.020231202258,1939.9572858390216,22858.903844352757
